date,open,high,low,close,volume
2026-05-06,29.86,30.98,29.4,30.85,79096674.0
2026-05-07,31.14,31.78,30.94,31.51,80106380.0
2026-05-08,31.14,32.73,30.83,32.41,69320735.0
2026-05-11,32.33,32.7,31.83,32.24,62794548.0
2026-05-12,33.42,34.12,32.71,33.35,91509621.0
2026-05-13,34.13,34.72,33.28,33.55,73754730.0
2026-05-14,33.31,33.56,31.85,31.86,73073017.0
2026-05-15,31.52,31.52,29.94,30.42,73523688.0
2026-05-18,29.52,30.31,29.15,30.24,52902501.0
2026-05-19,30.06,30.54,29.31,30.19,39019070.0
2026-05-20,29.63,30.14,29.04,30.02,49521221.0
2026-05-21,30.72,31.84,29.87,30.01,60150203.0
2026-05-22,30.29,32.31,29.94,31.78,65059221.0
2026-05-25,32.73,33.23,32.09,32.36,53972269.0
2026-05-26,32.16,33.43,31.79,33.32,61576356.0
2026-05-27,33.18,33.41,31.95,32.13,42323782.0
2026-05-28,31.83,31.84,30.6,31.13,45728383.0
2026-05-29,31.74,32.32,30.32,30.47,49473686.0
2026-06-01,30.45,31.37,30.26,30.79,44317901.0
2026-06-02,31.62,33.2,31.24,32.89,72036853.0
2026-06-03,32.88,33.38,32.35,32.68,53661464.0
2026-06-04,31.94,32.18,30.98,31.19,51118871.0
2026-06-05,31.2,31.92,30.27,30.47,42420881.0
2026-06-08,28.83,30.52,27.96,29.09,58033843.0
2026-06-09,29.44,30.19,28.61,29.95,43256566.0
2026-06-10,29.41,29.94,29.01,29.7,36368158.0
2026-06-11,29.25,30.3,29.23,29.54,32427075.0
2026-06-12,30.4,32.32,30.13,30.71,89144839.0
2026-06-15,31.8,32.96,31.8,32.84,80261505.0
2026-06-16,32.25,32.55,30.81,30.93,79124513.0
2026-06-17,31.26,32.28,31.06,31.48,65301037.0
2026-06-18,31.0,33.57,30.88,31.75,87510655.0
2026-06-22,31.3,33.45,30.8,33.37,91555260.0
2026-06-23,32.77,32.87,30.03,30.03,95040564.0
2026-06-24,29.25,29.49,28.56,29.2,65792038.0
2026-06-25,28.1,28.25,27.0,27.43,74540298.0
2026-06-26,27.7,27.74,26.12,26.37,57553339.0
2026-06-29,26.37,27.6,26.37,27.31,48629299.0
2026-06-30,26.7,27.29,26.24,27.14,39373797.0
2026-07-01,26.91,27.25,26.41,26.51,46083652.0
2026-07-02,26.64,27.99,26.62,27.33,59780601.0
2026-07-03,28.0,30.06,28.0,29.22,92712848.0
2026-07-06,29.22,30.33,28.6,28.65,54188568.0
2026-07-07,28.42,29.55,28.35,28.68,35962535.0
2026-07-08,28.56,29.1,28.08,28.18,32282614.0
2026-07-09,28.18,29.21,27.4,28.99,42599778.0
2026-07-10,30.38,31.39,30.08,30.44,65527965.0
2026-07-13,30.03,31.49,29.31,30.69,67687328.0
2026-07-14,30.63,33.3,30.25,33.17,81891262.0
2026-07-15,33.16,34.34,32.84,33.18,86595530.0
2026-07-16,32.58,34.66,32.55,33.84,67442704.0
2026-07-17,33.23,33.3,31.62,31.65,73467974.0
2026-07-20,32.16,32.57,31.31,31.96,60940059.0
2026-07-21,32.51,33.87,32.36,33.87,60555846.0
2026-07-22,34.65,37.26,34.65,36.5,135095726.0
2026-07-23,36.95,39.4,36.19,37.84,123150599.0
2026-07-24,35.99,37.39,35.33,36.24,81438339.0
2026-07-27,36.92,37.75,36.44,37.72,71254477.0
2026-07-28,36.71,37.95,36.28,36.86,56873867.0
2026-07-29,36.86,37.22,35.39,36.91,64658548.0
2026-07-30,37.55,38.16,36.49,36.65,70982929.0
2026-07-31,37.76,38.97,37.07,38.44,68177353.0
2026-08-03,38.58,38.66,36.2,37.5,67955065.0
2026-08-04,37.8,38.45,37.16,38.21,53879611.0
2026-08-05,38.7,41.05,38.68,41.02,77079202.0
2026-08-06,41.95,42.62,39.21,39.73,105622488.0
2026-08-07,40.13,43.29,39.44,43.07,111038787.0
2026-08-10,42.86,43.23,41.57,42.45,92139688.0
2026-08-11,42.3,42.81,38.84,39.21,127872262.0
2026-08-12,38.97,39.25,37.9,38.36,98307000.0
2026-08-13,38.0,38.43,36.23,36.3,100397920.0
2026-08-14,36.0,37.27,35.78,37.14,69363376.0
2026-08-17,38.06,39.66,38.06,39.34,69078800.0
2026-08-18,38.38,39.13,38.37,38.95,43204519.0
2026-08-19,37.66,38.35,36.73,36.83,51957011.0
2026-08-20,37.93,38.29,36.28,36.66,54095401.0
2026-08-21,37.0,37.99,36.8,37.85,52468628.0
