date,open,high,low,close,volume
2026-05-06,17.97,18.22,17.8,18.11,44248148.0
2026-05-07,18.25,18.47,18.01,18.3,48109778.0
2026-05-08,18.15,18.68,18.1,18.43,49638126.0
2026-05-11,18.55,18.68,18.31,18.32,50340531.0
2026-05-12,18.3,18.59,17.8,17.84,54669127.0
2026-05-13,17.84,18.05,17.61,17.88,35934193.0
2026-05-14,17.83,19.28,17.59,18.22,99196372.0
2026-05-15,17.82,17.94,17.01,17.16,70606636.0
2026-05-18,16.96,17.2,16.7,16.81,37932375.0
2026-05-19,16.8,16.86,16.36,16.67,32952271.0
2026-05-20,16.51,16.51,15.9,16.04,43423384.0
2026-05-21,16.04,16.2,15.44,15.46,42892946.0
2026-05-22,15.54,15.93,15.3,15.77,29590100.0
2026-05-25,15.71,15.86,15.27,15.45,33704028.0
2026-05-26,15.43,15.43,14.7,14.95,39222596.0
2026-05-27,14.88,15.65,14.75,15.04,56344817.0
2026-05-28,14.9,16.54,14.83,16.54,79499313.0
2026-05-29,16.54,18.0,16.05,17.18,133863235.0
2026-06-01,16.88,16.92,16.19,16.25,75382261.0
2026-06-02,16.26,16.38,15.1,15.73,65514570.0
2026-06-03,15.62,16.16,15.42,15.86,55189818.0
2026-06-04,15.53,15.8,15.19,15.45,43116175.0
2026-06-05,15.44,15.79,15.04,15.1,44065910.0
2026-06-08,14.6,15.46,14.51,14.67,43333756.0
2026-06-09,14.76,15.34,14.63,15.08,46032225.0
2026-06-10,14.86,15.24,14.14,14.36,52104843.0
2026-06-11,14.03,14.54,13.98,14.31,32821326.0
2026-06-12,14.48,14.5,14.11,14.46,37435759.0
2026-06-15,14.5,14.97,14.33,14.91,39008228.0
2026-06-16,15.01,15.35,14.8,15.19,41312463.0
2026-06-17,15.02,15.34,14.5,14.51,43123737.0
2026-06-18,14.49,14.74,14.1,14.33,31660871.0
2026-06-22,14.44,14.54,13.71,14.2,42022029.0
2026-06-23,14.43,15.3,14.32,14.43,59835806.0
2026-06-24,14.38,14.38,13.36,13.57,55490877.0
2026-06-25,13.53,13.75,13.12,13.21,43641762.0
2026-06-26,13.27,13.36,12.78,12.78,36223210.0
2026-06-29,13.22,14.06,13.17,14.06,26931583.0
2026-06-30,14.11,14.26,13.28,13.91,74433704.0
2026-07-01,14.16,14.36,13.87,14.12,62327682.0
2026-07-02,13.88,14.29,13.66,13.74,47560415.0
2026-07-03,13.78,13.9,13.52,13.64,33112827.0
2026-07-06,13.75,13.75,13.04,13.05,33469532.0
2026-07-07,12.96,13.12,12.4,12.46,31642572.0
2026-07-08,12.47,12.56,12.12,12.13,25952578.0
2026-07-09,12.1,12.22,11.65,12.17,30880962.0
2026-07-10,12.17,12.92,12.05,12.59,43966944.0
2026-07-13,12.71,12.92,11.7,11.74,38144719.0
2026-07-14,11.71,11.82,11.36,11.8,31327513.0
2026-07-15,11.63,12.02,11.59,11.69,26033200.0
2026-07-16,11.51,11.86,11.4,11.66,21630630.0
2026-07-17,11.6,11.7,11.03,11.14,26491004.0
2026-07-20,11.2,11.47,10.74,10.96,32937972.0
2026-07-21,10.96,11.2,10.48,11.19,32280540.0
2026-07-22,11.09,11.22,10.97,11.1,21408215.0
2026-07-23,11.09,11.58,11.06,11.55,31155711.0
2026-07-24,11.41,11.6,11.2,11.21,20244222.0
2026-07-27,11.15,11.64,11.07,11.63,22033145.0
2026-07-28,11.58,11.9,11.45,11.69,29661756.0
2026-07-29,11.55,12.05,11.45,11.93,32611113.0
2026-07-30,11.93,12.1,11.75,11.79,23697407.0
2026-07-31,11.81,12.09,11.81,11.92,24634244.0
2026-08-03,12.2,12.9,12.04,12.61,85260406.0
2026-08-04,12.59,12.8,12.22,12.78,81055313.0
2026-08-05,12.67,12.95,12.62,12.87,59178324.0
2026-08-06,12.78,12.9,12.5,12.64,45937955.0
2026-08-07,12.62,12.67,12.35,12.52,32670484.0
2026-08-10,12.62,12.65,12.38,12.61,23852934.0
2026-08-11,12.6,12.6,12.37,12.43,19252584.0
2026-08-12,12.4,12.53,12.36,12.49,18773683.0
2026-08-13,12.51,12.55,12.22,12.23,22849200.0
2026-08-14,12.23,12.28,11.98,12.16,19348923.0
2026-08-17,12.21,12.34,12.0,12.33,17960842.0
2026-08-18,12.37,12.37,11.94,12.01,21756226.0
2026-08-19,11.85,11.92,11.35,11.39,26532866.0
2026-08-20,11.5,11.54,11.28,11.31,14711098.0
2026-08-21,11.31,11.64,11.16,11.59,18203230.0
