date,open,high,low,close,volume
2026-05-06,88.9,92.65,88.63,89.74,13041623.0
2026-05-07,90.2,92.62,89.53,92.17,10758468.0
2026-05-08,91.56,94.4,90.37,93.32,11893863.0
2026-05-11,95.89,96.62,93.2,96.1,17246773.0
2026-05-12,95.97,99.01,93.69,96.07,12760948.0
2026-05-13,94.92,97.02,93.13,94.94,12937468.0
2026-05-14,95.92,96.12,91.42,92.42,13230859.0
2026-05-15,92.84,93.77,87.23,88.61,13481780.0
2026-05-18,88.13,91.42,87.11,89.2,9406178.0
2026-05-19,88.93,89.05,85.53,87.61,8356833.0
2026-05-20,86.74,93.52,84.86,91.11,16095453.0
2026-05-21,90.81,92.52,85.99,86.45,10809645.0
2026-05-22,86.75,91.22,86.53,88.37,10188473.0
2026-05-25,89.43,92.09,88.68,90.48,11062890.0
2026-05-26,90.51,101.4,88.85,100.69,27398884.0
2026-05-27,100.81,103.39,99.1,101.73,22144929.0
2026-05-28,102.42,108.2,100.17,106.11,20780953.0
2026-05-29,107.91,107.91,94.92,94.93,21094041.0
2026-06-01,95.12,102.92,89.78,98.23,17587104.0
2026-06-02,98.26,100.97,95.1,96.89,12342543.0
2026-06-03,96.74,101.42,95.19,98.18,14991271.0
2026-06-04,96.42,102.87,94.42,97.87,12851428.0
2026-06-05,99.94,101.42,95.92,98.32,14263843.0
2026-06-08,94.58,96.57,86.79,87.14,17399046.0
2026-06-09,87.81,88.13,85.43,87.14,10977754.0
2026-06-10,85.91,85.96,76.94,77.78,18412897.0
2026-06-11,76.45,76.93,73.07,74.06,14136042.0
2026-06-12,75.53,77.44,73.54,73.98,10353213.0
2026-06-15,74.4,75.75,73.97,75.44,8458900.0
2026-06-16,75.94,76.57,73.52,74.44,10444159.0
2026-06-17,73.62,89.33,73.62,89.33,17187633.0
2026-06-18,91.1,107.19,91.1,107.19,32140813.0
2026-06-22,109.91,112.51,99.92,105.91,27469192.0
2026-06-23,104.0,104.91,97.13,98.61,15577556.0
2026-06-24,98.65,98.69,95.08,97.8,11027737.0
2026-06-25,97.78,106.12,94.77,104.98,20734776.0
2026-06-26,101.0,105.5,99.52,100.8,13853873.0
2026-06-29,101.66,102.7,95.43,98.77,10490353.0
2026-06-30,100.0,107.03,96.99,102.4,15340560.0
2026-07-01,101.33,107.77,100.27,107.08,17887230.0
2026-07-02,103.77,114.84,100.5,110.1,24648551.0
2026-07-03,109.76,115.19,108.0,112.1,18650551.0
2026-07-06,114.77,116.0,99.8,100.05,17909453.0
2026-07-07,100.98,102.6,94.46,95.3,12324713.0
2026-07-08,95.78,98.33,89.5,90.01,11547158.0
2026-07-09,91.47,108.01,90.3,108.01,17978128.0
2026-07-10,109.73,125.0,109.73,111.05,36163511.0
2026-07-13,108.95,113.0,100.15,102.0,19847002.0
2026-07-14,104.04,104.62,94.5,99.56,13530557.0
2026-07-15,102.0,119.47,102.0,116.2,32427071.0
2026-07-16,112.71,118.97,111.0,111.82,18901545.0
2026-07-17,111.82,113.49,99.01,99.16,19992039.0
2026-07-20,102.22,104.12,92.77,96.5,19576020.0
2026-07-21,97.56,105.5,94.0,101.0,21342144.0
2026-07-22,99.99,100.6,92.5,92.6,19857022.0
2026-07-23,92.65,96.59,89.28,90.35,12282604.0
2026-07-24,90.0,90.0,80.88,81.91,15417927.0
2026-07-27,81.24,87.15,80.89,86.28,10768633.0
2026-07-28,84.2,85.3,80.89,83.52,9786523.0
2026-07-29,84.7,84.95,78.4,82.16,12199842.0
2026-07-30,82.0,83.68,76.23,76.8,10987451.0
2026-07-31,84.0,86.61,81.33,81.41,14825295.0
2026-08-03,82.39,84.68,80.52,82.84,9710697.0
2026-08-04,83.75,88.46,83.01,87.49,11812026.0
2026-08-05,88.58,97.16,88.0,96.2,15445662.0
2026-08-06,95.48,103.66,95.02,100.55,15228920.0
2026-08-07,100.72,111.31,100.5,110.34,21822698.0
2026-08-10,110.59,111.6,107.13,110.31,12708070.0
2026-08-11,108.11,111.19,105.5,108.7,11195286.0
2026-08-12,108.0,110.79,106.53,108.73,9185613.0
2026-08-13,108.33,112.46,106.3,106.3,9039397.0
2026-08-14,107.2,110.54,105.0,109.73,8811692.0
2026-08-17,111.0,117.69,107.57,115.75,12987006.0
2026-08-18,115.0,115.53,112.5,114.35,7451409.0
2026-08-19,115.81,115.81,97.5,97.92,20075295.0
2026-08-20,99.88,112.99,97.5,106.68,18499423.0
2026-08-21,108.7,112.88,103.28,105.46,12077506.0
