date,open,high,low,close,volume
2026-05-06,11.28,11.63,11.28,11.56,37851509.0
2026-05-07,11.63,11.85,11.52,11.8,39262826.0
2026-05-08,11.73,11.9,11.66,11.85,33860735.0
2026-05-11,11.89,12.02,11.83,11.84,46190734.0
2026-05-12,11.85,11.94,11.72,11.78,36303153.0
2026-05-13,11.73,11.94,11.73,11.88,33173628.0
2026-05-14,11.9,12.49,11.48,12.21,107215345.0
2026-05-15,12.53,12.62,11.88,11.92,76651712.0
2026-05-18,11.72,11.74,11.42,11.53,57071541.0
2026-05-19,11.54,11.73,11.19,11.56,44794679.0
2026-05-20,11.45,11.46,11.08,11.2,42699093.0
2026-05-21,11.28,11.38,10.69,10.75,51422771.0
2026-05-22,10.79,11.72,10.75,11.35,59561785.0
2026-05-25,11.4,11.78,11.31,11.76,56851956.0
2026-05-26,11.64,11.7,11.3,11.5,47696739.0
2026-05-27,11.39,11.91,11.39,11.61,65121455.0
2026-05-28,11.49,12.17,11.46,12.17,84997960.0
2026-05-29,12.42,12.5,11.79,11.85,95193786.0
2026-06-01,11.63,11.96,11.53,11.68,50722149.0
2026-06-02,11.68,11.96,11.52,11.89,59795280.0
2026-06-03,12.05,13.09,12.05,12.8,177730322.0
2026-06-04,12.59,12.9,12.31,12.64,135494790.0
2026-06-05,12.7,13.27,12.7,12.85,145262404.0
2026-06-08,12.51,13.24,12.45,13.24,146020189.0
2026-06-09,13.18,13.47,12.93,13.44,145449830.0
2026-06-10,13.2,13.35,12.6,12.7,103932907.0
2026-06-11,12.35,13.18,12.24,12.88,103238967.0
2026-06-12,13.1,13.71,12.89,13.59,166883175.0
2026-06-15,13.58,14.03,13.46,13.77,175113814.0
2026-06-16,13.77,14.88,13.6,14.34,187685520.0
2026-06-17,14.01,15.48,13.83,15.0,239819510.0
2026-06-18,14.85,15.96,14.65,15.38,212091013.0
2026-06-22,15.85,16.47,15.24,16.43,231689981.0
2026-06-23,16.31,16.33,14.79,14.8,224880902.0
2026-06-24,14.65,15.37,14.33,15.02,170454478.0
2026-06-25,14.88,15.8,14.16,15.71,188649421.0
2026-06-26,15.3,15.52,14.2,14.21,159834864.0
2026-06-29,14.15,14.64,13.02,13.13,157566665.0
2026-06-30,13.36,13.66,12.93,13.57,106242543.0
2026-07-01,13.57,14.15,13.0,13.99,153737141.0
2026-07-02,13.57,14.27,13.14,13.83,120335028.0
2026-07-03,13.85,13.95,13.05,13.09,104316263.0
2026-07-06,13.08,13.32,12.57,12.73,79764322.0
2026-07-07,12.65,13.08,12.46,12.76,61947040.0
2026-07-08,12.65,12.82,11.76,11.76,87269294.0
2026-07-09,11.8,11.89,11.04,11.8,91605731.0
2026-07-10,11.78,12.24,11.68,11.8,79492461.0
2026-07-13,11.64,11.65,10.7,10.74,71935823.0
2026-07-14,10.7,10.9,10.45,10.84,49041915.0
2026-07-15,10.85,10.85,10.3,10.33,51785430.0
2026-07-16,10.22,10.37,9.96,10.01,48140286.0
2026-07-17,9.94,10.0,9.35,9.37,60780589.0
2026-07-20,9.44,9.65,8.59,8.81,72374067.0
2026-07-21,8.9,9.26,8.59,9.26,68951460.0
2026-07-22,9.21,9.33,8.93,8.99,54016956.0
2026-07-23,9.0,9.22,8.95,9.21,40634927.0
2026-07-24,9.06,9.13,8.83,8.84,38058511.0
2026-07-27,8.9,9.2,8.87,9.2,36486254.0
2026-07-28,9.05,9.17,8.93,8.98,41520956.0
2026-07-29,8.95,9.22,8.78,9.17,44375811.0
2026-07-30,9.1,9.31,9.01,9.13,44825961.0
2026-07-31,9.4,9.52,9.26,9.28,52402949.0
2026-08-03,9.39,9.51,9.28,9.49,35616231.0
2026-08-04,9.51,9.64,9.45,9.6,35721790.0
2026-08-05,9.61,10.02,9.57,9.98,55089026.0
2026-08-06,10.06,10.07,9.8,9.86,51484941.0
2026-08-07,9.9,10.05,9.74,10.04,53625649.0
2026-08-10,10.13,10.17,9.87,9.98,42608382.0
2026-08-11,9.92,9.97,9.78,9.8,35332772.0
2026-08-12,9.79,9.87,9.77,9.8,28723233.0
2026-08-13,9.85,9.86,9.55,9.56,36549681.0
2026-08-14,9.55,9.85,9.54,9.83,42286319.0
2026-08-17,9.85,10.2,9.78,10.19,59417192.0
2026-08-18,10.2,10.24,9.95,10.04,45971413.0
2026-08-19,9.91,9.92,9.48,9.51,45825374.0
2026-08-20,9.64,9.72,9.47,9.52,30649674.0
2026-08-21,9.42,9.66,9.33,9.65,27532272.0
