date,open,high,low,close,volume
2026-05-06,19.31,20.3,19.26,20.21,48798953.0
2026-05-07,20.49,20.89,20.23,20.53,42796384.0
2026-05-08,20.37,20.69,20.02,20.6,39004071.0
2026-05-11,20.64,20.96,20.44,20.87,46217526.0
2026-05-12,21.29,22.66,21.13,22.26,81519982.0
2026-05-13,22.48,23.58,22.41,22.97,75740558.0
2026-05-14,22.89,22.89,21.77,21.78,60496338.0
2026-05-15,21.48,21.74,20.44,20.67,60966476.0
2026-05-18,20.09,21.71,19.8,21.19,57147178.0
2026-05-19,21.13,21.16,20.2,20.63,48196435.0
2026-05-20,20.36,20.98,19.83,20.66,40337401.0
2026-05-21,20.98,22.11,20.7,20.75,64419490.0
2026-05-22,21.13,21.62,21.04,21.41,44921779.0
2026-05-25,21.42,21.88,20.63,20.75,49293360.0
2026-05-26,20.64,22.83,20.22,22.83,82044231.0
2026-05-27,23.47,24.37,23.15,23.99,125756876.0
2026-05-28,23.5,26.38,23.47,26.38,129483280.0
2026-05-29,26.04,26.04,23.75,23.75,128572526.0
2026-06-01,23.08,24.76,22.62,22.8,113895331.0
2026-06-02,22.94,24.5,21.92,23.64,94780246.0
2026-06-03,23.57,24.45,23.11,23.54,80314246.0
2026-06-04,23.17,23.53,22.39,22.69,63246903.0
2026-06-05,22.67,22.97,21.43,21.58,71567014.0
2026-06-08,20.88,21.57,20.25,20.44,62407957.0
2026-06-09,20.64,20.98,19.97,20.59,46750847.0
2026-06-10,20.14,21.01,19.46,20.72,67546276.0
2026-06-11,21.03,22.8,21.03,22.8,47114755.0
2026-06-12,25.08,25.08,25.08,25.08,16301094.0
2026-06-15,26.78,27.58,26.56,27.58,215998572.0
2026-06-16,27.61,29.24,26.63,28.38,284849331.0
2026-06-17,27.51,28.5,26.73,27.98,191600833.0
2026-06-18,28.0,28.72,26.83,27.22,193273229.0
2026-06-22,27.65,29.94,27.17,29.94,217027657.0
2026-06-23,30.9,31.06,26.94,27.32,210199444.0
2026-06-24,27.03,27.77,26.05,26.9,137364474.0
2026-06-25,26.86,27.66,26.15,26.44,129861541.0
2026-06-26,26.33,27.94,25.65,26.66,130981123.0
2026-06-29,26.53,29.05,26.29,29.04,169239041.0
2026-06-30,28.23,28.25,26.15,27.62,146213887.0
2026-07-01,27.08,28.8,26.83,27.9,126068402.0
2026-07-02,27.04,28.0,25.71,26.5,113824081.0
2026-07-03,26.64,26.82,24.47,24.58,114728348.0
2026-07-06,25.0,25.03,23.11,23.25,87244871.0
2026-07-07,23.02,23.67,22.9,23.04,52840040.0
2026-07-08,22.94,23.08,21.4,21.41,77175327.0
2026-07-09,21.73,22.75,20.89,22.7,81273836.0
2026-07-10,22.77,23.33,22.01,22.01,69010991.0
2026-07-13,21.86,22.45,21.4,21.85,67146644.0
2026-07-14,21.7,22.67,21.27,22.58,65647933.0
2026-07-15,22.7,22.75,21.18,21.18,61763209.0
2026-07-16,20.98,21.79,20.62,20.83,49119000.0
2026-07-17,20.65,20.81,19.41,19.42,58062204.0
2026-07-20,20.37,20.92,19.53,20.04,72608188.0
2026-07-21,20.08,20.91,18.75,20.83,77561100.0
2026-07-22,20.86,22.01,20.85,21.06,79244447.0
2026-07-23,21.13,21.84,20.64,21.47,61902100.0
2026-07-24,20.65,20.91,20.19,20.34,51053496.0
2026-07-27,20.46,20.79,20.22,20.79,33930584.0
2026-07-28,20.34,20.52,19.65,19.82,36063575.0
2026-07-29,19.8,21.02,19.55,20.75,52397843.0
2026-07-30,20.67,21.02,19.85,20.14,38995702.0
2026-07-31,20.74,21.15,20.35,20.63,48599139.0
2026-08-03,20.63,20.93,20.34,20.83,31155996.0
2026-08-04,20.96,21.77,20.88,21.57,49166240.0
2026-08-05,21.71,22.9,21.5,22.62,72473909.0
2026-08-06,22.89,23.25,22.4,22.87,65647309.0
2026-08-07,22.8,23.85,22.49,23.76,69490142.0
2026-08-10,24.36,24.96,23.81,24.67,77007998.0
2026-08-11,24.2,24.21,23.13,23.13,72582966.0
2026-08-12,22.86,23.6,22.82,23.09,43248351.0
2026-08-13,23.3,23.33,22.38,22.4,45802820.0
2026-08-14,22.3,22.85,22.26,22.61,29435472.0
2026-08-17,22.85,22.95,22.5,22.95,38695413.0
2026-08-18,22.8,23.2,22.37,22.59,36369296.0
2026-08-19,22.1,22.24,21.45,21.55,41423809.0
2026-08-20,21.95,22.59,21.63,21.8,40088983.0
2026-08-21,21.8,22.22,21.68,21.94,37025369.0
