date,open,high,low,close,volume
2026-05-06,26.85,27.56,26.7,27.32,5386960.0
2026-05-07,27.33,27.86,27.15,27.81,5423235.0
2026-05-08,27.81,28.51,27.57,28.35,6403209.0
2026-05-11,28.89,29.18,28.21,28.41,6592600.0
2026-05-12,28.41,29.04,28.16,28.77,7150442.0
2026-05-13,28.39,30.16,28.32,29.72,9959800.0
2026-05-14,30.06,30.5,29.3,29.31,8577535.0
2026-05-15,29.26,29.7,28.73,28.92,6896079.0
2026-05-18,28.88,30.32,28.58,29.89,9614715.0
2026-05-19,29.87,30.2,29.35,29.7,7713619.0
2026-05-20,29.49,30.04,29.02,29.39,6960700.0
2026-05-21,28.91,31.57,28.91,29.93,16287923.0
2026-05-22,29.89,30.67,29.38,29.99,12953595.0
2026-05-25,29.51,30.64,29.51,30.42,10025513.0
2026-05-26,29.88,31.4,29.6,31.4,14262113.0
2026-05-27,31.0,32.6,30.61,32.03,15252653.0
2026-05-28,31.71,31.71,30.2,30.71,13007395.0
2026-05-29,30.3,31.25,27.65,27.94,13980311.0
2026-06-01,27.82,28.94,27.63,28.04,7578700.0
2026-06-02,27.9,28.4,26.77,26.96,7393500.0
2026-06-03,26.75,27.55,26.06,26.37,6709852.0
2026-06-04,26.06,27.06,25.82,26.62,5203055.0
2026-06-05,26.72,27.89,25.73,26.94,7023191.0
2026-06-08,26.28,29.2,26.02,28.07,10929067.0
2026-06-09,28.45,28.9,27.69,28.87,9469811.0
2026-06-10,28.38,29.5,27.83,28.12,7092624.0
2026-06-11,27.64,27.92,26.21,26.75,6801292.0
2026-06-12,26.9,27.68,25.96,26.14,7252754.0
2026-06-15,26.14,26.65,25.49,25.69,6075900.0
2026-06-16,25.72,27.49,25.01,27.35,9944218.0
2026-06-17,27.0,27.45,26.53,26.83,6190018.0
2026-06-18,26.73,26.95,26.14,26.55,4825274.0
2026-06-22,26.55,26.64,24.31,25.09,8611840.0
2026-06-23,24.83,26.26,24.71,25.28,5667186.0
2026-06-24,25.03,25.6,23.85,24.38,5899668.0
2026-06-25,24.39,24.66,23.41,23.59,5125860.0
2026-06-26,23.3,23.77,22.78,22.8,4971519.0
2026-06-29,22.8,22.8,21.7,22.21,5366326.0
2026-06-30,22.4,23.22,22.21,22.85,4694500.0
2026-07-01,23.7,24.8,23.36,23.78,6750605.0
2026-07-02,24.33,24.72,23.38,23.47,6481165.0
2026-07-03,23.28,24.45,23.0,23.93,5779718.0
2026-07-06,23.83,23.94,22.38,22.47,5313905.0
2026-07-07,22.3,22.71,21.4,21.56,3204100.0
2026-07-08,21.75,21.77,20.95,21.03,3582600.0
2026-07-09,20.96,21.46,20.45,21.39,3520780.0
2026-07-10,21.41,22.46,21.36,21.82,4394691.0
2026-07-13,21.89,21.89,20.27,20.28,4635100.0
2026-07-14,20.25,20.48,19.55,20.33,3271312.0
2026-07-15,20.35,20.8,20.12,20.41,2899933.0
2026-07-16,20.13,20.77,19.91,20.43,3612200.0
2026-07-17,20.95,21.58,19.23,19.3,5995900.0
2026-07-20,19.17,19.85,18.18,18.6,5751710.0
2026-07-21,18.56,19.05,17.53,18.94,4884772.0
2026-07-22,18.62,18.89,18.26,18.4,3770676.0
2026-07-23,18.31,19.01,18.28,18.98,3936800.0
2026-07-24,18.6,18.91,18.4,18.63,2678200.0
2026-07-27,18.45,19.34,18.4,19.22,3283793.0
2026-07-28,19.16,20.19,18.91,19.69,4384500.0
2026-07-29,19.59,20.15,19.47,20.1,4363800.0
2026-07-30,19.97,20.96,19.71,19.9,6105720.0
2026-07-31,19.73,20.71,19.73,20.17,5821680.0
2026-08-03,20.0,20.38,20.0,20.26,4127180.0
2026-08-04,20.35,20.85,20.28,20.73,3968700.0
2026-08-05,23.0,24.88,23.0,24.88,21817314.0
2026-08-06,24.0,24.68,23.17,23.6,24427152.0
2026-08-07,23.05,23.29,21.9,22.58,17903109.0
2026-08-10,22.53,22.6,21.94,22.23,10114309.0
2026-08-11,22.09,22.89,21.71,22.84,15245858.0
2026-08-12,22.13,22.74,21.88,22.55,11029161.0
2026-08-13,22.3,22.51,21.42,21.51,11128883.0
2026-08-14,21.43,22.02,21.2,21.84,7811162.0
2026-08-17,21.56,21.97,21.29,21.95,6032925.0
2026-08-18,22.0,22.2,21.55,21.84,5969315.0
2026-08-19,21.62,21.62,20.23,20.32,7874600.0
2026-08-20,20.54,20.61,20.01,20.15,4338300.0
2026-08-21,20.16,20.39,19.98,20.22,3342352.0
