date,open,high,low,close,volume
2026-05-06,33.19,34.21,33.19,34.17,11379448.0
2026-05-07,34.37,34.92,34.18,34.8,9813603.0
2026-05-08,34.8,35.33,34.52,35.24,10916439.0
2026-05-11,35.66,35.93,35.37,35.86,15657678.0
2026-05-12,36.06,36.06,34.96,35.23,10799205.0
2026-05-13,34.87,35.82,34.85,35.54,10151097.0
2026-05-14,35.54,35.59,34.08,34.08,11870596.0
2026-05-15,34.16,34.33,33.24,33.44,9173569.0
2026-05-18,33.38,34.18,32.81,33.83,7535015.0
2026-05-19,33.81,33.82,32.89,33.41,7017597.0
2026-05-20,33.19,33.62,32.61,33.07,7616973.0
2026-05-21,33.06,33.71,32.28,32.37,10373319.0
2026-05-22,32.59,32.96,32.08,32.82,7990932.0
2026-05-25,33.09,33.56,32.49,32.95,7850778.0
2026-05-26,32.76,32.76,31.86,32.41,9703792.0
2026-05-27,32.29,32.74,31.24,31.51,7634727.0
2026-05-28,31.5,33.48,31.28,33.08,13218836.0
2026-05-29,33.08,33.17,31.43,31.61,10725644.0
2026-06-01,31.47,31.88,31.36,31.63,5792359.0
2026-06-02,31.64,31.88,31.11,31.73,6464759.0
2026-06-03,31.66,32.5,31.58,31.99,6400048.0
2026-06-04,31.99,31.99,30.8,30.97,6532097.0
2026-06-05,31.07,31.55,30.32,31.19,6711933.0
2026-06-08,30.45,30.7,29.39,29.58,8609488.0
2026-06-09,29.79,29.88,29.01,29.65,5464054.0
2026-06-10,29.3,29.41,28.34,28.63,6957397.0
2026-06-11,28.33,29.05,28.17,28.6,7602700.0
2026-06-12,28.98,29.98,28.91,29.8,13177413.0
2026-06-15,30.1,30.54,29.48,30.54,11611282.0
2026-06-16,30.54,31.09,30.1,30.49,10393292.0
2026-06-17,30.25,30.8,30.08,30.33,7229573.0
2026-06-18,30.15,31.14,29.89,30.6,12055107.0
2026-06-22,31.29,32.27,30.9,32.24,20241603.0
2026-06-23,32.16,32.38,31.43,31.57,17728950.0
2026-06-24,28.66,29.27,28.46,28.99,22431907.0
2026-06-25,28.42,28.5,27.25,27.26,15805261.0
2026-06-26,27.18,27.5,26.4,26.4,10495964.0
2026-06-29,26.42,26.75,26.02,26.26,8074298.0
2026-06-30,26.26,27.69,25.8,27.35,9604825.0
2026-07-01,27.2,28.79,27.02,27.8,11346102.0
2026-07-02,27.57,27.83,27.26,27.35,6753834.0
2026-07-03,27.54,28.28,27.44,28.07,7443422.0
2026-07-06,28.2,28.41,27.41,27.5,7100071.0
2026-07-07,27.4,27.4,26.58,26.63,5534393.0
2026-07-08,26.57,26.63,26.04,26.18,4442861.0
2026-07-09,26.06,26.4,25.31,26.39,7251700.0
2026-07-10,26.39,28.87,26.02,27.8,14341030.0
2026-07-13,27.8,27.82,26.63,26.7,8575652.0
2026-07-14,26.65,27.6,26.45,27.42,6751499.0
2026-07-15,27.21,28.5,27.21,28.02,8053343.0
2026-07-16,27.74,28.88,27.7,28.51,9137898.0
2026-07-17,28.3,28.66,27.1,27.35,9985018.0
2026-07-20,27.77,28.19,26.63,27.75,8344694.0
2026-07-21,27.39,28.22,27.39,28.22,8346913.0
2026-07-22,28.14,28.27,27.5,27.52,7716335.0
2026-07-23,27.58,28.04,27.41,27.88,4405567.0
2026-07-24,27.6,27.75,26.75,26.75,5316776.0
2026-07-27,26.76,27.21,26.56,27.09,3765300.0
2026-07-28,26.79,27.09,26.62,26.81,3793800.0
2026-07-29,26.88,28.05,26.75,27.89,8344483.0
2026-07-30,27.9,28.53,27.73,28.21,7613603.0
2026-07-31,28.27,28.77,28.13,28.27,6634000.0
2026-08-03,28.34,28.88,28.15,28.75,5316785.0
2026-08-04,28.82,29.0,28.47,28.91,5318861.0
2026-08-05,28.91,29.44,28.78,29.1,7320305.0
2026-08-06,29.16,29.33,28.3,28.46,7569763.0
2026-08-07,28.31,28.77,28.27,28.62,5932374.0
2026-08-10,28.65,29.0,28.5,28.91,6866438.0
2026-08-11,28.65,28.65,28.12,28.19,6825301.0
2026-08-12,28.11,28.4,28.05,28.2,3991340.0
2026-08-13,28.21,28.25,27.35,27.38,8230574.0
2026-08-14,27.41,27.78,27.32,27.58,4096877.0
2026-08-17,27.58,27.82,27.3,27.82,4276782.0
2026-08-18,27.8,27.9,27.13,27.37,5268187.0
2026-08-19,27.65,27.72,26.55,26.59,8098323.0
2026-08-20,26.67,26.92,26.32,26.38,4534757.0
2026-08-21,26.3,27.54,26.16,27.35,8262566.0
