date,open,high,low,close,volume
2026-05-06,57.29,57.81,56.7,56.9,2228101.0
2026-05-07,56.9,58.57,56.72,57.81,2149633.0
2026-05-08,57.81,58.59,56.71,57.29,1828384.0
2026-05-11,57.67,60.73,57.67,60.22,3575240.0
2026-05-12,60.08,60.55,57.86,58.5,2359705.0
2026-05-13,59.09,59.09,56.79,56.86,2040158.0
2026-05-14,56.87,58.02,56.38,56.62,1820904.0
2026-05-15,56.61,57.28,55.6,55.98,1840346.0
2026-05-18,56.03,57.8,54.8,57.16,1732289.0
2026-05-19,57.49,58.17,56.08,56.56,2191043.0
2026-05-20,56.72,57.11,55.74,56.3,1235889.0
2026-05-21,56.3,59.09,56.28,56.56,3512885.0
2026-05-22,56.79,56.99,55.66,56.05,1607596.0
2026-05-25,56.58,58.56,55.88,57.09,1778046.0
2026-05-26,56.93,57.49,54.42,56.63,1987030.0
2026-05-27,56.6,57.79,55.48,55.71,1433055.0
2026-05-28,56.1,56.37,54.57,55.07,994306.0
2026-05-29,55.8,56.07,52.83,53.81,1841850.0
2026-06-01,54.28,54.6,51.66,52.31,1776969.0
2026-06-02,51.13,52.91,49.82,51.78,1891780.0
2026-06-03,51.81,54.13,50.85,53.81,3120364.0
2026-06-04,53.22,54.68,52.18,52.48,1179877.0
2026-06-05,53.39,53.51,50.22,50.33,1944565.0
2026-06-08,49.82,50.48,46.87,47.79,1537161.0
2026-06-09,47.86,52.09,46.51,50.96,2876169.0
2026-06-10,50.45,52.45,49.44,49.84,1595004.0
2026-06-11,50.16,50.22,47.68,47.9,976447.0
2026-06-12,47.99,52.07,47.96,52.07,2370837.0
2026-06-15,52.07,52.67,50.85,52.46,1806186.0
2026-06-16,52.8,52.8,50.96,51.61,1325406.0
2026-06-17,51.81,51.92,50.38,51.2,1295156.0
2026-06-18,51.96,53.41,51.15,52.21,2071689.0
2026-06-22,52.2,52.41,49.58,51.1,2069938.0
2026-06-23,51.82,53.31,50.63,52.47,1780287.0
2026-06-24,52.47,54.18,51.81,52.57,2284637.0
2026-06-25,52.28,54.29,50.7,53.13,2440895.0
2026-06-26,53.17,53.63,50.32,50.4,1757602.0
2026-06-29,50.48,55.54,50.14,55.03,3025860.0
2026-06-30,55.0,56.0,54.0,54.91,2025877.0
2026-07-01,54.38,57.24,52.3,56.38,2745306.0
2026-07-02,56.68,57.8,55.02,55.74,2375383.0
2026-07-03,56.6,57.98,54.2,56.05,2525488.0
2026-07-06,55.47,58.8,54.5,56.39,4008848.0
2026-07-07,55.83,55.83,50.98,51.15,3403315.0
2026-07-08,51.0,51.94,49.01,49.1,2089470.0
2026-07-09,48.08,50.7,47.73,49.25,1883753.0
2026-07-10,49.47,53.23,48.09,51.61,3340806.0
2026-07-13,51.14,52.09,48.5,49.03,2408612.0
2026-07-14,48.99,51.0,47.88,50.68,2456628.0
2026-07-15,48.99,59.66,48.99,58.0,11096865.0
2026-07-16,55.9,61.68,55.9,60.07,9202013.0
2026-07-17,58.8,61.75,56.73,57.58,6154202.0
2026-07-20,57.82,58.68,54.72,56.88,4638705.0
2026-07-21,56.67,57.2,53.55,57.1,4684955.0
2026-07-22,56.76,59.33,56.08,57.15,3240718.0
2026-07-23,56.74,59.58,56.07,56.95,2607730.0
2026-07-24,57.21,57.21,54.8,55.22,2525428.0
2026-07-27,55.99,58.83,54.5,58.78,3771483.0
2026-07-28,58.2,59.59,57.3,57.61,2359229.0
2026-07-29,59.0,59.5,56.66,57.78,1968963.0
2026-07-30,56.9,57.5,54.56,56.75,2140574.0
2026-07-31,57.0,58.27,56.0,57.15,1510234.0
2026-08-03,57.71,60.74,56.61,60.03,2957861.0
2026-08-04,59.83,62.88,59.1,60.94,3296040.0
2026-08-05,60.33,61.99,60.16,60.88,1723201.0
2026-08-06,61.25,61.39,59.5,60.46,1730311.0
2026-08-07,61.3,64.99,60.08,64.88,4202625.0
2026-08-10,64.86,66.88,63.23,64.3,3988602.0
2026-08-11,62.58,65.6,62.53,63.86,2867047.0
2026-08-12,63.0,68.0,62.94,66.25,4666946.0
2026-08-13,65.16,68.38,65.08,66.05,4626778.0
2026-08-14,66.39,66.8,63.1,65.59,3133189.0
2026-08-17,65.51,67.6,64.16,67.53,2753625.0
2026-08-18,68.33,68.79,65.28,67.9,2872596.0
2026-08-19,67.27,67.98,64.09,65.4,2101643.0
2026-08-20,67.26,70.31,66.0,66.45,6962486.0
2026-08-21,67.0,71.48,64.66,66.01,6301560.0
