date,open,high,low,close,volume
2026-05-06,39.12,39.58,38.45,38.48,7636111.0
2026-05-07,38.53,40.31,38.03,39.92,7503654.0
2026-05-08,39.48,41.92,38.87,40.86,10102281.0
2026-05-11,40.26,40.3,38.52,39.47,11994401.0
2026-05-12,39.43,39.71,37.83,38.69,10410206.0
2026-05-13,38.59,41.31,38.06,40.88,11172226.0
2026-05-14,40.81,40.92,38.42,38.61,7829314.0
2026-05-15,38.43,39.07,37.02,37.59,7996677.0
2026-05-18,37.33,39.36,36.9,38.34,6514880.0
2026-05-19,38.2,38.49,37.19,38.06,4978372.0
2026-05-20,37.72,38.86,37.38,38.28,5002680.0
2026-05-21,38.41,39.3,35.84,36.03,9180076.0
2026-05-22,36.33,37.53,36.33,37.32,5107310.0
2026-05-25,37.32,38.77,37.05,37.99,6042565.0
2026-05-26,37.86,37.86,35.84,37.04,7183469.0
2026-05-27,37.04,40.15,37.04,37.98,13953302.0
2026-05-28,37.98,38.99,37.88,38.66,7290473.0
2026-05-29,38.81,38.82,36.46,36.69,7931063.0
2026-06-01,36.99,37.3,35.62,36.0,7802324.0
2026-06-02,36.11,36.22,34.04,34.93,8677719.0
2026-06-03,34.78,35.23,33.18,34.0,11618186.0
2026-06-04,33.73,33.84,32.97,33.39,7287757.0
2026-06-05,33.3,34.53,32.2,33.63,9746810.0
2026-06-08,33.1,33.94,31.98,32.65,6556132.0
2026-06-09,32.65,32.95,31.38,31.96,8372673.0
2026-06-10,31.39,32.03,30.86,31.26,4579120.0
2026-06-11,30.94,31.81,30.28,31.29,6081105.0
2026-06-12,31.73,33.03,31.46,32.1,8091351.0
2026-06-15,32.25,32.65,31.97,32.47,5824748.0
2026-06-16,32.55,32.73,31.87,32.33,5387139.0
2026-06-17,32.17,32.75,31.9,32.15,4255632.0
2026-06-18,32.16,33.88,31.99,33.58,8855750.0
2026-06-22,33.36,34.09,32.06,34.02,8306881.0
2026-06-23,33.93,34.57,32.39,32.64,5855380.0
2026-06-24,32.7,32.84,31.6,32.09,6888802.0
2026-06-25,32.04,32.55,31.25,31.4,8739283.0
2026-06-26,31.39,31.46,29.88,29.96,7786877.0
2026-06-29,29.94,30.49,29.53,29.99,6530438.0
2026-06-30,29.95,31.35,29.54,31.26,6221001.0
2026-07-01,31.36,32.39,30.92,31.85,6066091.0
2026-07-02,31.5,32.9,31.29,31.95,7013853.0
2026-07-03,32.22,35.8,31.91,34.6,14623592.0
2026-07-06,37.22,37.22,34.18,34.39,9319546.0
2026-07-07,34.05,35.6,33.8,34.0,7817533.0
2026-07-08,33.69,34.53,33.33,33.37,5209500.0
2026-07-09,33.3,33.92,32.03,32.68,8932231.0
2026-07-10,32.46,33.9,31.8,31.81,8817843.0
2026-07-13,31.71,31.77,29.68,29.91,7813542.0
2026-07-14,29.91,30.33,29.03,30.01,5968945.0
2026-07-15,29.97,30.56,29.25,29.48,5189002.0
2026-07-16,29.27,29.78,28.72,28.89,4537362.0
2026-07-17,29.0,29.0,27.2,27.26,5985271.0
2026-07-20,27.48,28.27,26.3,26.8,8390495.0
2026-07-21,26.97,27.86,26.5,27.15,9191675.0
2026-07-22,27.02,27.22,25.69,25.7,8666225.0
2026-07-23,25.58,26.79,25.41,26.67,7307409.0
2026-07-24,26.24,26.8,25.83,26.43,4648979.0
2026-07-27,26.74,27.28,26.36,27.23,4165298.0
2026-07-28,26.95,27.03,26.2,26.44,3762700.0
2026-07-29,26.41,27.77,26.01,27.67,6136724.0
2026-07-30,27.64,28.1,27.44,27.51,5369000.0
2026-07-31,28.3,28.6,27.73,27.78,5423465.0
2026-08-03,27.84,29.63,27.84,29.6,7762538.0
2026-08-04,30.0,30.56,29.18,29.3,5112700.0
2026-08-05,29.28,29.95,29.2,29.7,4239557.0
2026-08-06,29.7,29.8,28.88,29.3,7818248.0
2026-08-07,29.31,30.8,29.12,30.7,8629183.0
2026-08-10,31.15,31.35,30.2,31.32,6018881.0
2026-08-11,31.07,31.31,30.7,30.99,3419055.0
2026-08-12,30.98,31.32,30.83,31.08,2874430.0
2026-08-13,31.15,31.18,30.39,30.71,5683092.0
2026-08-14,30.62,31.85,30.52,31.4,4435333.0
2026-08-17,31.75,33.4,31.55,33.06,8759274.0
2026-08-18,33.06,33.29,32.0,32.48,9075155.0
2026-08-19,34.32,34.99,32.83,33.0,22300392.0
2026-08-20,34.62,34.77,32.13,32.31,14778258.0
2026-08-21,32.16,34.02,31.75,33.82,11691736.0
