date,open,high,low,close,volume
2026-05-06,32.6,33.46,32.32,33.3,399072032.0
2026-05-07,33.91,34.23,33.21,33.54,336041354.0
2026-05-08,33.11,34.06,32.94,33.87,301248207.0
2026-05-11,33.63,33.79,32.94,33.35,303709653.0
2026-05-12,34.03,34.39,33.58,33.66,416946021.0
2026-05-13,34.16,34.31,33.53,33.73,322480278.0
2026-05-14,33.57,33.83,32.6,32.62,276948107.0
2026-05-15,32.11,32.12,30.66,30.99,448282207.0
2026-05-18,30.07,30.53,29.89,30.46,288798694.0
2026-05-19,30.46,30.55,29.82,30.33,180860114.0
2026-05-20,29.71,29.82,29.12,29.58,314489728.0
2026-05-21,30.08,30.41,29.13,29.19,295615483.0
2026-05-22,29.35,30.31,29.08,30.13,268103856.0
2026-05-25,30.79,31.14,30.26,30.51,284046195.0
2026-05-26,30.33,32.1,30.19,32.02,443721556.0
2026-05-27,31.71,32.01,30.69,30.77,261696590.0
2026-05-28,30.17,30.37,29.28,29.89,310990946.0
2026-05-29,30.48,30.54,29.37,29.63,261024987.0
2026-06-01,29.41,29.88,29.31,29.38,175162167.0
2026-06-02,29.55,30.89,29.31,30.74,333321356.0
2026-06-03,30.18,30.97,30.12,30.43,252980267.0
2026-06-04,30.07,30.12,29.41,29.53,206216550.0
2026-06-05,29.49,30.02,28.74,28.84,271621254.0
2026-06-08,27.52,27.96,26.84,27.3,377532024.0
2026-06-09,27.39,27.77,26.86,27.71,251316131.0
2026-06-10,26.86,27.25,26.47,26.96,304408769.0
2026-06-11,26.47,26.95,26.08,26.6,323143136.0
2026-06-12,27.34,28.96,27.07,28.31,509853858.0
2026-06-15,29.72,30.51,29.59,30.47,571475639.0
2026-06-16,30.17,30.27,29.39,29.48,292271461.0
2026-06-17,29.68,30.12,29.31,29.62,222981724.0
2026-06-18,29.16,30.15,28.5,28.9,362067490.0
2026-06-22,28.47,29.68,27.79,29.63,391847595.0
2026-06-23,29.15,29.2,26.9,27.01,494740171.0
2026-06-24,26.68,27.22,26.6,26.91,284609577.0
2026-06-25,25.8,26.04,25.04,25.23,576069979.0
2026-06-26,25.58,25.58,24.56,24.79,352820827.0
2026-06-29,25.04,25.64,24.67,25.47,323292727.0
2026-06-30,24.74,24.95,24.4,24.83,310705736.0
2026-07-01,24.55,25.24,24.12,24.8,338908351.0
2026-07-02,25.3,26.63,25.21,25.98,506741718.0
2026-07-03,27.16,27.95,27.07,27.48,538651958.0
2026-07-06,27.3,28.83,27.28,27.93,370091254.0
2026-07-07,27.46,27.77,27.09,27.28,223542243.0
2026-07-08,26.79,27.69,26.47,27.02,196981818.0
2026-07-09,26.49,27.36,26.22,27.28,251499732.0
2026-07-10,27.66,28.1,26.75,27.38,265710031.0
2026-07-13,26.9,27.29,26.41,27.02,213023840.0
2026-07-14,26.55,28.93,26.42,28.7,380320475.0
2026-07-15,28.7,28.98,28.21,28.48,268349106.0
2026-07-16,28.47,29.23,28.44,28.89,265438976.0
2026-07-17,28.3,28.47,27.58,28.01,290416859.0
2026-07-20,28.01,29.09,27.94,28.99,275768250.0
2026-07-21,29.58,29.96,28.77,29.84,342666967.0
2026-07-22,30.43,32.39,30.43,31.81,526165813.0
2026-07-23,32.12,33.27,31.53,32.65,439447611.0
2026-07-24,31.35,31.7,30.59,31.12,401039285.0
2026-07-27,32.05,32.05,30.75,31.38,231658923.0
2026-07-28,30.82,31.41,30.65,31.3,187062963.0
2026-07-29,31.55,31.89,30.8,31.76,215616330.0
2026-07-30,32.23,32.77,31.62,32.3,284297969.0
2026-07-31,31.98,33.07,31.87,32.55,284247902.0
2026-08-03,32.3,32.54,31.3,32.15,219541872.0
2026-08-04,32.05,32.45,31.46,31.73,206659763.0
2026-08-05,31.99,33.8,31.98,33.68,430666938.0
2026-08-06,34.95,35.36,33.73,34.08,402667434.0
2026-08-07,33.67,34.91,33.64,34.72,274712353.0
2026-08-10,34.75,35.16,34.28,35.02,273650525.0
2026-08-11,35.22,35.33,32.7,32.77,447541472.0
2026-08-12,32.78,33.66,32.77,33.17,204484205.0
2026-08-13,33.17,33.43,31.72,31.82,330907033.0
2026-08-14,31.41,32.26,31.36,32.13,194376501.0
2026-08-17,32.92,33.24,32.61,32.95,197196754.0
2026-08-18,32.95,33.17,32.47,33.15,184521427.0
2026-08-19,32.1,32.87,31.95,32.36,189857553.0
2026-08-20,33.58,34.65,33.45,33.83,411578689.0
2026-08-21,34.25,34.87,33.6,34.74,300701690.0
