date,open,high,low,close,volume
2026-05-06,3.89,3.92,3.88,3.89,51673334.0
2026-05-07,3.88,3.89,3.84,3.85,70638143.0
2026-05-08,3.85,3.87,3.84,3.85,44085916.0
2026-05-11,3.85,3.86,3.82,3.84,70455338.0
2026-05-12,3.84,3.85,3.8,3.8,61176300.0
2026-05-13,3.81,3.82,3.8,3.81,41793465.0
2026-05-14,3.82,3.82,3.76,3.79,73989490.0
2026-05-15,3.79,3.79,3.71,3.73,65442936.0
2026-05-18,3.72,3.72,3.61,3.62,76786348.0
2026-05-19,3.61,3.64,3.54,3.59,70339522.0
2026-05-20,3.57,3.57,3.48,3.5,70804567.0
2026-05-21,3.5,3.54,3.46,3.46,57472227.0
2026-05-22,3.48,3.51,3.43,3.46,56564034.0
2026-05-25,3.46,3.47,3.34,3.37,82215500.0
2026-05-26,3.36,3.41,3.34,3.39,60887353.0
2026-05-27,3.38,3.4,3.27,3.32,89063745.0
2026-05-28,3.32,3.35,3.29,3.32,53371015.0
2026-05-29,3.32,3.38,3.29,3.35,64973522.0
2026-06-01,3.33,3.41,3.33,3.4,50509499.0
2026-06-02,3.41,3.42,3.33,3.35,54297981.0
2026-06-03,3.36,3.37,3.31,3.32,42155728.0
2026-06-04,3.3,3.35,3.27,3.3,42695000.0
2026-06-05,3.29,3.31,3.22,3.25,56867941.0
2026-06-08,3.21,3.26,3.15,3.2,69047915.0
2026-06-09,3.19,3.21,3.13,3.19,56456695.0
2026-06-10,3.18,3.21,3.15,3.2,56319548.0
2026-06-11,3.18,3.21,3.11,3.13,72323710.0
2026-06-12,3.13,3.13,3.0,3.01,214813228.0
2026-06-15,3.03,3.07,2.97,3.01,111233706.0
2026-06-16,3.01,3.01,2.93,2.98,87852158.0
2026-06-17,2.99,3.0,2.93,2.95,64621483.0
2026-06-18,2.93,2.94,2.88,2.89,69423280.0
2026-06-22,2.88,2.88,2.78,2.87,101613581.0
2026-06-23,2.86,2.98,2.85,2.87,89396761.0
2026-06-24,2.87,2.87,2.76,2.77,80959200.0
2026-06-25,2.75,2.75,2.69,2.72,90323909.0
2026-06-26,2.71,2.77,2.69,2.71,90308425.0
2026-06-29,2.7,2.79,2.64,2.76,95881325.0
2026-06-30,2.76,2.78,2.71,2.76,62906424.0
2026-07-01,2.75,3.01,2.75,2.96,158248138.0
2026-07-02,2.95,3.02,2.88,2.92,113698722.0
2026-07-03,2.92,2.94,2.86,2.9,72519958.0
2026-07-06,2.92,3.0,2.91,2.97,106859258.0
2026-07-07,2.96,2.97,2.9,2.92,75494300.0
2026-07-08,2.91,2.95,2.86,2.91,55945588.0
2026-07-09,2.89,2.94,2.87,2.93,56117025.0
2026-07-10,2.94,3.04,2.87,3.0,104442709.0
2026-07-13,2.99,3.02,2.96,2.99,68193157.0
2026-07-14,2.96,3.04,2.96,2.99,71233050.0
2026-07-15,2.96,3.07,2.94,3.04,88381100.0
2026-07-16,3.01,3.11,3.0,3.1,92759546.0
2026-07-17,3.08,3.13,2.99,3.02,86750393.0
2026-07-20,3.01,3.06,2.97,3.03,89811833.0
2026-07-21,3.02,3.05,2.97,2.99,78246476.0
2026-07-22,2.97,3.01,2.94,3.0,59481426.0
2026-07-23,2.98,3.04,2.95,3.03,48891914.0
2026-07-24,3.02,3.05,2.93,2.93,58006500.0
2026-07-27,2.92,2.99,2.91,2.98,42842931.0
2026-07-28,2.97,3.01,2.96,2.98,30166250.0
2026-07-29,2.98,3.03,2.97,3.0,49846000.0
2026-07-30,2.99,3.06,2.99,3.02,59037701.0
2026-07-31,3.0,3.06,2.99,3.05,51550677.0
2026-08-03,3.05,3.14,3.04,3.11,80081946.0
2026-08-04,3.11,3.13,3.05,3.06,56723000.0
2026-08-05,3.05,3.07,3.02,3.04,53127800.0
2026-08-06,3.04,3.05,2.97,3.03,91237253.0
2026-08-07,3.02,3.03,2.96,2.99,55974867.0
2026-08-10,2.99,3.1,2.99,3.09,100310570.0
2026-08-11,3.09,3.1,3.03,3.04,54938300.0
2026-08-12,3.03,3.06,3.01,3.04,42375339.0
2026-08-13,3.05,3.06,3.01,3.03,43937366.0
2026-08-14,3.04,3.04,2.98,2.99,43094805.0
2026-08-17,3.0,3.08,2.99,3.07,86945968.0
2026-08-18,3.07,3.38,3.07,3.38,320585256.0
2026-08-19,3.34,3.48,3.23,3.23,323645430.0
2026-08-20,3.26,3.47,3.12,3.41,281751848.0
2026-08-21,3.31,3.33,3.17,3.18,180349332.0
