date,open,high,low,close,volume
2026-05-06,12.96,13.35,12.9,13.35,31046543.0
2026-05-07,13.45,13.55,13.27,13.42,29342279.0
2026-05-08,13.3,13.69,13.29,13.49,29376279.0
2026-05-11,13.85,14.15,13.61,13.72,38715868.0
2026-05-12,13.82,13.88,13.31,13.43,30196674.0
2026-05-13,13.32,13.64,13.25,13.49,27131486.0
2026-05-14,13.48,13.49,12.64,12.64,39995536.0
2026-05-15,12.63,12.67,12.2,12.27,28658347.0
2026-05-18,12.04,12.55,11.85,12.39,27684532.0
2026-05-19,12.34,12.34,11.85,12.0,26510397.0
2026-05-20,11.88,12.26,11.66,12.07,29430296.0
2026-05-21,12.14,12.74,11.95,11.96,39706663.0
2026-05-22,12.01,12.88,11.94,12.78,49539150.0
2026-05-25,12.9,13.19,12.59,12.78,35271543.0
2026-05-26,12.65,13.16,12.48,13.0,35683318.0
2026-05-27,12.86,13.49,12.83,13.11,50070519.0
2026-05-28,13.0,14.11,12.99,13.75,80026270.0
2026-05-29,13.6,14.48,13.31,13.4,78815146.0
2026-06-01,13.37,13.57,12.88,13.01,40550763.0
2026-06-02,13.04,13.52,12.8,13.39,41927788.0
2026-06-03,13.3,14.73,13.21,14.73,78784585.0
2026-06-04,14.08,14.26,13.77,14.04,95712957.0
2026-06-05,13.83,14.3,13.53,13.65,71592494.0
2026-06-08,12.96,13.64,12.5,12.75,62332107.0
2026-06-09,12.96,14.03,12.92,13.9,109854272.0
2026-06-10,14.11,14.25,13.71,13.81,67315857.0
2026-06-11,13.73,14.1,13.57,13.85,64936593.0
2026-06-12,14.02,14.49,13.87,14.2,103533948.0
2026-06-15,14.39,14.75,14.22,14.75,103660586.0
2026-06-16,14.5,15.55,14.38,15.29,111832807.0
2026-06-17,15.0,15.13,14.5,14.66,80383135.0
2026-06-18,16.13,16.13,16.13,16.13,28278748.0
2026-06-22,17.74,17.74,17.74,17.74,5813405.0
2026-06-23,19.51,19.51,19.51,19.51,98064017.0
2026-06-24,19.6,21.46,19.52,21.46,301403488.0
2026-06-25,21.42,23.06,21.41,22.77,221747750.0
2026-06-26,21.78,22.23,20.49,21.56,169890943.0
2026-06-29,21.56,21.85,19.48,20.06,140042131.0
2026-06-30,19.51,22.07,18.42,22.07,152554281.0
2026-07-01,22.32,24.28,22.32,24.28,165513652.0
2026-07-02,23.51,26.71,23.5,26.05,198469217.0
2026-07-03,26.1,26.85,23.73,25.04,166261020.0
2026-07-06,25.38,26.3,23.73,23.94,118096899.0
2026-07-07,23.94,24.45,22.01,22.33,102785812.0
2026-07-08,22.22,22.65,20.1,20.1,92116066.0
2026-07-09,20.01,20.67,18.58,19.65,104923822.0
2026-07-10,19.61,21.62,19.3,19.65,128964680.0
2026-07-13,19.01,19.55,17.69,17.69,82663482.0
2026-07-14,17.04,18.17,16.95,18.08,77832125.0
2026-07-15,18.4,18.6,17.4,17.52,63664208.0
2026-07-16,16.88,17.95,16.62,17.3,59092913.0
2026-07-17,17.21,18.58,16.59,17.02,107821524.0
2026-07-20,17.58,17.84,15.32,15.32,89371896.0
2026-07-21,16.56,16.85,15.22,16.85,148714071.0
2026-07-22,17.37,18.06,16.5,17.1,184672004.0
2026-07-23,17.0,17.75,16.57,17.16,140743902.0
2026-07-24,16.31,16.76,15.51,15.56,116632493.0
2026-07-27,15.3,16.1,15.01,16.09,98979732.0
2026-07-28,15.56,16.37,15.26,15.39,60915365.0
2026-07-29,15.43,15.71,14.8,15.44,77079181.0
2026-07-30,15.34,15.78,14.08,14.23,83617206.0
2026-07-31,15.01,15.34,14.4,14.43,84185503.0
2026-08-03,14.56,15.62,14.38,14.86,74361047.0
2026-08-04,14.82,15.52,14.72,15.4,84508677.0
2026-08-05,15.7,16.88,15.55,16.57,125382051.0
2026-08-06,16.7,17.3,16.32,17.06,147232686.0
2026-08-07,17.0,17.33,16.43,17.22,122158443.0
2026-08-10,17.7,18.87,17.6,18.11,144505463.0
2026-08-11,17.96,18.94,17.55,17.77,127222839.0
2026-08-12,17.76,17.81,17.23,17.52,85390193.0
2026-08-13,17.6,17.81,16.96,17.0,74078285.0
2026-08-14,17.1,17.5,16.9,17.45,64703040.0
2026-08-17,17.5,18.6,17.33,18.39,97446754.0
2026-08-18,18.27,18.56,17.77,18.0,80505905.0
2026-08-19,17.44,18.22,16.78,16.88,69605862.0
2026-08-20,17.2,17.2,16.2,16.4,55805056.0
2026-08-21,16.17,16.79,15.9,16.74,44063978.0
