date,open,high,low,close,volume
2026-05-06,33.69,34.77,32.59,34.5,118812285.0
2026-05-07,34.58,35.77,34.05,34.43,105720532.0
2026-05-08,33.56,34.06,32.91,33.48,75634397.0
2026-05-11,33.47,33.84,32.81,33.19,68339488.0
2026-05-12,33.46,33.56,31.6,32.01,60804925.0
2026-05-13,31.8,34.34,31.71,33.72,90289854.0
2026-05-14,33.2,33.66,31.56,31.61,66643247.0
2026-05-15,31.41,31.54,29.94,30.17,53426525.0
2026-05-18,30.0,30.72,29.68,29.86,38984733.0
2026-05-19,29.86,29.91,27.67,28.23,54945144.0
2026-05-20,27.92,28.6,27.12,28.17,45047185.0
2026-05-21,28.34,29.71,27.91,28.01,56549643.0
2026-05-22,28.02,29.19,27.92,28.96,46983323.0
2026-05-25,29.36,29.78,28.22,28.41,35857870.0
2026-05-26,28.06,29.36,27.51,29.07,47175469.0
2026-05-27,29.29,29.29,27.42,27.73,38956940.0
2026-05-28,27.46,28.96,27.34,28.47,38954971.0
2026-05-29,28.72,30.14,27.78,28.84,65845618.0
2026-06-01,29.32,31.04,28.74,28.98,60396742.0
2026-06-02,28.98,29.5,27.6,29.38,58457110.0
2026-06-03,29.34,31.32,28.7,30.74,99463479.0
2026-06-04,30.36,31.12,29.51,30.93,75230166.0
2026-06-05,30.38,31.3,29.44,29.6,61919329.0
2026-06-08,28.51,31.48,28.42,30.01,76183357.0
2026-06-09,30.06,30.8,29.01,30.32,67921741.0
2026-06-10,29.7,31.22,29.21,30.47,69546809.0
2026-06-11,30.8,33.53,30.7,33.53,124338208.0
2026-06-12,34.89,36.55,32.77,34.53,201847015.0
2026-06-15,34.62,37.76,34.14,37.28,165984700.0
2026-06-16,36.21,39.76,35.9,37.76,146302115.0
2026-06-17,36.74,37.18,34.62,34.77,126121932.0
2026-06-18,33.95,37.69,33.53,36.99,141461846.0
2026-06-22,37.38,40.67,37.08,40.39,153293078.0
2026-06-23,39.88,39.88,36.36,36.36,100883893.0
2026-06-24,35.19,37.77,33.66,36.89,98356823.0
2026-06-25,36.2,38.48,35.47,38.38,100910494.0
2026-06-26,38.0,38.99,35.81,36.19,78074690.0
2026-06-29,35.62,36.36,33.23,34.0,69997558.0
2026-06-30,33.3,34.25,32.82,33.48,61030919.0
2026-07-01,33.96,34.39,32.58,32.9,61696026.0
2026-07-02,32.3,36.19,31.82,35.43,123097238.0
2026-07-03,35.3,35.35,32.7,32.82,90139677.0
2026-07-06,32.78,33.58,30.35,30.37,67675145.0
2026-07-07,30.34,30.56,28.75,28.99,44217093.0
2026-07-08,28.98,29.3,27.65,27.67,38224172.0
2026-07-09,27.84,28.2,26.28,27.87,45364049.0
2026-07-10,28.1,28.83,27.33,27.37,40577978.0
2026-07-13,27.21,28.09,26.45,26.6,39658060.0
2026-07-14,26.32,27.66,26.03,27.59,39592444.0
2026-07-15,27.73,27.88,25.77,25.84,45005444.0
2026-07-16,25.43,25.85,24.4,24.57,35666838.0
2026-07-17,24.57,24.7,22.8,23.05,40571226.0
2026-07-20,23.51,23.63,21.08,21.63,46443947.0
2026-07-21,22.06,23.04,20.21,22.97,52895914.0
2026-07-22,22.8,23.42,22.47,22.7,38852341.0
2026-07-23,22.8,23.48,22.63,23.14,32966628.0
2026-07-24,22.68,23.13,22.12,22.3,21875342.0
2026-07-27,22.41,23.09,22.0,23.08,24206601.0
2026-07-28,22.72,23.03,21.97,22.13,25155711.0
2026-07-29,22.13,22.47,21.23,22.18,27548285.0
2026-07-30,22.08,22.59,21.1,21.38,28187099.0
2026-07-31,22.1,22.96,22.04,22.22,37916112.0
2026-08-03,22.23,22.72,22.01,22.51,24708732.0
2026-08-04,22.7,23.56,22.6,23.44,39431843.0
2026-08-05,23.5,25.37,23.3,25.21,64604408.0
2026-08-06,26.02,27.0,25.53,26.37,89070265.0
2026-08-07,25.6,27.6,25.33,27.03,82337265.0
2026-08-10,27.3,29.04,26.19,28.28,83868668.0
2026-08-11,27.5,27.6,26.7,26.7,55987168.0
2026-08-12,26.45,27.35,26.15,26.69,39808235.0
2026-08-13,27.08,27.08,26.0,26.01,40481819.0
2026-08-14,25.95,26.53,25.84,26.25,29115274.0
2026-08-17,26.53,26.77,26.23,26.76,30664530.0
2026-08-18,26.67,27.64,26.49,26.83,41246157.0
2026-08-19,26.1,26.42,25.38,25.48,31393109.0
2026-08-20,26.0,26.18,24.94,25.2,23677779.0
2026-08-21,25.2,26.26,25.15,26.2,34603194.0
