2026-08-27 | 688038 | 中科通达 | 软件开发 | 20.7亿 | +3.31% | -
2026-08-27 | 301314 | 科瑞思 | 通信设备 | 7.8亿 | +19.96% | -
2026-08-27 | 301389 | 隆扬电子 | 消费电子 | 147.0亿 | +13.78% | -
2026-08-27 | 301369 | 联动科技 | 半导体 | 69.7亿 | +3.72% | 预增
2026-08-27 | 688258 | 卓易信息 | IT服务Ⅱ | 110.2亿 | -0.54% | -
2026-08-27 | 001232 | 嘉立创 | 元件 | 64.9亿 | N/A(次新股) | 预增
2026-08-27 | 300959 | 线上线下 | 通信服务 | 46.7亿 | -1.89% | -
2026-08-27 | 002993 | 奥海科技 | 消费电子 | 89.4亿 | +5.96% | 预减
2026-08-27 | 300655 | 晶瑞电材 | 电子化学品Ⅱ | 139.9亿 | +2.47% | -
2026-08-27 | 000839 | 国安股份 | 通信服务 | 107.8亿 | -2.48% | 增亏
2026-08-27 | 002600 | 领益智造 | 消费电子 | 884.2亿 | +0.49% | -
2026-08-27 | 002654 | 万润科技 | 光学光电子 | 115.0亿 | +19.49% | -
2026-08-27 | 300537 | 广信材料 | 电子化学品Ⅱ | 29.3亿 | +9.35% | -
2026-08-27 | 300536 | 农尚环境 | IT服务Ⅱ | 26.6亿 | +14.97% | -
2026-08-27 | 002388 | 新亚制程 | 其他电子Ⅱ | 32.5亿 | +29.96% | 首亏
2026-08-27 | 000070 | 特发信息 | 通信设备 | 136.1亿 | +25.39% | 预增
2026-08-27 | 300456 | 赛微电子 | 半导体 | 183.6亿 | +9.20% | -
2026-08-27 | 002729 | 好利科技 | 其他电子Ⅱ | 24.3亿 | +5.00% | 预减
2026-08-27 | 300603 | 立昂技术 | 通信服务 | 28.7亿 | +0.52% | -
2026-08-27 | 603220 | 中贝通信 | 通信服务 | 99.8亿 | +2.31% | 预减
2026-08-27 | 300571 | 平治信息 | 通信服务 | 34.2亿 | -2.02% | -
2026-08-27 | 600776 | 东方通信 | 通信设备 | 122.5亿 | +3.89% | 预增
2026-08-27 | 300162 | 雷曼光电 | 光学光电子 | 26.0亿 | +4.69% | -
2026-08-27 | 300638 | 广和通 | 通信设备 | 100.4亿 | -6.85% | -
2026-08-27 | 688232 | 新点软件 | 软件开发 | 58.6亿 | +4.00% | 增亏
2026-08-27 | 300115 | 长盈精密 | 消费电子 | 351.0亿 | -3.54% | -
2026-08-27 | 300493 | 润欣科技 | 其他电子Ⅱ | 61.4亿 | -4.42% | -
2026-08-27 | 300076 | *ST宁视 | 光学光电子 | 19.1亿 | +7.91% | -
2026-08-27 | 600775 | 南京熊猫 | 通信设备 | 64.1亿 | -0.93% | 减亏
2026-08-27 | 600487 | 亨通光电 | 通信设备 | 1582.6亿 | +29.77% | 预增
2026-08-27 | 002134 | 天津普林 | 元件 | 50.8亿 | +5.57% | 预增
2026-08-27 | 600498 | 烽火通信 | 通信设备 | 504.7亿 | +14.87% | -
2026-08-27 | 300398 | 飞凯材料 | 电子化学品Ⅱ | 196.8亿 | +8.24% | -
2026-08-27 | 688631 | 莱斯信息 | 软件开发 | 65.6亿 | -0.30% | -
2026-08-27 | 600734 | *ST实达 | 通信设备 | 36.6亿 | -0.59% | 减亏
2026-08-27 | 300449 | 汉邦高科 | 计算机设备 | 27.2亿 | +6.99% | -
2026-08-27 | 301218 | 华是科技 | IT服务Ⅱ | 33.4亿 | +22.49% | -
2026-08-27 | 603297 | 永新光学 | 光学光电子 | 116.1亿 | +12.59% | -
2026-08-27 | 300383 | 光环新网 | 通信服务 | 218.2亿 | -8.23% | -
2026-08-27 | 301382 | 蜂助手 | 通信服务 | 90.1亿 | +10.74% | -
2026-08-27 | 601231 | 环旭电子 | 消费电子 | 633.1亿 | +12.43% | -
2026-08-27 | 600353 | 旭光电子 | 其他电子Ⅱ | 279.1亿 | +40.69% | -
2026-08-27 | 002876 | 三利谱 | 光学光电子 | 43.1亿 | +6.86% | 预增
2026-08-27 | 301180 | 万祥科技 | 消费电子 | 19.7亿 | +10.20% | -
2026-08-27 | 301316 | 慧博云通 | IT服务Ⅱ | 150.1亿 | +10.18% | -
2026-08-27 | 600707 | 彩虹股份 | 光学光电子 | 327.2亿 | +10.13% | 预减
2026-08-27 | 688031 | 星环科技 | 软件开发 | 120.0亿 | +20.73% | -
2026-08-27 | 688291 | 金橙子 | 软件开发 | 42.0亿 | +10.77% | -
2026-08-27 | 688152 | 麒麟信安 | 软件开发 | 31.6亿 | +18.84% | -
2026-08-27 | 688787 | 海天瑞声 | IT服务Ⅱ | 59.5亿 | +6.72% | -
2026-08-27 | 688387 | 信科移动 | 通信设备 | 252.5亿 | +2.62% | -
2026-08-27 | 688206 | 概伦电子 | 软件开发 | 186.8亿 | +31.85% | -
2026-08-27 | 688343 | 云天励飞 | IT服务Ⅱ | 198.4亿 | -7.13% | -
2026-08-27 | 688500 | 慧辰股份 | IT服务Ⅱ | 27.1亿 | +17.14% | -
2026-08-27 | 600289 | ST信通 | 通信服务 | 25.5亿 | -2.17% | 续亏
2026-08-28 | 002642 | 荣联科技 | IT服务Ⅱ | 47.8亿 | -0.28% | -
