序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
163,600522,中天科技,33.68,-0.62,-0.21,903214,3039186728.0,2.83,34.16,33.2,33.98,33.89,2.65,31.27,3.1
164,300584,海辰药业,32.15,-0.62,-0.2,19462,63365723.5,3.71,33.12,31.92,32.35,32.35,2.37,60.16,3.59
165,300035,中科电气,13.36,-0.74,-0.1,94070,125142978.84,2.23,13.46,13.16,13.26,13.46,1.6,31.16,1.85
166,920971,天马新材,25.12,-0.75,-0.19,10924,27601803.04,2.33,25.6,25.01,25.6,25.31,1.27,105.16,5.69
167,002741,光华科技,24.78,-0.76,-0.19,77692,192970354.0,3.8,25.48,24.53,25.48,24.97,1.81,61.58,5.73
168,603663,三祥新材,40.86,-0.83,-0.34,74772,304583765.0,3.28,41.48,40.13,41.44,41.2,1.26,157.47,16.76
169,688157,松井股份,19.24,-0.88,-0.17,8433,16368471.0,3.97,19.86,19.09,19.32,19.41,0.45,-132.04,2.69
170,603052,可川科技,56.35,-0.9,-0.51,29750,170625408.0,6.52,58.99,55.28,57.25,56.86,1.58,-187.2,10.1
171,603683,晶华新材,15.6,-0.95,-0.15,67771,106175452.0,3.56,15.99,15.43,15.68,15.75,2.35,47.12,2.64
172,688573,信宇人,16.34,-0.97,-0.16,6252,10298214.0,2.97,16.75,16.26,16.57,16.5,1.17,-11.24,4.62
173,002965,祥鑫科技,30.51,-1.04,-0.32,54132,166464389.9,6.78,32.0,29.91,30.85,30.83,2.27,-207.81,1.93
174,688162,巨一科技,24.07,-1.11,-0.27,12802,30743570.0,3.45,24.38,23.54,24.0,24.34,0.93,37.59,1.36
175,300819,聚杰微纤,45.38,-1.15,-0.53,11481,52319886.0,3.9,46.48,44.69,45.9,45.91,0.85,162.83,7.86
176,688733,壹石通,29.7,-1.16,-0.35,21213,63473579.0,3.79,30.54,29.4,29.9,30.05,1.06,3537.62,2.86
177,688392,骄成超声,185.4,-1.19,-2.24,12461,232707069.0,4.62,191.9,183.23,191.9,187.64,1.08,106.64,11.7
178,300243,瑞丰高材,15.8,-1.25,-0.2,86921,137126486.08,3.56,16.1,15.53,16.09,16.0,3.89,37.47,2.85
179,002008,大族激光,83.97,-1.27,-1.08,111003,937326954.27,4.03,86.44,83.01,85.62,85.05,1.16,33.56,4.03
