股票代码,股票简称,sw_l1,首次预约,circulating_cap_yi,market_cap_yi,price,chg_20d_pct,latest_date,ago_date,err,预告方向,预告业绩变动详情,预告公告日期,已发预告
601519,大智慧,计算机,2026-08-27,166.5,166.5,8.37,3.71,2026-08-26,2026-07-29,,增亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:2,300万元至3,300万元。",2026-07-10,True
605118,力鼎光电,计算机,2026-08-27,115.0,115.6,28.12,-1.95,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:17,200万元至19,700万元,同比上年增长:33.35%至52.74%,同比上年增长4,302.05万元至6,802.05万元。",2026-07-10,True
300561,汇金科技,计算机,2026-08-27,40.9,55.7,16.98,-3.74,2026-08-26,2026-07-29,,,,,False
688141,杰华特,电子,2026-08-27,529.7,529.7,117.63,3.41,2026-08-26,2026-07-29,,,,,False
300551,古鳌科技,计算机,2026-08-27,35.8,35.9,10.55,14.57,2026-08-26,2026-07-29,,,,,False
301583,托伦斯,电子,2026-08-27,37.8,227.5,122.67,-36.71,2026-08-26,2026-07-29,,,,,False
002268,电科网安,计算机,2026-08-27,117.7,117.7,13.92,-1.9,2026-08-26,2026-07-29,,减亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:16,000万元至17,200万元。",2026-07-15,True
002331,皖通科技,计算机,2026-08-27,27.9,29.7,6.93,5.15,2026-08-26,2026-07-29,,增亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:4,636.52万元至8,941.85万元。",2026-07-15,True
002771,真视通,计算机,2026-08-27,21.4,25.8,12.28,4.87,2026-08-26,2026-07-29,,减亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:2,000万元至3,000万元。",2026-07-15,True
688790,昂瑞微,电子,2026-08-27,12.0,94.4,94.81,6.59,2026-08-26,2026-07-29,,,,,False
603991,领先股份,电子,2026-08-27,119.3,203.5,133.29,16.93,2026-08-26,2026-07-29,,扭亏,"预计2026年1-6月归属于上市公司股东的净利润盈利约:18,000万元。",2026-07-15,True
002970,锐明技术,计算机,2026-08-27,63.1,91.8,49.92,8.01,2026-08-26,2026-07-29,,,,,False
300074,华平股份,计算机,2026-08-27,21.1,21.1,3.84,11.59,2026-08-26,2026-07-29,,,,,False
301628,强达电路,电子,2026-08-27,25.3,68.4,90.7,23.39,2026-08-26,2026-07-29,,,,,False
300150,世纪瑞尔,计算机,2026-08-27,20.2,25.5,4.35,11.25,2026-08-26,2026-07-29,,,,,False
300167,ST迪威迅,计算机,2026-08-27,14.4,17.0,4.08,5.15,2026-08-26,2026-07-29,,,,,False
300277,汽轮科技,计算机,2026-08-27,90.9,180.0,11.87,2.42,2026-08-26,2026-07-29,,,,,False
688702,盛科通信,电子,2026-08-27,733.8,1482.2,361.51,2.81,2026-08-26,2026-07-29,,,,,False
688693,锴威特,电子,2026-08-27,28.1,53.2,72.21,25.47,2026-08-26,2026-07-29,,,,,False
300290,ST荣科,计算机,2026-08-27,38.5,38.5,6.02,30.3,2026-08-26,2026-07-29,,,,,False
301348,蓝箭电子,电子,2026-08-27,39.8,49.4,20.57,13.33,2026-08-26,2026-07-29,,,,,False
688347,华虹宏力,电子,2026-08-27,958.5,4084.9,235.07,-12.9,2026-08-26,2026-07-29,,,,,False
300333,兆日科技,计算机,2026-08-27,42.5,42.6,12.68,74.66,2026-08-26,2026-07-15,,,,,False
001373,翔腾新材,电子,2026-08-27,12.0,19.6,28.55,14.11,2026-08-26,2026-07-29,,增亏,"预计2026年1-6月归属于上市公司股东的净利润亏损:1,900万元至2,600万元。",2026-07-15,True
300348,长亮科技,计算机,2026-08-27,73.2,81.4,10.02,9.14,2026-08-26,2026-07-29,,,,,False
688512,慧智微,电子,2026-08-27,43.9,63.9,13.52,15.95,2026-08-26,2026-07-29,,,,,False
300366,ST创意,计算机,2026-08-27,27.3,31.2,5.14,18.16,2026-08-26,2026-07-29,,,,,False
688539,高华科技,电子,2026-08-27,46.3,46.3,24.88,6.42,2026-08-26,2026-07-29,,,,,False
300419,ST浩丰,计算机,2026-08-27,30.5,30.5,8.3,7.93,2026-08-26,2026-07-29,,,,,False
603061,金海通,电子,2026-08-27,291.9,291.9,335.5,24.42,2026-08-26,2026-07-29,,预增,"预计2026年1-6月归属于上市公司股东的净利润盈利:16,000万元至19,000万元,同比上年增长:110.51%至149.98%,同比上年增长8,399.45万元至11,399.45万元。",2026-07-14,True
300440,运达科技,计算机,2026-08-27,83.4,83.7,18.95,27.13,2026-08-26,2026-07-29,,,,,False
