
=== 2025-01-14  n=153 ===
  000882 华联股份     board=1 pct=10.2 turn=9.2 floatmkt~62.5亿
  000887 中鼎股份     board=1 pct=10.0 turn=5.9 floatmkt~174.2亿
  000909 *ST数源    board=1 pct=4.9 turn=1.1 floatmkt~22.2亿
  001319 铭科精技     board=1 pct=10.0 turn=12.3 floatmkt~15.3亿
  002031 巨轮智能     board=1 pct=10.0 turn=11.7 floatmkt~116.3亿
  002050 三花智控     board=1 pct=10.0 turn=4.9 floatmkt~1001.3亿
  002066 瑞泰科技     board=1 pct=10.0 turn=3.4 floatmkt~24.2亿
  002076 星光股份     board=1 pct=10.1 turn=14.9 floatmkt~28.5亿
  002103 广博股份     board=1 pct=10.0 turn=9.2 floatmkt~36.3亿
  002115 三维通信     board=1 pct=10.1 turn=17.7 floatmkt~50.4亿
  002122 ST汇洲     board=1 pct=9.9 turn=15.9 floatmkt~81.7亿
  002131 利欧股份     board=1 pct=9.9 turn=17.4 floatmkt~204.1亿
  002134 天津普林     board=1 pct=10.0 turn=3.9 floatmkt~46.5亿
  002137 实益达      board=1 pct=10.1 turn=17.2 floatmkt~29.7亿
  002141 贤丰控股     board=1 pct=5.3 turn=1.0 floatmkt~16.3亿
  002168 ST惠程     board=1 pct=5.0 turn=1.5 floatmkt~19.5亿
  002175 *ST东智    board=1 pct=10.0 turn=8.9 floatmkt~57.4亿
  002177 御银股份     board=1 pct=10.1 turn=8.1 floatmkt~31.6亿
  002209 达 意 隆    board=1 pct=10.0 turn=6.2 floatmkt~15.0亿
  002265 建设工业     board=1 pct=10.0 turn=30.9 floatmkt~112.9亿
  002269 美邦服饰     board=1 pct=10.0 turn=14.1 floatmkt~59.2亿
  002291 遥望科技     board=1 pct=10.1 turn=1.7 floatmkt~55.6亿
  002316 亚联发展     board=1 pct=5.0 turn=2.8 floatmkt~9.8亿
  002322 理工能科     board=1 pct=10.0 turn=2.7 floatmkt~44.9亿
  002323 *ST雅博    board=1 pct=9.7 turn=5.9 floatmkt~34.6亿
  002328 新朋股份     board=1 pct=10.0 turn=7.9 floatmkt~33.2亿
  002335 科华数据     board=1 pct=10.0 turn=8.3 floatmkt~116.4亿
  002346 柘中股份     board=1 pct=10.0 turn=3.6 floatmkt~50.2亿
  002347 泰尔股份     board=1 pct=10.1 turn=13.1 floatmkt~34.4亿
  002350 北京科锐     board=1 pct=10.0 turn=4.8 floatmkt~30.3亿
  002354 天娱数科     board=1 pct=9.8 turn=22.6 floatmkt~95.9亿
  002366 融发核电     board=1 pct=10.1 turn=5.1 floatmkt~59.6亿
  002388 新亚制程     board=1 pct=4.6 turn=3.8 floatmkt~16.9亿
  002396 星网锐捷     board=1 pct=10.0 turn=2.3 floatmkt~108.6亿
  002403 爱仕达      board=1 pct=10.0 turn=7.5 floatmkt~48.2亿
  002426 胜利精密     board=1 pct=9.9 turn=9.3 floatmkt~102.1亿
  002441 众业达      board=1 pct=10.0 turn=3.7 floatmkt~33.2亿
  002468 申通快递     board=1 pct=10.0 turn=4.4 floatmkt~157.7亿
  002490 山东墨龙     board=1 pct=5.0 turn=2.0 floatmkt~15.7亿
  002526 山东矿机     board=1 pct=9.8 turn=21.1 floatmkt~69.1亿
  002528 *ST英飞    board=1 pct=5.1 turn=1.7 floatmkt~30.1亿
  002529 海源复材     board=1 pct=10.0 turn=3.3 floatmkt~19.0亿
  002530 金财互联     board=1 pct=10.0 turn=12.8 floatmkt~65.8亿
  002583 海能达      board=1 pct=10.0 turn=14.9 floatmkt~174.4亿
  002593 日上集团     board=1 pct=10.1 turn=18.4 floatmkt~29.1亿
