code,date,open,high,low,close,preclose,volume,amount,turn,isST,pct,board,limit_price,is_limitup,streak,circ_mkt_est,close_20d_ago,ret_20d_pre
sh.600105,2025-12-24,20.77,23.34,20.71,23.34,21.22,246548160.0,5428699395.97,16.8638,0,0.1,主板,23.34,True,1,32191436069.984226,17.29,0.3499132446500868
sh.600105,2025-12-26,23.49,25.88,23.49,25.88,23.53,224695609.0,5621580057.53,15.3691,0,0.1,主板,25.88,True,1,36577158438.22996,16.42,0.576126674786845
sh.600107,2025-11-12,6.58,6.91,6.37,6.91,6.58,13927820.0,94151755.0,3.8688,1,0.05,ST,6.91,True,1,2433616496.0711336,8.32,-0.16947115384615385
sh.600107,2025-11-13,7.22,7.26,7.17,7.26,6.91,2749500.0,19890895.0,0.7638,1,0.05,ST,7.26,True,2,2604202016.2346163,8.37,-0.13261648745519705
sh.600107,2025-11-14,7.59,7.62,7.37,7.62,7.26,15530947.0,117690358.49,4.3142,1,0.05,ST,7.62,True,3,2727976414.862547,8.79,-0.13310580204778144
sh.600107,2025-11-20,7.78,7.82,7.6,7.82,7.45,4238310.0,33004989.2,1.1773,1,0.05,ST,7.82,True,1,2803447651.405759,8.79,-0.11035267349260514
sh.600107,2025-11-26,7.41,7.95,7.41,7.95,7.57,10571511.0,82823187.11,2.9365,1,0.05,ST,7.95,True,1,2820472913.6727395,8.33,-0.0456182472989195
sh.600107,2025-12-18,6.09,6.44,6.08,6.44,6.13,5600901.0,35434785.32,1.5558,1,0.05,ST,6.44,True,1,2277592577.4521146,7.82,-0.17647058823529405
sh.600107,2025-12-19,6.6,6.76,6.5,6.76,6.44,7878100.0,52780995.0,2.1884,1,0.05,ST,6.76,True,2,2411853180.405776,7.52,-0.10106382978723405
sh.600107,2025-12-22,7.1,7.1,6.98,7.1,6.76,9145900.0,64741176.0,2.5405,1,0.05,ST,7.1,True,3,2548363550.482188,7.31,-0.028727770177838563
sh.600107,2025-12-30,6.53,6.86,6.49,6.86,6.53,4798401.0,32503747.86,1.3329,1,0.05,ST,6.86,True,1,2438573625.9284267,7.48,-0.08288770053475936
sh.600108,2025-12-19,3.0,3.3,2.99,3.3,3.0,157505498.0,504774107.53,8.09,0,0.1,主板,3.3,True,1,6239482169.715698,3.07,0.07491856677524433
sh.600110,2025-11-25,7.12,7.73,7.07,7.73,7.03,195432817.0,1476650477.8,11.263,0,0.1,主板,7.73,True,1,13110631961.289177,6.68,0.15718562874251507
sh.600113,2025-11-10,44.5,48.43,44.5,48.43,44.03,9210247.0,429692614.56,2.2386,0,0.1,主板,48.43,True,1,19194702696.32806,56.84,-0.1479591836734695
sh.600113,2025-11-11,52.4,53.27,52.02,53.27,48.43,4295430.0,227760195.56,1.044,0,0.1,主板,53.27,True,2,21816110685.823753,54.8,-0.027919708029196966
sh.600113,2025-11-12,58.0,58.6,55.0,58.6,53.27,11614015.0,674630280.22,2.8228,0,0.1,主板,58.6,True,3,23899329751.310757,54.63,0.07267069375800839
sh.600113,2025-12-15,58.24,63.76,58.02,63.76,57.96,9182598.0,572567753.91,2.2319,0,0.1,主板,63.76,True,1,25653826511.49245,56.85,0.12154793315743184
sh.600118,2025-12-04,40.98,45.97,40.95,45.97,41.79,99362923.0,4409017067.07,8.4029,0,0.1,主板,45.97,True,1,52470183711.218735,42.94,0.07056357708430361
sh.600118,2025-12-24,58.34,66.12,58.34,66.12,60.11,155036816.0,9792549107.71,13.1111,0,0.1,主板,66.12,True,1,74688997168.12471,41.71,0.5852313593862384
sh.600118,2025-12-25,67.55,72.73,67.0,72.73,66.12,145425478.0,10241486371.84,12.2983,0,0.1,主板,72.73,True,2,83275626483.66035,41.8,0.7399521531100481
sh.600118,2025-12-26,74.0,80.0,72.87,80.0,72.73,167812255.0,12856866646.62,14.1914,0,0.1,主板,80.0,True,3,90596182523.35922,43.4,0.8433179723502304
sh.600118,2025-12-29,81.0,88.0,75.96,88.0,80.0,158889696.0,13355947463.5,13.4369,0,0.1,主板,88.0,True,4,99397535618.3346,43.42,1.0267157991708888
sh.600118,2025-12-31,88.0,94.95,88.0,94.95,86.32,147363197.0,13579108243.02,12.4621,0,0.1,主板,94.95,True,1,108963242495.40608,41.79,1.2720746590093324
sh.600130,2025-11-11,4.02,4.22,4.02,4.22,4.02,30271591.0,125756774.98,4.0362,1,0.05,ST,4.22,True,1,3115722089.5892177,3.73,0.13136729222520094
sh.600130,2025-11-19,4.31,4.56,4.3,4.56,4.34,63288725.0,284756696.59,8.4385,1,0.05,ST,4.56,True,1,3374494241.7491255,3.94,0.15736040609137047
sh.600135,2025-12-15,8.52,9.49,8.52,9.49,8.63,32958710.0,306652894.97,5.9567,0,0.1,主板,9.49,True,1,5148033222.589689,7.92,0.19823232323232332
sh.600135,2025-12-31,9.4,10.32,9.4,10.32,9.38,58510199.0,595882022.32,10.5746,0,0.1,主板,10.32,True,1,5635031323.35975,7.95,0.29811320754716975
sh.600136,2025-12-26,1.67,1.75,1.66,1.75,1.67,31980481.0,55487958.75,1.6459,1,0.05,ST,1.75,True,1,3371283720.153108,1.81,-0.03314917127071826
sh.600137,2025-12-18,18.14,19.72,18.0,19.72,17.93,5244800.0,100950237.0,5.3949,0,0.1,主板,19.72,True,1,1871216092.9767,20.23,-0.025210084033613467
sh.600151,2025-11-28,8.47,9.3,8.35,9.3,8.45,77511973.0,709353952.0,5.4043,0,0.1,主板,9.3,True,1,13125732324.260311,8.24,0.12864077669902918
sh.600151,2025-12-03,10.29,11.28,9.73,11.28,10.25,250256356.0,2661682160.21,17.4486,0,0.1,主板,11.28,True,1,15254416745.240307,8.5,0.3270588235294116
sh.600151,2025-12-04,11.28,12.41,11.28,12.41,11.28,89111229.0,1076807804.23,6.2131,0,0.1,主板,12.41,True,2,17331248559.17336,8.53,0.4548651817116063
sh.600151,2025-12-05,13.0,13.65,12.52,13.65,12.41,293921019.0,3893981082.34,20.493,0,0.1,主板,13.65,True,3,19001517993.168404,8.73,0.563573883161512
sh.600151,2025-12-09,13.15,14.83,12.83,14.83,13.48,318926668.0,4484406933.34,22.2364,0,0.1,主板,14.83,True,1,20166964676.56635,8.88,0.6700450450450448
sh.600151,2025-12-12,14.03,15.4,13.73,15.4,14.0,293562749.0,4357743564.22,20.468,0,0.1,主板,15.4,True,1,21290519661.031857,8.76,0.7579908675799087
sh.600151,2025-12-15,16.0,16.94,15.87,16.94,15.4,140966382.0,2309561694.92,9.8286,0,0.1,主板,16.94,True,2,23498379168.141956,8.64,0.9606481481481481
sh.600151,2025-12-29,16.4,18.29,15.86,18.29,16.63,319699684.0,5448156622.07,22.2903,0,0.1,主板,18.29,True,1,24441827261.499397,9.71,0.8836251287332644
sh.600152,2025-11-13,7.18,7.88,7.18,7.88,7.16,26859932.0,208556670.16,5.0767,0,0.1,主板,7.88,True,1,4108114920.3222566,6.7,0.17611940298507456
sh.600152,2025-11-27,7.21,7.92,7.17,7.92,7.2,55592011.0,421326990.38,10.5073,0,0.1,主板,7.92,True,1,4009850203.001722,6.66,0.18918918918918926
sh.600156,2025-11-17,9.3,10.09,9.26,10.09,9.17,16081347.0,157933076.23,3.9992,0,0.1,主板,10.09,True,1,3949116729.095819,8.36,0.2069377990430623
sh.600157,2025-11-14,1.63,1.79,1.62,1.79,1.63,2537075212.0,4386532851.42,11.6285,0,0.1,主板,1.79,True,1,37722258687.01896,1.63,0.09815950920245409
sh.600163,2025-11-04,5.22,5.74,5.2,5.74,5.22,76575608.0,431013616.89,4.0239,0,0.1,主板,5.74,True,1,10711340164.765526,5.19,0.10597302504816941
sh.600165,2025-11-04,3.8,4.01,3.78,4.01,3.82,17888350.0,70163103.0,2.6119,1,0.05,ST,4.01,True,1,2686285960.4119606,3.92,0.022959183673469274
sh.600165,2025-12-11,2.98,2.98,2.98,2.98,2.84,137200.0,408856.0,0.0187,1,0.05,ST,2.98,True,1,2186395721.9251337,4.1,-0.273170731707317
sh.600165,2025-12-12,3.13,3.13,3.13,3.13,2.98,28100.0,87953.0,0.0038,1,0.05,ST,3.13,True,2,2314552631.578947,4.15,-0.24578313253012052
sh.600165,2025-12-15,3.29,3.29,3.29,3.29,3.13,19820.0,65207.8,0.0027,1,0.05,ST,3.29,True,3,2415103703.703704,4.1,-0.19756097560975605
sh.600165,2025-12-16,3.45,3.45,3.45,3.45,3.29,21300.0,73485.0,0.0029,1,0.05,ST,3.45,True,4,2533965517.2413797,4.29,-0.19580419580419572
sh.600165,2025-12-17,3.62,3.62,3.62,3.62,3.45,51600.0,186792.0,0.007,1,0.05,ST,3.62,True,5,2668457142.857143,4.08,-0.11274509803921573
sh.600165,2025-12-18,3.8,3.8,3.8,3.8,3.62,313400.0,1190920.0,0.0428,1,0.05,ST,3.8,True,6,2782523364.4859815,4.03,-0.057071960297766844
sh.600165,2025-12-19,3.99,3.99,3.99,3.99,3.8,177400.0,707826.0,0.0242,1,0.05,ST,3.99,True,7,2924900826.446281,3.96,0.007575757575757569
sh.600165,2025-12-22,4.19,4.19,3.99,4.19,3.99,43943500.0,183476859.0,5.9957,1,0.05,ST,4.19,True,8,3060140750.871458,3.92,0.06887755102040827
sh.600165,2025-12-26,4.06,4.29,4.03,4.29,4.09,15086250.0,62708522.5,2.0584,1,0.05,ST,4.29,True,1,3046469223.668869,3.96,0.08333333333333326
sh.600167,2025-11-14,8.75,9.14,8.63,9.14,8.31,64732168.0,587846555.03,2.8607,0,0.1,主板,9.14,True,1,20549045863.949383,8.48,0.0778301886792454
sh.600167,2025-12-04,8.41,9.06,8.37,9.06,8.24,62373359.0,556486342.4,2.7564,0,0.1,主板,9.06,True,1,20188881961.979393,8.11,0.11713933415536393
sh.600172,2025-11-11,6.93,7.62,6.76,7.62,6.93,195210054.0,1437981800.37,15.2955,0,0.1,主板,7.62,True,1,9401338958.321074,6.07,0.2553542009884677
sh.600178,2025-12-29,11.98,13.16,11.98,13.16,11.96,26850411.0,345594692.62,5.756,0,0.1,主板,13.16,True,1,6004077356.1501045,11.99,0.09758131776480394
sh.600179,2025-11-07,4.24,4.62,4.2,4.62,4.2,207235076.0,928547765.6,5.5348,0,0.1,主板,4.62,True,1,16776536922.743372,3.66,0.2622950819672132
sh.600179,2025-12-22,4.13,4.47,4.13,4.47,4.06,71050393.0,314911062.5,1.8396,0,0.1,主板,4.47,True,1,17118453060.447926,3.97,0.12594458438287148
sh.600179,2025-12-23,4.92,4.92,4.8,4.92,4.47,164226060.0,806539689.03,4.2521,0,0.1,主板,4.92,True,2,18968032008.41937,3.98,0.2361809045226131
sh.600179,2025-12-24,4.8,5.41,4.72,5.41,4.92,298324318.0,1550089014.05,7.724,0,0.1,主板,5.41,True,3,20068475065.38063,4.11,0.31630170316301687
sh.600179,2025-12-25,5.9,5.95,5.5,5.95,5.41,166199404.0,968402967.09,4.3031,0,0.1,主板,5.95,True,4,22504774862.07618,4.02,0.4800995024875623
sh.600179,2025-12-26,6.07,6.55,5.95,6.55,5.95,595086013.0,3743930688.43,15.4076,0,0.1,主板,6.55,True,5,24299246400.672394,4.14,0.5821256038647344
sh.600183,2025-12-24,66.73,72.6,64.88,72.6,66.0,51827540.0,3598557573.4,2.1644,0,0.1,主板,72.6,True,1,166261207420.07022,57.2,0.26923076923076916
sh.600184,2025-12-10,19.4,21.14,18.82,21.14,19.22,49722441.0,989784754.09,9.7732,0,0.1,主板,21.14,True,1,10127540151.536856,16.77,0.2605843768634466
sh.600186,2025-12-15,5.27,5.81,5.26,5.81,5.28,160474617.0,909298371.29,8.9694,0,0.1,主板,5.81,True,1,10137783701.13943,5.91,-0.016920473773265776
sh.600187,2025-12-15,2.42,2.67,2.41,2.67,2.43,72072978.0,188422390.75,4.4661,0,0.1,主板,2.67,True,1,4218946972.750274,2.93,-0.08873720136518781
sh.600191,2025-11-20,9.55,10.45,9.54,10.45,9.5,10305807.0,105698995.65,2.1252,0,0.1,主板,10.45,True,1,4973602279.785432,7.7,0.357142857142857
sh.600191,2025-11-27,10.27,11.32,10.19,11.32,10.29,23570300.0,254004926.0,4.8605,0,0.1,主板,11.32,True,1,5225901162.431849,8.41,0.34601664684898936
sh.600191,2025-12-18,12.0,13.17,11.89,13.17,11.97,21637613.0,272827425.72,4.462,0,0.1,主板,13.17,True,1,6114464942.178396,10.45,0.2602870813397129
sh.600192,2025-12-12,9.78,9.78,9.78,9.78,8.89,11406238.0,111553007.64,2.5821,0,0.1,主板,9.78,True,1,4320243508.77193,9.95,-0.0170854271356784
sh.600192,2025-12-15,10.76,10.76,10.76,10.76,9.78,8810740.0,94803562.4,1.9945,0,0.1,主板,10.76,True,2,4753249556.27977,10.17,0.058013765978367715
sh.600192,2025-12-30,9.4,10.52,9.4,10.52,9.56,36823631.0,379713677.12,8.3359,0,0.1,主板,10.52,True,1,4555161135.81017,9.09,0.15731573157315726
sh.600193,2025-11-27,3.86,3.86,3.86,3.86,3.68,1426639.0,5506826.54,0.3354,1,0.05,ST,3.86,True,1,1641868378.0560524,4.15,-0.06987951807228932
sh.600193,2025-11-28,3.96,4.05,3.89,4.05,3.86,17980400.0,71840872.0,4.227,1,0.05,ST,4.05,True,2,1699571137.9228766,4.13,-0.01937046004842613
sh.600193,2025-12-05,4.01,4.18,3.98,4.18,3.98,14370585.0,59545394.54,3.3783,1,0.05,ST,4.18,True,1,1762584570.3460321,4.15,0.0072289156626503814
sh.600193,2025-12-24,3.8,3.97,3.8,3.97,3.78,4699652.0,18466047.44,1.1048,1,0.05,ST,3.97,True,1,1671438037.6538742,3.68,0.07880434782608692
sh.600198,2025-12-16,8.6,9.46,8.48,9.46,8.6,56416900.0,518975425.0,4.3333,0,0.1,主板,9.46,True,1,11976448088.062214,8.24,0.1480582524271845
sh.600203,2025-11-27,12.92,14.22,12.9,14.22,12.93,61905077.0,872234167.94,10.4395,0,0.1,主板,14.22,True,1,8355133559.46166,13.64,0.04252199413489732
sh.600217,2025-12-04,4.15,4.55,4.09,4.55,4.14,143502794.0,637996071.22,8.657,0,0.1,主板,4.55,True,1,7369713194.1781225,4.31,0.05568445475638062
sh.600218,2025-11-06,9.9,10.85,9.86,10.85,9.86,31072133.0,331660368.05,7.1332,0,0.1,主板,10.85,True,1,4649531319.043346,9.32,0.16416309012875518
sh.600218,2025-12-05,10.23,11.2,10.1,11.2,10.18,46121789.0,505244783.3,10.5881,0,0.1,主板,11.2,True,1,4771817259.942765,10.75,0.041860465116279055
sh.600219,2025-11-06,4.62,5.08,4.62,5.08,4.62,522163645.0,2603252359.02,4.4961,0,0.1,主板,5.08,True,1,57900232624.274376,4.1,0.23902439024390265
sh.600221,2025-12-22,1.75,1.9,1.75,1.9,1.73,2508058469.0,4699932753.17,7.6296,0,0.1,主板,1.9,True,1,61601299585.430435,1.67,0.13772455089820368
sh.600222,2025-11-11,6.81,7.51,6.77,7.51,6.83,63061632.0,460951210.4,10.9885,0,0.1,主板,7.51,True,1,4194851075.214997,6.64,0.13102409638554224
sh.600227,2025-11-26,2.47,2.71,2.46,2.71,2.46,95691146.0,254889009.82,7.4899,0,0.1,主板,2.71,True,1,3403102976.274717,2.44,0.11065573770491799
sh.600227,2025-11-28,2.7,2.77,2.7,2.77,2.52,52009580.0,143692214.49,4.0709,0,0.1,主板,2.77,True,1,3529740708.1972046,2.4,0.15416666666666679
sh.600227,2025-12-05,2.61,2.83,2.59,2.83,2.57,75560001.0,210217154.03,5.9142,0,0.1,主板,2.83,True,1,3554447837.9155254,2.58,0.0968992248062015
sh.600228,2025-11-03,6.26,6.57,6.2,6.57,6.26,12427403.0,80879127.54,2.9871,1,0.05,ST,6.57,True,1,2707613656.723913,5.75,0.14260869565217393
sh.600228,2025-11-10,6.69,6.97,6.66,6.97,6.64,7825302.0,54061668.86,1.8809,1,0.05,ST,6.97,True,1,2874244715.827529,5.63,0.2380106571936056
sh.600228,2025-12-03,7.55,7.72,7.45,7.72,7.35,13447600.0,102751283.0,3.2323,1,0.05,ST,7.72,True,1,3178890666.089163,6.47,0.19319938176197837
sh.600228,2025-12-17,4.62,5.1,4.62,5.1,4.86,31108093.0,147641859.94,7.4772,1,0.05,ST,5.1,True,1,1974560797.3572996,6.79,-0.24889543446244478
sh.600228,2025-12-26,5.38,5.58,5.38,5.58,5.31,13608120.0,75634144.6,3.2709,1,0.05,ST,5.58,True,1,2312334360.573542,7.0,-0.20285714285714285
sh.600232,2025-12-15,7.2,7.73,6.66,7.73,7.03,50962109.0,371210937.57,13.973,0,0.1,主板,7.73,True,1,2656630198.0247617,7.56,0.022486772486772555
sh.600234,2025-11-28,11.6,12.74,11.51,12.74,11.58,4485532.0,55050021.68,1.7086,0,0.1,主板,12.74,True,1,3221937356.9003863,12.95,-0.01621621621621616
sh.600234,2025-12-17,12.57,13.81,12.45,13.81,12.55,8948124.0,119670639.04,3.4085,0,0.1,主板,13.81,True,1,3510947309.373625,11.76,0.17431972789115657
sh.600234,2025-12-19,13.0,13.99,12.7,13.99,12.72,12670829.0,170348105.79,4.8266,0,0.1,主板,13.99,True,1,3529360332.1178465,11.37,0.23043095866314878
sh.600237,2025-11-25,8.06,8.84,8.05,8.84,8.04,45309748.0,392011822.94,7.2883,0,0.1,主板,8.84,True,1,5378645540.66106,8.22,0.0754257907542577
sh.600237,2025-12-12,8.11,8.99,8.05,8.99,8.17,88547993.0,760592056.71,14.2434,0,0.1,主板,8.99,True,1,5339961362.525802,8.18,0.0990220048899757
sh.600238,2025-12-22,6.55,6.89,6.55,6.89,6.56,10104392.0,68825614.26,2.2693,1,0.05,ST,6.89,True,1,3032900641.6075444,6.63,0.039215686274509665
sh.600243,2025-11-27,5.01,5.24,4.81,5.24,4.99,8555267.0,44185234.08,1.9495,1,0.05,ST,5.24,True,1,2266490591.433701,5.07,0.0335305719921104
sh.600243,2025-12-29,4.83,5.06,4.79,5.06,4.82,9254600.0,46051935.0,2.1088,1,0.05,ST,5.06,True,1,2183798131.6388464,5.31,-0.04708097928436916
sh.600246,2025-11-13,10.9,11.97,10.69,11.97,10.88,129601658.0,1502678728.33,6.8557,0,0.1,主板,11.97,True,1,21918676843.064896,12.05,-0.00663900414937757
sh.600246,2025-11-26,11.39,12.68,11.24,12.68,11.53,106293778.0,1304728321.71,5.6228,0,0.1,主板,12.68,True,1,23204245602.013233,12.25,0.03510204081632651
sh.600246,2025-11-27,13.15,13.95,13.08,13.95,12.68,123809068.0,1707524096.86,6.5493,0,0.1,主板,13.95,True,2,26071856486.342052,11.93,0.16932103939647947
sh.600250,2025-12-08,10.3,11.24,10.24,11.24,10.22,27049800.0,294728262.0,8.7091,0,0.1,主板,11.24,True,1,3384141438.2657223,10.79,0.0417052826691382
sh.600250,2025-12-09,12.15,12.36,11.42,12.36,11.24,68152507.0,824531767.73,21.9426,0,0.1,主板,12.36,True,2,3757675789.24102,10.94,0.12979890310786102
sh.600250,2025-12-11,11.82,13.06,11.82,13.06,11.87,73066598.0,909937166.57,23.5248,0,0.1,主板,13.06,True,1,3867991084.1749988,11.02,0.1851179673321235
sh.600250,2025-12-17,12.38,13.29,12.31,13.29,12.08,48252965.0,632225298.87,15.5357,0,0.1,主板,13.29,True,1,4069499918.7033734,11.25,0.18133333333333335
sh.600250,2025-12-18,14.35,14.62,14.35,14.62,13.29,16260403.0,236269713.86,5.2353,0,0.1,主板,14.62,True,2,4513011935.51468,10.48,0.3950381679389312
sh.600252,2025-11-26,2.69,2.95,2.68,2.95,2.68,129143060.0,374356189.35,4.0558,0,0.1,主板,2.95,True,1,9230144221.855122,2.77,0.06498194945848379
sh.600255,2025-12-03,3.59,3.95,3.55,3.95,3.59,263969836.0,1033978212.62,14.6151,0,0.1,主板,3.95,True,1,7074725541.528967,3.8,0.03947368421052633
sh.600258,2025-11-10,14.87,16.15,14.7,16.15,14.68,71752640.0,1136847614.37,6.426,0,0.1,主板,16.15,True,1,17691372772.642387,14.34,0.12622036262203618
sh.600265,2025-11-03,20.49,21.0,20.49,21.0,20.0,408502.0,8533571.0,0.3147,1,0.05,ST,21.0,True,1,2711652685.096918,26.7,-0.2134831460674157
sh.600265,2025-11-14,20.29,21.3,20.21,21.3,20.29,1145400.0,24112980.0,0.8824,1,0.05,ST,21.3,True,1,2732658658.204896,20.46,0.04105571847507328
sh.600265,2025-11-24,20.17,21.01,20.16,21.01,20.01,928700.0,19262712.0,0.7155,1,0.05,ST,21.01,True,1,2692202935.010482,20.05,0.04788029925187032
sh.600266,2025-12-31,4.63,5.07,4.57,5.07,4.61,138132972.0,674524241.82,6.6546,0,0.1,主板,5.07,True,1,10136210167.703543,4.75,0.06736842105263174
sh.600271,2025-12-15,8.8,9.68,8.63,9.68,8.8,91332203.0,862272155.1,4.9292,0,0.1,主板,9.68,True,1,17493146050.068977,8.78,0.10250569476082005
sh.600271,2025-12-16,9.68,10.65,9.54,10.65,9.68,182285161.0,1834020525.51,9.8379,0,0.1,主板,10.65,True,2,18642398535.35816,8.69,0.22554660529344095
sh.600271,2025-12-30,10.54,11.59,10.48,11.59,10.54,89084547.0,1006213367.63,4.8079,0,0.1,主板,11.59,True,1,20928333942.677677,9.12,0.2708333333333335
sh.600272,2025-11-14,14.08,15.47,14.07,15.47,14.06,19857188.0,304395868.32,12.4107,0,0.1,主板,15.47,True,1,2452688956.464986,12.72,0.2161949685534592
sh.600272,2025-12-02,15.0,16.73,15.0,16.73,15.21,30580325.0,485082864.41,19.1127,0,0.1,主板,16.73,True,1,2538013281.2737083,13.5,0.23925925925925928
sh.600279,2025-12-25,5.82,5.82,5.74,5.82,5.29,27322715.0,158954700.3,2.3021,0,0.1,主板,5.82,True,1,6904769571.261023,5.04,0.15476190476190488
sh.600280,2025-11-18,3.56,3.92,3.46,3.92,3.56,106930005.0,403054996.6,9.4768,0,0.1,主板,3.92,True,1,4253070620.8846865,3.37,0.16320474777448069
sh.600280,2025-11-19,4.31,4.31,4.25,4.31,3.92,63991559.0,275765234.29,5.6713,0,0.1,主板,4.31,True,2,4862469527.092554,3.39,0.2713864306784659
sh.600280,2025-12-09,3.68,4.06,3.64,4.06,3.69,103901048.0,405763492.4,9.2084,0,0.1,主板,4.06,True,1,4406449463.533296,3.44,0.18023255813953476
sh.600280,2025-12-10,4.29,4.47,4.2,4.47,4.06,116178751.0,513268274.38,10.2965,0,0.1,主板,4.47,True,2,4984881021.512164,3.44,0.29941860465116266
