序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1,300963,中洲特材,31.5,6.4549,4,0,418512689.29,73988160.45,344524528.84,2985079069,11.54155454098,46.128,63.17,日换手率达到30%的前5只证券,2025-05-20
2,688648,中邮科技,68.48,14.6877,2,2,3555887500.0,3261196300.0,294691200.0,8252508500,3.57092876669,18.3155,45.29,有价格涨跌幅限制的连续30个交易日内收盘价格涨幅偏离值累计达到200%的证券,2025-05-29
3,300047,天源迪科,17.7,8.4559,4,1,416517647.64,160754366.33,255763281.31,8080496482,3.165192657156,48.9047,97.3,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-05-07
4,688799,华纳药厂,46.36,12.9354,3,1,286457232.54,38667619.51,247789613.03,1653921900,14.98194159168,13.2419,60.88,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2025-05-30
5,300468,四方精创,24.79,7.2696,2,1,346017621.16,119001104.13,227016517.03,10234307275,2.218191333619,42.4341,131.34,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-05-30
6,300204,舒泰神,26.5,15.0174,4,2,250913826.7,72508553.1,178405273.6,2778128609,6.42177878382,13.2308,125.07,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-05-30
7,300047,天源迪科,17.7,8.4559,3,0,246101273.87,78220887.45,167880386.42,4746856162,3.536664703766,48.9047,97.3,日换手率达到30%的前5只证券,2025-05-07
8,002094,青岛金王,7.61,9.9711,4,0,169893746.0,14103668.05,155790077.95,1006124647,15.484172703106,19.5999,52.54,日涨幅偏离值达到7%的前5只证券,2025-05-06
9,002570,贝因美,6.56,10.0671,3,0,158389707.6,4283317.0,154106390.6,1632090503,9.442269918043,23.4065,70.85,日涨幅偏离值达到7%的前5只证券,2025-05-20
10,002977,*ST天箭,48.71,10.0045,3,0,161969635.48,8732057.12,153237578.36,1487683558,10.300414865511,46.2379,32.45,日涨幅偏离值达到7%的前5只证券,2025-05-13
11,002977,*ST天箭,48.71,10.0045,3,0,161969635.48,8732057.12,153237578.36,1487683558,10.300414865511,46.2379,32.45,日换手率达到20%的前5只证券,2025-05-13
12,300468,四方精创,24.79,7.2696,2,1,237151543.16,85112958.13,152038585.03,5758603023,2.640199097294,42.4341,131.34,日换手率达到30%的前5只证券,2025-05-30
13,688648,中邮科技,68.48,14.6877,2,2,2508526200.0,2367074300.0,141451900.0,6165045600,2.294417741209,18.3155,45.29,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2025-05-29
14,300963,中洲特材,18.17,20.0132,4,0,141140430.35,535556.0,140604874.35,1093394557,12.859481826559,31.7485,36.44,日涨幅达到15%的前5只证券,2025-05-06
15,002427,尤夫股份,7.81,10.0,4,1,160540088.12,32838117.0,127701971.12,1473419968,8.667044962974,10.294,76.91,连续三个交易日内，涨幅偏离值累计达到20%的证券,2025-05-14
16,600990,四创电子,29.1,10.0189,1,0,116616256.26,0.0,116616256.26,3284710067,3.550275484938,17.4149,78.28,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-05-29
17,002640,跨境通,5.31,2.3121,4,1,217419205.0,104971812.0,112447393.0,2890442472,3.890317627467,39.6066,74.19,日振幅值达到15%的前5只证券,2025-05-16
18,002640,跨境通,5.31,2.3121,4,1,217419205.0,104971812.0,112447393.0,2890442472,3.890317627467,39.6066,74.19,日换手率达到20%的前5只证券,2025-05-16
19,603630,拉芳家化,21.97,10.015,1,1,130050549.2,19013211.0,111037338.2,1137191505,9.764172323816,7.0737,49.48,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-05-15
20,002779,中坚科技,114.39,10.001,3,1,147820692.4,36811814.0,111008878.4,1046244778,10.610220546305,8.0127,135.48,日涨幅偏离值达到7%的前5只证券,2025-05-12
21,300204,舒泰神,26.5,15.0174,4,1,131892987.6,21404065.86,110488921.74,1572871716,7.024661999835,13.2308,125.07,日涨幅达到15%的前5只证券,2025-05-30
22,000678,襄阳轴承,16.82,10.0065,3,1,146527003.72,37071259.0,109455744.72,1829165268,5.983917726564,24.9954,77.31,日振幅值达到15%的前5只证券,2025-05-12
23,000678,襄阳轴承,16.82,10.0065,3,1,146527003.72,37071259.0,109455744.72,1829165268,5.983917726564,24.9954,77.31,日涨幅偏离值达到7%的前5只证券,2025-05-12
