序号,股票代码,交易日
1,000070,2026-06-23
2,000070,2026-04-16
3,000070,2026-04-13
4,000070,2026-04-09
5,000070,2026-04-02
6,000070,2026-03-31
7,000070,2026-02-13
8,000070,2026-02-12
9,000070,2026-02-11
10,000070,2026-02-05
11,000070,2025-12-11
12,000070,2025-12-05
13,000070,2025-12-04
14,000070,2025-12-02
15,000070,2025-12-01
16,000070,2025-11-27
17,000070,2025-11-26
18,000070,2025-11-24
19,000070,2025-08-15
20,000070,2025-08-14
21,000070,2024-10-29
22,000070,2024-10-08
23,000070,2024-06-05
24,000070,2024-05-29
25,000070,2024-05-21
26,000070,2024-05-16
27,000070,2024-03-27
28,000070,2024-02-23
29,000070,2024-02-22
30,000070,2024-02-01
31,000070,2024-01-29
32,000070,2024-01-26
33,000070,2024-01-24
34,000070,2024-01-23
35,000070,2024-01-22
36,000070,2023-06-08
37,000070,2023-05-31
38,000070,2023-05-08
39,000070,2023-03-27
40,000070,2023-03-13
41,000070,2022-06-29
42,000070,2020-08-13
43,000070,2020-02-24
44,000070,2019-09-03
45,000070,2019-05-23
46,000070,2019-04-23
47,000070,2019-04-22
48,000070,2019-04-16
49,000070,2019-03-13
50,000070,2019-03-01
51,000070,2019-02-28
52,000070,2019-02-27
53,000070,2019-02-25
54,000070,2019-02-21
55,000070,2019-02-11
56,000070,2019-01-16
57,000070,2019-01-15
58,000070,2019-01-14
59,000070,2019-01-10
60,000070,2019-01-08
61,000070,2019-01-07
62,000070,2019-01-04
63,000070,2019-01-03
64,000070,2019-01-02
65,000070,2018-11-21
66,000070,2018-04-23
67,000070,2018-01-11
68,000070,2017-06-08
69,000070,2016-09-19
70,000070,2016-06-17
71,000070,2016-05-16
72,000070,2015-12-25
73,000070,2015-10-26
74,000070,2015-09-29
75,000070,2015-09-28
76,000070,2015-09-25
77,000070,2015-08-12
78,000070,2015-07-31
79,000070,2015-07-21
80,000070,2015-07-01
81,000070,2015-05-20
82,000070,2015-04-23
83,000070,2015-04-20
84,000070,2015-04-15
85,000070,2013-12-05
86,000070,2013-08-21
87,000070,2013-08-20
88,000070,2013-08-19
89,000070,2011-12-13
90,000070,2011-08-31
91,000070,2010-02-02
92,000070,2008-08-05
93,000070,2008-01-28
94,000070,2007-08-13
95,000070,2007-07-09
96,000070,2007-07-06
97,000070,2007-05-24
98,000070,2007-05-16
99,000070,2007-03-19
100,000070,2006-08-15
101,000070,2006-07-05
