code,name,board,streak,circ_mkt_est,turn,ret_20d_pre,amount
sz.001326,联域股份,主板,1,1106920416.6041222,8.6605,0.03344481605351168,95864842.68
sz.002856,*ST美芝,主板,1,1564610467.9443395,7.4667,0.014820592823712841,116824769.81
sz.002591,恒大高新,主板,1,1634902837.6436782,5.568,0.021947873799725626,91031390.0
sz.002789,*ST建艺,ST,5,1643013100.4366813,0.1374,-0.008498583569405138,2257500.0
sh.600599,,ST,1,1695481537.9954994,6.9324,0.012560386473430052,117537562.14
sz.002652,扬子新材,主板,2,2235576697.4654884,10.9528,0.1421188630490955,244858244.52
sh.600228,返利科技,ST,1,2312334360.573542,3.2709,-0.20285714285714285,75634144.6
sz.002903,宇环数控,主板,1,2590240280.3990293,7.418,0.00613246116107935,192144024.0
sz.002763,汇洁股份,主板,2,2635292494.993993,1.7479,0.15733333333333333,46062277.52
sh.603007,顺景科技,ST,1,2648877932.258209,4.4522,-0.07017543859649134,117933343.3
sz.002853,皮阿诺,主板,1,2758276379.667513,15.4472,0.5166101694915255,426076468.92
sz.002136,安 纳 达,主板,1,2785939353.4810734,12.6168,-0.021229868228404114,351496396.35
sz.002691,*ST冀凯,主板,1,2954617242.8414645,4.0092,0.02168949771689488,118456514.5
sz.002571,德力股份,主板,1,3034527249.308437,9.8328,0.2013651877133107,298378995.37
sh.600165,宁科生物,ST,1,3046469223.668869,2.0584,0.08333333333333326,62708522.5
sz.002168,ST惠程,ST,1,3091001321.3213215,1.665,0.01526717557251911,51465172.0
sh.600136,ST明诚,ST,1,3371283720.153108,1.6459,-0.03314917127071826,55487958.75
sh.603843,*ST正平,ST,2,3476667687.5957117,5.4199,-0.4260969976905312,188431912.0
sz.001376,百通能源,主板,1,3751413266.6408806,14.2195,0.42253521126760574,533432209.45
sh.600858,银座股份,主板,1,3822858359.7714467,12.5135,0.258010118043845,478373380.85
sz.301181,标榜股份,创业板,1,3983344618.669185,9.9533,0.18897435897435888,396474239.93
sz.301246,宏源药业,创业板,1,4081827051.4645166,29.7914,0.4412868632707776,1216033424.21
sh.605566,福莱蒽特,主板,1,4171543969.1491494,4.4861,0.08277027027027017,187139634.0
sh.600576,祥源文旅,主板,1,4185514350.390625,10.24,-0.1069012178619757,428596669.48
sh.603278,大业股份,主板,3,4367080182.214728,12.9298,0.36025504782146656,564654733.4
sz.000659,珠海中富,主板,1,4418805236.621998,5.5595,0.20068027210884343,245663477.13
sz.300819,聚杰微纤,创业板,1,4460523958.684496,10.6788,0.4519109617807644,476330432.5
sz.002769,普路通,主板,1,4483604828.38349,16.7379,0.104932735426009,750461292.57
sz.002347,泰尔股份,主板,2,4520582436.896035,19.2064,0.36764705882352966,868241145.16
sz.301117,ST佳缘,创业板,1,4621154104.923158,21.2384,0.15961613787700735,981459193.42
sz.002363,隆基机械,主板,3,4663598833.121574,26.1304,0.2614015572858732,1218617029.49
sz.002931,锋龙股份,主板,2,4792838456.973294,0.0674,0.09466911764705865,3230373.12
sh.600537,*ST亿晶,主板,1,5063917311.315166,10.128,0.04589371980676349,512873545.29
sz.000523,红棉股份,主板,1,5251081752.963948,4.133,0.1671469740634004,217027208.85
sz.002805,丰元股份,主板,1,5258874721.771765,4.3166,-0.07177974434611611,227004586.24
sz.000505,京粮控股,主板,1,5473684197.927489,7.3148,0.15245478036175708,400389051.71
sz.301292,海科新源,创业板,1,5653326965.459158,48.6815,-0.10692135946415282,2752124366.69
sz.300291,百纳千成,创业板,1,5956759302.873293,0.8492,0.06666666666666665,50584800.0
sz.002919,名臣健康,主板,1,6035177852.688531,5.6927,0.015027908973808568,343564569.62
sh.603660,苏州科达,主板,1,6203595488.759624,12.3261,0.13435897435897437,764661383.54
sh.605007,五洲特纸,主板,3,6205972709.762379,11.9981,0.3262531860662701,744598811.69
sz.000863,三湘印象,主板,1,6289855810.808409,5.6271,0.11928429423459241,353936476.33
sh.603978,深圳新星,主板,1,6463833503.636184,14.1082,-0.042572463768115854,911930558.36
sz.002009,天奇股份,主板,2,6855826500.400412,5.2446,0.14556213017751496,359560676.64
sz.000510,新金路,主板,1,6884468237.575131,10.8311,0.3288740245261983,745663639.28
sz.001331,胜通能源,主板,11,7060883595.515741,15.5388,1.9399441340782122,1097176580.14
sh.600345,长江通信,主板,1,7388397361.159493,22.6789,0.3937282229965158,1675607249.14
sz.002201,九鼎新材,主板,2,7495164499.462678,7.2582,0.5581977471839799,544014029.7
sh.600736,苏州高新,主板,1,7538657697.699472,7.3331,0.18035714285714288,552817307.63
sh.600708,光明地产,主板,1,7768340553.257311,2.7799,0.025787965616045794,215952099.04
sz.002471,中超控股,主板,1,8184269446.101299,31.8542,0.5011990407673861,2607033557.9
sz.002752,昇兴股份,主板,1,8235358270.840773,12.6015,0.27496382054992763,1037778672.5
sz.002289,宇顺电子,ST,3,9037528681.481482,3.105,-0.07861369399830931,280615265.56
sz.002969,嘉美包装,主板,8,9292756314.631462,0.2727,1.5362694300518132,25341346.47
sh.603069,海汽集团,主板,1,9329433616.229275,18.7513,0.18997258127692906,1749390085.68
sz.002081,金 螳 螂,主板,1,9463256859.282932,5.0065,0.09365558912386707,473777954.66
sh.603626,科森科技,主板,1,9488779935.199093,17.3763,0.30623100303951367,1648798867.88
sz.000777,中核科技,主板,2,9674450993.92336,20.8668,0.25413022351797876,2018748340.0
sz.002361,神剑股份,主板,7,10656128680.232187,1.5677,1.0772870662460567,167056129.32
sz.000036,华联控股,主板,1,10943037582.949867,3.7161,0.8120649651972158,406654219.62
sh.603686,福龙马,主板,1,11535868122.807838,27.7979,0.036271309394269036,3206729084.91
sh.688158,优刻得,科创板,1,11588398815.719488,24.6293,0.22971854304635775,2854141509.52
sz.002865,钧达股份,主板,1,12106566217.249004,11.305,0.3835098335854765,1368647310.86
sh.600759,ST洲际,主板,1,12287825355.755287,12.8951,0.14232209737827706,1584527367.45
sh.603680,今创集团,主板,1,12377873588.985212,2.9415,0.5324553151458136,364095151.62
