序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型
1,深股通专用,175969058.46,0.073152841495,126670238.0,0.052658620348,49298820.46,日跌幅偏离值达到7%的前5只证券
2,机构专用,71796936.0,0.029847007906,10014621.56,0.004163220682,61782314.44,日跌幅偏离值达到7%的前5只证券
3,中国国际金融股份有限公司上海分公司,43203950.0,0.017960496771,23327556.0,0.009697596961,19876394.0,日跌幅偏离值达到7%的前5只证券
4,机构专用,29669858.0,0.012334182148,8557467.0,0.003557460798,21112391.0,日跌幅偏离值达到7%的前5只证券
5,机构专用,26305848.55,0.010935715553,9440936.0,0.003924731432,16864912.55,日跌幅偏离值达到7%的前5只证券
