序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1180,301608,博实结,88.6,-1.9369,3,1,77170880.92,14553021.0,62617859.92,617742162,10.136568907207,37.3324,15.77,日换手率达到30%的前5只证券,2025-02-28
1181,605133,嵘泰股份,34.25,9.9166,2,1,89903360.69,27442235.0,62461125.69,703930299,8.873197499629,7.2517,63.33,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-04-24
1182,600397,江钨装备,8.12,10.0271,1,0,62447446.0,0.0,62447446.0,559154495,11.168191717747,7.2596,80.38,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,2025-08-26
1183,002190,成飞集成,42.88,10.0051,3,0,80937167.67,18533983.4,62403184.27,2003186909,3.115195291544,13.3385,153.82,日涨幅偏离值达到7%的前5只证券,2025-09-26
1184,688356,键凯科技,110.16,20.0,1,0,62365717.06,0.0,62365717.06,819949900,7.60603996171,7.9622,66.81,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2025-07-21
1185,300475,香农芯创,50.43,17.3064,2,3,222897196.66,160532383.73,62364812.93,2683321113,2.324165103754,12.7554,224.04,日涨幅达到15%的前5只证券,2025-09-08
1186,300612,宣亚国际,21.86,0.1374,4,3,188832369.98,126622047.98,62210322.0,1740906039,3.573445126064,45.3113,39.32,日换手率达到30%的前5只证券,2025-11-19
1187,688135,利扬芯片,24.9,15.4917,1,0,62193738.83,0.0,62193738.83,1132093400,5.493693261528,22.5795,50.1,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-05-20
1188,002565,顺灏股份,13.09,10.0,2,0,72992953.75,10865924.0,62127029.75,1522210634,4.081368791042,10.9833,138.75,日涨幅偏离值达到7%的前5只证券,2025-12-08
1189,300591,万里马,12.42,7.3466,4,2,144636184.6,82634331.8,62001852.8,1870122328,3.315390221896,42.9295,43.53,日换手率达到30%的前5只证券,2025-11-11
1190,688426,康为世纪,25.72,-18.7362,4,0,61971600.0,0.0,61971600.0,232623300,26.640323647717,21.0108,9.77,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券,2025-01-15
1191,300065,海兰信,17.28,12.0623,1,0,77914374.74,15976788.0,61937586.74,4814065467,1.286596270129,42.313,113.33,日换手率达到30%的前5只证券,2025-03-17
1192,002335,科华数据,47.4,10.0023,1,0,61878903.05,0.0,61878903.05,2894477575,2.13782630705,15.4222,189.99,日涨幅偏离值达到7%的前5只证券,2025-02-21
1193,688102,斯瑞新材,34.45,17.5768,1,0,61864031.11,0.0,61864031.11,2226667200,2.778324084982,9.7324,252.11,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-12-12
1194,300062,中能电气,9.2,19.9478,3,0,78392956.55,16616987.54,61775969.01,1480946338,4.171384703475,45.0117,35.52,日涨幅达到15%的前5只证券,2025-11-05
1195,300062,中能电气,9.2,19.9478,3,0,78392956.55,16616987.54,61775969.01,1480946338,4.171384703475,45.0117,35.52,日换手率达到30%的前5只证券,2025-11-05
1196,002938,鹏鼎控股,49.64,9.9934,2,3,221035005.22,159396490.17,61638515.05,3084092609,1.998594817488,2.7735,1146.38,日涨幅偏离值达到7%的前5只证券,2025-12-01
1197,600693,东百集团,8.47,10.0,2,2,668753700.0,607137400.0,61616300.0,6410600400,0.961162701703,25.279,73.6,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2025-01-03
1198,123118,惠城转债,1605.6,20.0,1,0,100664827.61,39055551.85,61609275.76,2941027152,2.09482172642,,,日涨幅达到15%的前5只可转债,2025-10-13
