code,date,close,preclose,pct_chg,turn,amount,circ_mktcap_yi,board_number,is_first_board,ret_20d_prior,isST,board
sz.003029,2025-06-25,31.66,28.78,10.006949270326617,2.0597,111405334.64,54.088136447055405,3,False,41.147621383030895,0,MAIN
sz.002427,2025-05-15,8.59,7.81,9.98719590268886,20.7997,1673368667.89,80.45157708476565,3,False,38.23008849557521,0,MAIN
sz.002424,2025-06-23,4.84,4.61,4.989154013015185,7.7791,455423696.65,58.54452271470992,3,False,13.267813267813278,1,MAIN
sz.002846,2025-06-24,16.4,14.91,9.993293091884636,27.1987,1109235354.91,40.78266074885932,3,False,31.830238726790448,0,MAIN
sz.002898,2025-05-21,9.25,8.81,4.99432463110101,0.7929,7426732.5,9.366543700340522,3,False,24.611032531824616,1,MAIN
sz.002431,2025-05-21,2.64,2.4,10.000000000000009,10.0601,461279444.11,45.85237165733939,3,False,25.0,0,MAIN
sz.002811,2025-05-19,12.36,11.24,9.964412811387891,22.5511,760420418.4,33.71988144259038,3,False,27.14932126696834,0,MAIN
sz.002809,2025-05-13,16.67,15.15,10.033003300330034,33.822,754377020.27,22.304329142865587,3,False,102.54010695187165,0,MAIN
sz.002808,2025-05-27,4.78,4.55,5.054945054945059,0.5263,4700652.0,8.931506745202356,3,False,48.69281045751632,1,MAIN
sz.002579,2025-06-20,10.9,9.91,9.989909182643796,25.876,1639844755.77,63.37319352952543,3,False,26.242038216560527,0,MAIN
sz.002808,2025-05-19,3.93,3.74,5.080213903743314,0.827,6073422.0,7.3439201934703755,3,False,14.723926380368102,1,MAIN
sz.002590,2025-05-20,15.97,14.52,9.986225895316814,20.7097,1633820910.06,78.8915778625475,3,False,29.29652715939448,0,MAIN
sz.002615,2025-06-13,10.25,9.32,9.978540772532195,32.9147,991636839.71,30.12747616444932,3,False,25.437415881561254,0,MAIN
sz.002759,2025-06-26,11.44,10.4,9.999999999999986,7.8356,449116444.38,57.31742870743784,3,False,31.979695431472077,0,MAIN
sz.002620,2025-05-07,3.9,3.71,5.121293800539073,0.4365,5368369.5,12.298670103092782,3,False,1.6438356164383494,1,MAIN
sz.002735,2025-05-20,15.26,13.87,10.021629416005773,15.5292,664763575.98,42.80732915926127,3,False,60.90487238979119,0,MAIN
sz.002730,2025-05-07,19.12,17.38,10.011507479861926,12.2211,807895607.2,66.10661946960585,3,False,8.829054477144638,0,MAIN
sz.002630,2025-05-30,2.87,2.73,5.128205128205132,12.2856,374661921.74,30.49602149996744,3,False,-24.58563535911602,1,MAIN
sz.002717,2025-05-21,1.89,1.8,4.999999999999982,12.2381,361430112.67,29.53318837646367,3,False,-39.39393939393939,1,MAIN
sz.002650,2025-05-08,6.68,6.36,5.031446540880502,0.1201,9239442.0,76.931240632806,3,False,28.2258064516129,1,MAIN
sz.002713,2025-05-07,4.68,4.46,4.932735426008961,0.3971,7625320.56,19.20251966759003,3,False,-5.508474576271183,1,MAIN
sz.002651,2025-05-09,8.94,8.13,9.963099630996286,28.0151,1403490955.68,50.097660036194775,3,False,35.72621035058432,0,MAIN
sz.002693,2025-05-21,8.17,7.78,5.0128534704370065,6.5809,221065106.15,33.59192605114802,3,False,-36.69650122050447,1,MAIN
sz.002569,2025-05-07,7.44,7.09,4.936530324400579,0.153,1592904.0,10.411137254901961,3,False,-3.0095759233926045,1,MAIN
sz.002551,2025-05-14,4.39,3.99,10.02506265664158,18.9944,509423317.92,26.819658316135282,3,False,35.71428571428572,0,MAIN
sz.002537,2025-06-25,11.46,10.42,9.98080614203456,30.2602,3858291805.01,127.50384349772968,3,False,55.754857997010454,0,MAIN
sz.002490,2025-05-08,5.27,4.79,10.020876826722326,3.557,101528146.81,28.54319561709306,3,False,30.517711171662132,0,MAIN
sz.002878,2025-06-13,24.93,22.66,10.017652250661955,42.5556,2329004037.14,54.72849723984622,3,False,53.41909275558565,0,MAIN
sz.002471,2025-05-07,3.6,3.27,10.09174311926606,2.8048,131767383.6,46.979244010268104,3,False,7.5657894736842035,0,MAIN
sz.002471,2025-05-26,5.18,4.71,9.97876857749469,41.8259,2775999236.9,66.37034079123224,3,False,60.750853242320815,0,MAIN
sz.002868,2025-05-16,21.44,20.42,4.995102840352583,2.5235,82121541.6,32.54271511789182,3,False,40.63360881542701,1,MAIN
sz.002485,2025-06-10,3.74,3.56,5.0561797752809,0.1262,2567510.0,20.344770206022186,3,False,15.960912052117271,1,MAIN
sz.002868,2025-05-07,19.43,18.5,5.02702702702702,0.2056,6153481.0,29.929382295719844,3,False,24.747134187457863,1,MAIN
sz.002670,2025-06-26,15.93,14.48,10.013812154696122,3.2366,836984549.79,258.59993505221524,3,False,22.60795935647757,0,MAIN
sz.002828,2025-06-17,12.21,11.1,10.000000000000009,55.2573,1212631607.91,21.94518385643164,3,False,25.565610859728505,0,MAIN
sz.002537,2025-06-03,9.16,8.33,9.963985594237702,21.2725,2257657235.02,106.13032013256552,3,False,14.738292011019283,0,MAIN
sz.002490,2025-06-17,5.27,4.79,10.020876826722326,28.9264,808760162.21,27.95924007861331,3,False,14.868105515587526,0,MAIN
sz.002826,2025-06-06,16.21,14.74,9.97286295793758,0.9032,25285979.0,27.995990921169177,3,False,24.283305227656005,0,MAIN
sz.002816,2025-05-19,17.66,16.82,4.994054696789529,0.1239,2188074.0,17.660000000000004,3,False,33.38620142743856,1,MAIN
sz.002816,2025-05-07,12.98,12.36,5.016181229773475,0.2444,3172312.0,12.98,3,False,3.0000000000000027,1,MAIN
sz.002510,2025-05-20,7.7,7.0,10.000000000000009,0.9499,73494498.0,77.37077376565954,3,False,23.456790123456784,0,MAIN
