序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票,营业部代码
1535,国泰君安证券股份有限公司上海江苏路证券营业部,2025-01-16,0,2,14159385.51,82380158.8,-68220773.29,广百股份 壹网壹创,10025080
1536,中泰证券股份有限公司上海浦东新区江耀路证券营业部,2025-01-16,0,1,,68265790.2,-68265790.2,天下秀,10448359
1537,东亚前海证券有限责任公司上海分公司,2025-01-15,1,2,5084844.0,73627534.8,-68542690.8,来伊份 华塑科技,10924074
1538,国泰君安证券股份有限公司北京光华路证券营业部,2025-01-13,0,1,114408.0,69574261.0,-69459853.0,建设工业,10949120
1539,国盛证券有限责任公司宁波桑田路证券营业部,2025-01-13,2,3,65883447.57,136992782.32,-71109334.75,弘讯科技 神剑股份 国星光电 金奥博,10456710
1540,中信证券股份有限公司西安朱雀大街证券营业部,2025-01-16,0,1,,71493912.0,-71493912.0,五洲新春,10453418
1541,东方证券股份有限公司上海黄浦区中山南路第一证券营业部,2025-01-17,0,1,,71935038.35,-71935038.35,生益科技,10023738
1542,中国银河证券股份有限公司绍兴证券营业部,2025-01-14,3,3,99940619.53,172278064.05,-72337444.52,海得控制 哈空调 福达股份 汉威科技 三丰智能 慈星股份,10023543
1543,东亚前海证券有限责任公司苏州分公司,2025-01-17,1,3,16429282.0,89193985.43,-72764703.43,博通集成 先锋电子 歌力思 金奥博,10000526027
1544,中国国际金融股份有限公司北京建国门外大街证券营业部,2025-01-16,1,2,1767466.0,76190000.66,-74422534.66,广百股份 天和磁材 长龄液压,10050414
1545,国泰君安证券股份有限公司总部,2025-01-15,4,8,42880866.6,117970371.9,-75089505.3,红星发展 东阳光 金瑞矿业 苏豪汇鸿 建设机械 弘讯科技 天和磁材 先达股份 德创环保 比依股份 长龄液压,10023614
1546,中信建投证券股份有限公司北京东城分公司,2025-01-13,0,1,58263.0,75661810.0,-75603547.0,雅化集团,10048194
1547,国泰君安证券股份有限公司上海松江中山东路证券营业部,2025-01-10,1,2,48279127.0,129939200.49,-81660073.49,康盛股份 飞龙股份,10134445
