code,date,open,high,low,close,preclose,volume,amount,turn,isST,board,limitpct,limit_price,is_zt,pct_chg
sh.600136,2025-05-22,2.14,2.24,2.14,2.24,2.13,6561215.0,14575960.6,0.3377,1,MAIN,0.05,2.24,True,5.164319248826299
sh.600137,2025-05-19,16.98,18.58,16.9,18.58,16.89,8924506.0,162529196.13,9.1799,0,MAIN,0.1,18.58,True,10.005920663114253
sh.600137,2025-05-20,20.44,20.44,20.44,20.44,18.58,1446800.0,29572592.0,1.4882,0,MAIN,0.1,20.44,True,10.01076426264802
sh.600137,2025-05-21,22.48,22.48,22.48,22.48,20.44,4960336.0,111508353.28,5.1023,0,MAIN,0.1,22.48,True,9.980430528375738
sh.600137,2025-05-22,24.73,24.73,24.73,24.73,22.48,2067989.0,51141367.97,2.1272,0,MAIN,0.1,24.73,True,10.008896797153021
sh.600148,2025-05-20,20.29,22.23,19.82,22.23,20.21,10089221.0,210184149.31,7.1294,0,MAIN,0.1,22.23,True,9.995051954477985
sh.600148,2025-05-22,20.88,23.08,20.17,23.08,20.98,18065433.0,394083855.64,12.7656,0,MAIN,0.1,23.08,True,10.0095328884652
sh.600149,2025-05-21,5.19,5.65,5.14,5.65,5.14,21334025.0,117623826.76,5.6119,0,MAIN,0.1,5.65,True,9.922178988326857
sh.600149,2025-05-22,6.0,6.22,5.87,6.22,5.65,20815850.0,127484269.44,5.4755,0,MAIN,0.1,6.22,True,10.088495575221224
sh.600151,2025-06-06,6.59,7.22,6.58,7.22,6.56,96764918.0,689554558.21,6.7467,0,MAIN,0.1,7.22,True,10.060975609756095
sh.600152,2025-06-27,6.3,6.92,6.28,6.92,6.29,91959579.0,616732134.83,17.3811,0,MAIN,0.1,6.92,True,10.015898251192358
sh.600152,2025-06-30,7.61,7.61,7.26,7.61,6.92,107496284.0,809839411.88,20.3176,0,MAIN,0.1,7.61,True,9.97109826589595
sh.600156,2025-05-09,6.0,6.4,5.87,6.4,5.82,20656285.0,128598466.64,5.137,0,MAIN,0.1,6.4,True,9.965635738831624
sh.600156,2025-06-26,6.63,7.29,6.61,7.29,6.63,46456109.0,323259424.82,11.5531,0,MAIN,0.1,7.29,True,9.954751131221728
sh.600165,2025-05-08,4.65,4.88,4.64,4.88,4.65,12916252.0,62036890.3,1.8859,1,MAIN,0.05,4.88,True,4.946236559139772
sh.600165,2025-05-09,5.0,5.12,5.0,5.12,4.88,22142853.0,112477918.18,3.2331,1,MAIN,0.05,5.12,True,4.918032786885251
sh.600165,2025-05-16,4.92,5.15,4.91,5.15,4.9,12255788.0,62163809.6,1.7895,1,MAIN,0.05,5.14,True,5.102040816326525
sh.600165,2025-06-03,4.65,4.88,4.65,4.88,4.65,14069878.0,67980009.36,2.0543,1,MAIN,0.05,4.88,True,4.946236559139772
sh.600172,2025-05-27,4.31,4.36,4.18,4.36,3.96,85228163.0,369077112.3,6.678,0,MAIN,0.1,4.36,True,10.1010101010101
sh.600178,2025-06-05,12.98,13.57,12.81,13.57,12.34,45560680.0,607799466.98,9.767,0,MAIN,0.1,13.57,True,9.967585089141018
sh.600184,2025-05-12,14.24,16.05,14.2,16.05,14.59,52249213.0,810300564.89,10.2699,0,MAIN,0.1,16.05,True,10.006854009595623
sh.600184,2025-06-25,14.8,16.02,14.73,16.02,14.56,60058802.0,946926977.8,11.8049,0,MAIN,0.1,16.02,True,10.027472527472515
sh.600189,2025-05-27,7.56,8.04,7.56,8.04,7.31,43340503.0,343645788.12,6.0599,0,MAIN,0.1,8.04,True,9.986320109439117
sh.600192,2025-05-26,6.7,7.35,6.65,7.35,6.68,11355560.0,82706884.0,2.5706,0,MAIN,0.1,7.35,True,10.029940119760482
sh.600192,2025-05-27,7.72,8.09,7.71,8.09,7.35,53329730.0,428876902.27,12.0724,0,MAIN,0.1,8.09,True,10.068027210884356
sh.600192,2025-05-28,8.0,8.9,7.98,8.9,8.09,52385037.0,448618520.94,11.8586,0,MAIN,0.1,8.9,True,10.012360939431408
sh.600192,2025-06-30,7.77,8.55,7.72,8.55,7.77,32965900.0,276642777.26,7.4626,0,MAIN,0.1,8.55,True,10.038610038610063
sh.600193,2025-05-06,2.97,3.12,2.97,3.12,2.97,20706992.0,63539187.61,4.868,1,MAIN,0.05,3.12,True,5.050505050505039
sh.600193,2025-05-07,3.28,3.28,3.28,3.28,3.12,1418590.0,4652975.2,0.3335,1,MAIN,0.05,3.28,True,5.12820512820511
sh.600193,2025-05-08,3.44,3.44,3.44,3.44,3.28,1659500.0,5708680.0,0.3901,1,MAIN,0.05,3.44,True,4.878048780487809
sh.600193,2025-05-09,3.61,3.61,3.61,3.61,3.44,2250930.0,8125857.3,0.5292,1,MAIN,0.05,3.61,True,4.941860465116288
sh.600193,2025-05-12,3.79,3.79,3.79,3.79,3.61,1836939.0,6961998.81,0.4318,1,MAIN,0.05,3.79,True,4.986149584487531
sh.600193,2025-05-13,3.98,3.98,3.98,3.98,3.79,1642761.0,6538188.78,0.3862,1,MAIN,0.05,3.98,True,5.013192612137196
sh.600193,2025-05-14,4.18,4.18,3.88,4.18,3.98,93446190.0,382832435.03,21.9681,1,MAIN,0.05,4.18,True,5.025125628140703
sh.600193,2025-05-21,3.68,3.91,3.67,3.91,3.72,25343012.0,96443586.18,5.9578,1,MAIN,0.05,3.91,True,5.107526881720426
sh.600193,2025-05-26,4.1,4.31,4.05,4.31,4.1,41539231.0,175103812.89,9.7654,1,MAIN,0.05,4.3,True,5.1219512195122
sh.600193,2025-05-28,4.48,4.63,4.24,4.63,4.41,49983659.0,222872201.7,11.7505,1,MAIN,0.05,4.63,True,4.9886621315192725
sh.600193,2025-05-29,4.86,4.86,4.8,4.86,4.63,35439861.0,172213600.46,8.3315,1,MAIN,0.05,4.86,True,4.967602591792675
sh.600193,2025-05-30,4.8,5.1,4.7,5.1,4.86,38339859.0,188719509.66,9.0132,1,MAIN,0.05,5.1,True,4.938271604938249
sh.600198,2025-05-20,8.39,9.23,8.31,9.23,8.39,65882043.0,587269472.89,5.0603,0,MAIN,0.1,9.23,True,10.011918951132293
sh.600201,2025-06-23,7.32,7.94,7.3,7.94,7.22,100477761.0,792387414.52,8.9683,0,MAIN,0.1,7.94,True,9.972299168975084
sh.600202,2025-05-26,5.35,5.75,5.35,5.75,5.23,73042000.0,414257303.0,19.0541,0,MAIN,0.1,5.75,True,9.94263862332696
sh.600203,2025-05-06,8.89,9.6,8.75,9.6,8.73,36968500.0,341641255.0,6.2343,0,MAIN,0.1,9.6,True,9.965635738831601
sh.600207,2025-05-19,4.57,4.57,4.57,4.57,4.15,13132202.0,60014163.14,1.2055,0,MAIN,0.1,4.57,True,10.120481927710845
sh.600207,2025-05-20,5.03,5.03,5.03,5.03,4.57,8943800.0,44987314.0,0.821,0,MAIN,0.1,5.03,True,10.065645514223199
sh.600212,2025-05-29,7.15,7.87,7.14,7.87,7.15,38765577.0,293535320.5,7.53,0,MAIN,0.1,7.87,True,10.069930069930066
sh.600212,2025-05-30,8.24,8.66,7.96,8.66,7.87,99471859.0,834477116.65,19.3218,0,MAIN,0.1,8.66,True,10.038119440914862
sh.600212,2025-06-24,7.47,8.25,7.47,8.25,7.5,50272320.0,401303225.15,9.7651,0,MAIN,0.1,8.25,True,10.000000000000009
sh.600223,2025-05-15,7.38,8.11,7.31,8.11,7.37,35242547.0,277437741.39,3.4668,0,MAIN,0.1,8.11,True,10.04070556309362
sh.600223,2025-06-11,8.42,9.3,8.33,9.3,8.45,81819738.0,734838777.03,8.0486,0,MAIN,0.1,9.3,True,10.059171597633142
sh.600227,2025-06-17,2.54,2.83,2.53,2.83,2.57,119167470.0,331584552.18,9.3274,0,MAIN,0.1,2.83,True,10.116731517509736
sh.600228,2025-05-08,3.05,3.22,3.01,3.22,3.07,28179305.0,88615215.78,6.763,1,MAIN,0.05,3.22,True,4.885993485342022
sh.600228,2025-05-12,3.4,3.48,3.35,3.48,3.31,20681300.0,70779094.0,4.9442,1,MAIN,0.05,3.48,True,5.1359516616314105
sh.600228,2025-05-14,3.68,3.78,3.62,3.78,3.6,26586593.0,98742854.9,6.3559,1,MAIN,0.05,3.78,True,4.999999999999982
sh.600228,2025-05-15,3.9,3.97,3.85,3.97,3.78,29149531.0,114943500.75,6.9686,1,MAIN,0.05,3.97,True,5.026455026455046
sh.600228,2025-05-19,3.95,4.0,3.8,4.0,3.81,25725209.0,101034513.25,6.15,1,MAIN,0.05,4.0,True,4.986876640419946
sh.600228,2025-05-28,4.22,4.39,4.07,4.39,4.18,26704451.0,113837608.12,6.3841,1,MAIN,0.05,4.39,True,5.023923444976086
sh.600228,2025-06-09,4.3,4.47,4.28,4.47,4.26,15977365.0,70020260.59,3.8196,1,MAIN,0.05,4.47,True,4.929577464788726
sh.600228,2025-06-11,4.53,4.79,4.53,4.79,4.56,18411562.0,86278642.5,4.4016,1,MAIN,0.05,4.79,True,5.043859649122817
sh.600228,2025-06-12,4.87,5.03,4.78,5.03,4.79,21961611.0,108404540.69,5.2502,1,MAIN,0.05,5.03,True,5.0104384133611735
sh.600228,2025-06-17,5.0,5.18,4.94,5.18,4.93,29970325.0,154158191.98,7.1648,1,MAIN,0.05,5.18,True,5.070993914807298
sh.600232,2025-06-06,5.77,6.36,5.66,6.36,5.78,12332866.0,76307581.76,3.3815,0,MAIN,0.1,6.36,True,10.034602076124566
sh.600232,2025-06-09,7.0,7.0,7.0,7.0,6.36,3184630.0,22292410.0,0.8732,0,MAIN,0.1,7.0,True,10.062893081761004
sh.600232,2025-06-10,7.7,7.7,7.64,7.7,7.0,76029141.0,585408138.7,20.846,0,MAIN,0.1,7.7,True,10.000000000000009
sh.600232,2025-06-11,7.42,8.47,6.93,8.47,7.7,115988371.0,873797913.64,31.8022,0,MAIN,0.1,8.47,True,10.000000000000009
sh.600234,2025-05-08,7.23,7.63,7.22,7.63,7.27,4652418.0,35155888.01,1.7722,1,MAIN,0.05,7.63,True,4.951856946354893
sh.600234,2025-05-21,7.25,7.74,7.23,7.74,7.04,5592787.0,42826001.38,2.1304,0,MAIN,0.1,7.74,True,9.943181818181813
sh.600238,2025-05-08,4.48,4.78,4.38,4.78,4.55,37510151.0,173676741.97,8.4292,1,MAIN,0.05,4.78,True,5.054945054945059
sh.600238,2025-05-26,5.36,5.65,5.36,5.65,5.38,13899750.0,77246021.0,3.1235,1,MAIN,0.05,5.65,True,5.018587360594795
sh.600238,2025-06-24,5.6,5.8,5.55,5.8,5.52,7112711.0,40798561.15,1.5984,1,MAIN,0.05,5.8,True,5.072463768115942
sh.600241,2025-06-26,7.75,8.8,7.75,8.8,8.0,21326203.0,184583010.9,7.2464,0,MAIN,0.1,8.8,True,10.000000000000009
sh.600241,2025-06-27,9.26,9.68,8.85,9.68,8.8,61269185.0,581814844.36,20.8185,0,MAIN,0.1,9.68,True,9.999999999999986
sh.600241,2025-06-30,10.65,10.65,10.16,10.65,9.68,49285734.0,521033190.05,16.7466,0,MAIN,0.1,10.65,True,10.0206611570248
sh.600243,2025-05-06,2.33,2.43,2.3,2.43,2.31,29615496.0,70652257.29,6.7484,1,MAIN,0.05,2.43,True,5.1948051948051965
sh.600243,2025-05-12,2.52,2.63,2.5,2.63,2.5,23102217.0,59482231.41,5.2643,1,MAIN,0.05,2.62,True,5.200000000000005
sh.600243,2025-05-15,2.72,2.76,2.68,2.76,2.63,38413877.0,105329269.47,8.7533,1,MAIN,0.05,2.76,True,4.942965779467667
sh.600243,2025-05-19,2.91,2.94,2.85,2.94,2.8,10838300.0,31656520.0,2.4697,1,MAIN,0.05,2.94,True,5.000000000000004
sh.600243,2025-05-21,3.02,3.11,2.98,3.11,2.96,18497145.0,56493596.55,4.2149,1,MAIN,0.05,3.11,True,5.067567567567566
sh.600243,2025-05-28,3.14,3.26,3.08,3.26,3.1,31336686.0,99500954.18,7.1406,1,MAIN,0.05,3.26,True,5.161290322580636
sh.600243,2025-06-16,3.05,3.22,3.04,3.22,3.07,13935002.0,44068532.2,3.1753,1,MAIN,0.05,3.22,True,4.885993485342022
sh.600249,2025-05-15,5.62,6.18,5.58,6.18,5.62,116057679.0,699130081.23,21.1014,0,MAIN,0.1,6.18,True,9.964412811387891
sh.600250,2025-06-03,8.81,9.49,8.81,9.49,8.63,33777775.0,310246312.26,10.8752,0,MAIN,0.1,9.49,True,9.965237543453064
sh.600250,2025-06-09,10.19,11.17,10.04,11.17,10.15,57849465.0,610128472.57,18.6254,0,MAIN,0.1,11.16,True,10.049261083743843
