序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型
1,机构专用,0.0,0.0,313141557,0.130177400988,-313141557.0,日跌幅偏离值达到7%的前5只证券
2,深股通专用,175969058.46,0.073152841495,126670238,0.052658620348,49298820.46,日跌幅偏离值达到7%的前5只证券
3,东方财富证券股份有限公司拉萨东环路第二证券营业部,13065729.0,0.00543160946,25366414,0.010545179243,-12300685.0,日跌幅偏离值达到7%的前5只证券
4,国泰君安证券股份有限公司南京太平南路证券营业部,223896.0,9.3076753e-05,23720557,0.009860973069,-23496661.0,日跌幅偏离值达到7%的前5只证券
5,中国国际金融股份有限公司上海分公司,43203950.0,0.017960496771,23327556,0.009697596961,19876394.0,日跌幅偏离值达到7%的前5只证券
