序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型
1,联储证券股份有限公司杭州环城北路证券营业部,0,0.0,141792173.72,0.077155600732,-141792173.72,日振幅值达到15%的前5只证券
2,广发证券股份有限公司上海浦东新区东方路证券营业部,125469,6.8273416e-05,52825606.4,0.02874482624,-52700137.4,日振幅值达到15%的前5只证券
3,招商证券股份有限公司深圳科技园高新南一道证券营业部,6592101,0.003587063372,32713798.0,0.017801072307,-26121697.0,日振幅值达到15%的前5只证券
4,甬兴证券有限公司杭州金城路证券营业部,0,0.0,28568234.0,0.015545281508,-28568234.0,日振幅值达到15%的前5只证券
5,华林证券股份有限公司北京分公司,131262,7.1425652e-05,27799808.08,0.015127145853,-27668546.08,日振幅值达到15%的前5只证券
