序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票,营业部代码
1,深股通专用,2025-05-30,9,9,1891480377.01,1112213492.86,779266884.15,ST云动 恒宝股份 联化科技 融发核电 海联金汇 千红制药 雪人集团 华森制药 四方精创 天阳科技,10634757
2,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,2025-05-12,1,3,696782354.5,50355346.67,646427007.83,华电辽能 德力股份 中国瑞林 中航成飞,10025080
3,开源证券股份有限公司西安太华路证券营业部,2025-05-23,18,7,668873987.72,192435095.71,476438892.01,天元智能 烽火电子 福华尚纬 国风新材 京华激光 海森药业 海翔药业 升达林业 塞力医疗 中超控股 一心堂 天安新材 金龙羽 阳谷华泰 海辰药业 中洲特材 华研精机 新天地 恒鑫生活 国科天成,10477800
4,深股通专用,2025-05-07,9,9,1511106210.6,1112048902.47,399057308.13,宗申动力 鸿博股份 建设工业 天娱数科 天源迪科 常山药业 苏奥传感 晨曦航空 爱乐达,10634757
5,国泰海通证券股份有限公司上海江苏路证券营业部,2025-05-08,2,2,440378824.6,80576433.0,359802391.6,中欣氟材 中航成飞,10025080
6,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,2025-05-08,2,2,440378824.6,80576433.0,359802391.6,国芳集团 天和磁材,10025080
7,国泰海通证券股份有限公司上海新闸路证券营业部,2025-05-07,7,2,487419551.44,134872931.2,352546620.24,红宝丽 天娱数科 中超控股 天源迪科 常山药业 金明精机 晨曦航空 大叶股份 狄耐克,10430845
8,国泰海通证券股份有限公司上海松江中山东路证券营业部,2025-05-08,3,1,464517136.0,130681159.6,333835976.4,金龙机电 晨曦航空 中航成飞,10134445
9,国泰海通证券股份有限公司上海浦东新区海阳西路证券营业部,2025-05-23,1,2,392489456.2,60051750.0,332437706.2,金龙羽 海辰药业 慧博云通,10000526029
10,国泰海通证券股份有限公司上海松江区中山东路证券营业部,2025-05-21,5,0,318619185.79,16278318.0,302340867.79,中邮科技 国轩高科 保龄宝 一心堂 王子新材,10134445
11,国泰海通证券股份有限公司三亚迎宾路证券营业部,2025-05-16,2,1,407909444.0,115947218.44,291962225.56,红宝丽 拓新药业,10564207
12,开源证券股份有限公司西安太华路证券营业部,2025-05-07,13,2,302903462.68,34137331.14,268766131.54,华阳新材 天娱数科 湖南天雁 中超控股 航天长峰 电光科技 华伍股份 南方路机 金明精机 金麒麟 苏奥传感 春光科技 爱乐达 狄耐克,10477800
13,国泰海通证券股份有限公司总部,2025-05-26,17,8,518074250.12,250863700.84,267210549.28,浪莎股份 ST交昂 大西洋 锦江在线 鼎龙科技 合锻智能 肯特催化 云中马 天元智能 通达电气 京华激光 永冠新材 莱绅通灵 雪龙集团 正和生态 均瑶健康 安凯微 中邮科技 汉邦科技,10004865
14,国泰海通证券股份有限公司上海海阳西路证券营业部,2025-05-08,4,2,426216333.23,167266323.62,258950009.61,中欣氟材 狄耐克 中航成飞,10000526029
15,国泰海通证券股份有限公司上海浦东新区海阳西路证券营业部,2025-05-08,4,2,426216333.23,167266323.62,258950009.61,华胜天成 豪能股份 嵘泰股份,10000526029
16,国泰海通证券股份有限公司上海静安区新闸路证券营业部,2025-05-29,7,3,378586232.4,123795832.0,254790400.4,青岛金王 远东股份 中超控股 合锻智能 京华激光 雪人集团 福龙马 四方精创 久盛电气,10430845
17,深股通专用,2025-05-28,9,9,891979011.76,645856867.76,246122144.0,广聚能源 联化科技 融发核电 雪人集团 金龙羽 华森制药 水羊股份 玉禾田 欢乐家,10634757
18,国泰海通证券股份有限公司宜昌沿江大道证券营业部,2025-05-29,6,1,286751954.81,45135018.0,241616936.81,汇金通 粤电力A 中超控股 雪人集团 四方精创 广康生化 久盛电气,10026729
19,深股通专用,2025-05-29,12,12,1725047544.35,1491339936.09,233707608.26,广聚能源 粤电力A 鸿博股份 联化科技 融发核电 雪人集团 金龙羽 新国都 常山药业 四方精创 拉卡拉 玉禾田 天阳科技,10634757
20,开源证券股份有限公司西安太华路证券营业部,2025-05-16,14,7,396788165.94,172588173.9,224199992.04,*ST华幸 日发精机 百利电气 王子新材 安乃达 红墙股份 *ST东珠 安正时尚 郑中设计 哈三联 集泰股份 中欣氟材 中洲特材 拓新药业 格力博 豪恩汽电,10477800
21,国泰海通证券股份有限公司上海静安区新闸路证券营业部,2025-05-26,7,2,282736874.68,61911295.0,220825579.68,融发核电 保变电气 智莱科技 大西洋 锦江在线 合锻智能 苏州龙杰,10430845
22,开源证券股份有限公司西安太华路证券营业部,2025-05-26,12,7,395955263.94,176673609.54,219281654.4,天元智能 海森药业 通达电气 鸿博股份 京华激光 永冠新材 金利华电 雪龙集团 会畅科技 中科信息 正和生态 智莱科技 均瑶健康 中洲特材 哈焊华通 新天地 星宸科技,10477800
23,开源证券股份有限公司西安太华路证券营业部,2025-05-14,10,5,442213015.22,235468594.34,206744420.88,*ST三房 凤凰航运 宁波远洋 襄阳轴承 展鹏科技 长久物流 青岛金王 尚荣医疗 集泰股份 飞力达 鑫磊股份 中集环科,10477800
24,东方财富证券股份有限公司拉萨金融城南环路证券营业部,2025-05-15,24,6,506741515.13,304561773.95,202179741.18,退市苏吴 国航远洋 渝三峡A 返利科技 甘化科工 襄阳轴承 华纺股份 星光股份 渤海化学 青岛金王 皖通科技 连云港 尤夫股份 锦江航运 尚荣医疗 跨境通 国芳集团 红墙股份 中远海发 京运通 中欣氟材 朝阳科技 大叶股份 金桥信息 迎丰股份,10678762
25,甬兴证券有限公司宁波和源路证券营业部,2025-05-12,4,0,200266953.05,34524.0,200232429.05,苏州龙杰 利君股份 航天南湖 中航成飞,10000147202
26,开源证券股份有限公司西安太华路证券营业部,2025-05-27,16,11,447144709.6,249008346.77,198136362.83,烽火电子 黄河旋风 长城电工 ST云动 *ST湘邮 锡装股份 宿迁联盛 英联股份 通达电气 中旗股份 智莱科技 京华激光 永冠新材 科拓生物 雪龙集团 哈焊华通 美邦股份 正和生态 格力博 均瑶健康 新天地 科捷智能,10477800
27,国泰海通证券股份有限公司上海静安区新闸路证券营业部,2025-05-08,4,3,554064469.62,363171080.1,190893389.52,沃尔核材 红宝丽 海能达 晨曦航空 狄耐克 中航成飞,10430845
28,国盛证券有限责任公司宁波天童南路证券营业部,2025-05-30,6,2,259567130.0,71531332.36,188035797.64,百利电气 御银股份 富煌钢构 久事动娱 德邦股份 中力股份,10664100
29,国泰海通证券股份有限公司上海静安区新闸路证券营业部,2025-05-16,4,0,184827678.78,0.0,184827678.78,红宝丽 利君股份 中洲特材 格力博,10430845
30,国泰海通证券股份有限公司北京金融街证券营业部,2025-05-15,3,0,182084136.29,152851.0,181931285.29,渝三峡A 中毅达 成飞集成,10124786
31,中信证券股份有限公司上海分公司,2025-05-06,11,5,301755884.0,123942162.9,177813721.1,曙光股份 华电辽能 龙溪股份 ST新华锦 天和磁材 福达股份 南方路机 日盈电子 莱绅通灵 大地熊 精进电动 九联科技 同益中,10135341
32,联储证券股份有限公司上海松林路证券营业部,2025-05-27,3,1,199399625.23,22156719.0,177242906.23,ST海龙 中超控股 金龙羽,10516788
33,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,2025-05-30,5,4,356163221.21,180018710.97,176144510.24,国芳集团 ST云动 德邦股份 千红制药 丽人丽妆 睿智医药 雄帝科技 天阳科技,10025080
34,国泰海通证券股份有限公司成都北一环路证券营业部,2025-05-30,4,3,286073003.2,110619470.66,175453532.54,德邦股份 ST云动 福龙马 恒宝股份 海联金汇 元隆雅图,10026897
35,开源证券股份有限公司西安太华路证券营业部,2025-05-29,10,5,310722780.29,136914740.21,173808040.08,粤电力A ST金顶 *ST启环 雪人集团 远东股份 侨银股份 四创电子 永冠新材 雄帝科技 安正时尚 概伦电子,10477800
36,深股通专用,2025-05-09,6,6,417921090.44,244915267.3,173005823.14,万向钱潮 成飞集成 武汉凡谷 奥普光电 山东墨龙 利君股份 瑞鹄模具,10634757
37,国信证券股份有限公司浙江互联网分公司,2025-05-20,11,4,266592174.91,97942340.28,168649834.63,华纺股份 渝三峡A 红宝丽 尤夫股份 宁波海运 利君股份 连云港 红墙股份 宁波远洋 京运通 苏州龙杰 迎丰股份,10000213448
38,国泰海通证券股份有限公司上海松江区中山东路证券营业部,2025-05-14,4,1,210882969.85,43880607.32,167002362.53,襄阳轴承 锦龙股份 尤夫股份 跨境通,10134445
39,国泰海通证券股份有限公司三亚迎宾路证券营业部,2025-05-22,3,1,219614254.7,52748475.62,166865779.08,华纺股份 红宝丽 中超控股,10564207
40,东方财富证券股份有限公司拉萨东环路第二证券营业部,2025-05-15,24,7,506523799.31,339892380.09,166631419.22,芭薇股份 华纺股份 渝三峡A 渤海化学 甘化科工 襄阳轴承 连云港 锦江航运 皖通科技 华光源海 尤夫股份 国芳集团 尚荣医疗 国航远洋 中远海发 跨境通 红墙股份 京运通 纳尔股份 天和磁材 中欣氟材 飞力达 金桥信息 普利退 大叶股份,10472087
41,东方财富证券股份有限公司拉萨东环路第二证券营业部,2025-05-08,15,6,324781792.32,160159646.0,164622146.32,华胜天成 润贝航科 晟楠科技 红宝丽 汉商集团 七丰精工 全筑股份 鸿博股份 天和磁材 通易航天 海能达 *ST东珠 红墙股份 金麒麟 东通退 *ST利达 春光智能 爱乐达 长华化学,10472087
42,东亚前海证券有限责任公司苏州分公司,2025-05-29,6,1,171393147.67,7101402.52,164291745.15,新安洁 粤电力A 汇得科技 福华尚纬 ST云动 通达电气 福龙马,10000526027
43,深股通专用,2025-05-08,12,13,1169607566.25,1005865426.56,163742139.69,视觉中国 华孚时尚 东华软件 沃尔核材 鸿博股份 奥普光电 海能达 利君股份 东方中科 东通退 晨曦航空 爱乐达 中航成飞,10634757
44,国泰海通证券股份有限公司上海静安区新闸路证券营业部,2025-05-12,4,3,371930221.8,209994594.7,161935627.1,襄阳轴承 红宝丽 南方精工 拓斯达 恒而达 中航成飞,10430845
45,国泰海通证券股份有限公司上海浦东新区海阳西路证券营业部,2025-05-09,3,1,268850623.98,107266288.09,161584335.89,华胜天成 万向钱潮 航天长峰 奥普光电,10000526029
46,开源证券股份有限公司西安太华路证券营业部,2025-05-20,13,7,325752546.04,166636662.37,159115883.67,浪莎股份 湖南发展 安彩高科 源飞宠物 永安药业 尤夫股份 宜宾纸业 ST棕榈 亚泰集团 欧菲光 京运通 雪榕生物 迎丰股份 创源股份 曼卡龙 三生国健 丰茂股份,10477800
47,东方财富证券股份有限公司拉萨东环路第二证券营业部,2025-05-30,19,6,386161568.57,228531162.45,157630406.12,退市创兴 胜业电气 渝三峡A 三友科技 百利电气 ST云动 瑞奇智造 青岛金王 *ST湘邮 浩淼科技 安纳达 国芳集团 巨力索具 永安药业 汇得科技 福华尚纬 融发核电 尤夫股份 中超控股 雪人集团 侨银股份 久盛电气 新天地,10472087
48,国泰海通证券股份有限公司宜昌沿江大道证券营业部,2025-05-16,2,0,169822184.2,12526015.0,157296169.2,通达股份 利君股份,10026729
49,国盛证券有限责任公司宁波天童南路证券营业部,2025-05-15,4,1,178426604.36,22788294.0,155638310.36,展鹏科技 吉林化纤 永安药业 通达股份 川宁生物,10664100
50,中国国际金融股份有限公司上海分公司,2025-05-30,6,3,291724763.29,136087419.28,155637344.01,中旗新材 合锻智能 安纳达 正和生态 睿智医药 国光连锁 科捷智能 四方精创 广康生化,10088113
51,东方财富证券股份有限公司拉萨金融城南环路证券营业部,2025-05-23,15,8,364446057.82,209622245.48,154823812.34,晟楠科技 廊坊发展 湖南发展 中哲精化 宝光股份 南京港 安纳达 西昌电力 ST棕榈 乐山电力 综艺股份 天汽模 连云港 塞力医疗 西陇科学 王子新材 *ST正平 丽人丽妆,10678762
52,国金证券股份有限公司深圳分公司,2025-05-16,2,2,193673321.51,40900438.08,152772883.43,华光源海 宁波远洋 甘化科工 利君股份,10000104821
53,开源证券股份有限公司西安太华路证券营业部,2025-05-06,10,4,198334010.92,46513267.58,151820743.34,深圳华强 华阳新材 兆丰股份 华纺股份 南山智尚 金凯生科 京运通 南方路机 迪生力 莱绅通灵 正和生态 九联科技,10477800
54,国泰海通证券股份有限公司上海松江中山东路证券营业部,2025-05-06,3,0,151986976.0,214359.0,151772617.0,岩山科技 天源迪科 中洲特材,10134445
55,国泰海通证券股份有限公司上海分公司,2025-05-23,1,0,151569604.0,41700.0,151527904.0,慧博云通,10201214
