序号,营业部代码,营业部名称,营业部简称,交易日期,股票代码,股票名称,涨跌幅,买入金额,卖出金额,净额,上榜原因,1日后涨跌幅,2日后涨跌幅,3日后涨跌幅,5日后涨跌幅,10日后涨跌幅,20日后涨跌幅,30日后涨跌幅
1,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-25,002041,登海种业,10.0098,18769292.0,1853729.0,16915563.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,,,
2,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-25,002132,恒星科技,-7.5,11568355.0,16317672.0,-4749317.0,日跌幅偏离值达到7%的前5只证券,,,,,,,
3,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-25,002536,飞龙股份,5.6557,180709023.42,110095404.53,70613618.89,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,,,,
4,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-25,002703,浙江世宝,9.9792,884507.0,12806921.0,-11922414.0,日涨幅偏离值达到7%的前5只证券,,,,,,,
5,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-25,002837,英维克,10.0091,135182493.6,7534342.4,127648151.2,日涨幅偏离值达到7%的前5只证券,,,,,,,
6,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-25,300922,天秦装备,19.9883,16182897.0,538524.0,15644373.0,日涨幅达到15%的前5只证券,,,,,,,
7,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-25,600272,开开实业,5.6749,,14999863.0,-14999863.0,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,,,,
8,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-25,600272,开开实业,5.6749,,14999863.0,-14999863.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,,,,
9,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-25,603113,金能科技,10.0402,13408672.0,,13408672.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,,,,
10,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-24,001257,盛龙股份,3.0556,11124813.0,2000314.0,9124499.0,日换手率达到20%的前5只证券,-1.65575664,,,,,,
11,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-24,003040,楚天龙,10.0078,533843.0,8258606.0,-7724763.0,日涨幅偏离值达到7%的前5只证券,10.02132196,,,,,,
12,10025080,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,国泰海通证券上海长宁区江苏路证券营业部,2026-08-24,301591,肯特股份,-0.6353,1027107.26,17206101.84,-16178994.58,日换手率达到30%的前5只证券,6.07352158,,,,,,
