code,name,board,streak,circ_mkt_est,turn,ret_20d_pre,amount
sz.000820,神雾节能,ST,2,861472883.5649258,9.3915,0.12307692307692308,80905225.86
sz.002231,,ST,2,1043548678.8859795,0.8402,0.04307692307692301,8767896.0
sz.300379,,ST,1,1148540130.7739527,14.4983,-0.08979591836734702,166518793.78
sh.600608,,ST,1,1325679081.1236544,2.2854,0.08205128205128198,30297069.72
sz.000004,,ST,1,1590046240.706194,7.3974,0.2299618320610688,117622080.61
sh.603014,威高血净,主板,1,1612143139.269028,3.0179,0.0978458344147417,48652867.8
sh.600599,,ST,2,1623402759.225354,3.8779,0.23661270236612708,62953935.6
sh.603021,*ST华鹏,ST,3,1625200960.0698233,0.4583,0.09956709956709964,7448296.0
sz.001266,宏英智能,主板,1,1832787201.8832698,14.7828,0.1827768014059754,270937266.48
sz.002789,*ST建艺,ST,3,1833676869.6479545,2.102,0.23578947368421055,38543887.8
sh.688435,英方软件,科创板,1,1976610312.9465916,24.0712,0.3079584775086506,475793821.65
sz.000632,ST三木,主板,1,2074413989.9204566,6.5876,0.20104438642297628,136654096.0
sz.000609,*ST中迪,ST,8,2214930578.673602,1.0766,0.7948113207547169,23845942.61
sz.002076,星光股份,ST,1,2215150949.7670555,2.1679,0.17391304347826098,48022257.44
sz.000638,,ST,3,2315785530.6881914,1.9079,0.9088607594936708,44182872.14
sz.002485,ST雪发,ST,2,2322334108.978088,0.5157,0.1795580110497237,11976277.0
sz.002634,*ST棒杰,主板,1,2420667707.237067,7.3165,0.13849287169042768,177108152.8
sh.603188,亚邦股份,主板,1,2685712777.2501254,8.9495,0.18918918918918903,240357865.0
sh.600228,返利科技,ST,1,2707613656.723913,2.9871,0.14260869565217393,80879127.54
sh.600265,*ST景谷,ST,1,2711652685.096918,0.3147,-0.2134831460674157,8533571.0
sh.600444,国机通用,主板,1,2927602187.2180448,7.98,0.1565918249856073,233622654.54
sh.603778,国晟科技,主板,1,3057814173.309158,14.6155,0.4476744186046513,446914830.5
sz.000838,*ST发展,主板,1,3146241646.0623918,7.6036,0.21259842519685046,239227629.8
sh.605258,协和电子,主板,1,3218162200.2271233,8.3655,0.09629843840370156,269215358.86
sz.002581,*ST未名,ST,1,3236208775.1726823,2.0558,0.013597033374536327,66529980.0
sh.600735,ST新华锦,ST,6,3270359670.263129,1.8166,0.37321428571428594,59409353.77
sh.600408,安泰集团,主板,1,3391721909.6315346,9.9548,0.5545454545454545,337639132.66
sh.603398,*ST沐邦,ST,1,3457684700.762743,5.2049,-0.0969899665551841,179969030.99
sz.000955,欣龙控股,主板,2,3554622454.5141034,9.5689,0.29657794676806093,340138268.05
sz.002492,恒基达鑫,主板,1,3660226664.429662,5.0663,0.2601078167115902,185438063.5
sz.000691,亚太实业,ST,2,3916218230.5189304,5.9006,0.09413854351687401,231080372.91
sh.600624,ST复华,ST,3,4185122209.257098,0.2571,0.0769230769230771,10759949.2
sz.000736,中交发展,ST,2,4247945468.2702155,0.3908,0.24788135593220328,16600970.89
sh.603122,合富中国,主板,5,4278059081.9289274,6.3372,0.6749611197511665,271109160.14
sh.600579,中化装备,主板,1,4473766328.962,5.6657,0.1166666666666667,253470178.9
sz.002005,德豪润达,ST,1,4695408490.219246,1.5234,0.16379310344827602,71529852.94
sz.002554,惠博普,主板,1,4727225145.829883,6.6413,0.2218543046357615,313949203.61
sz.002796,世嘉科技,主板,1,4772364835.448287,12.057,0.19812362030905084,575404028.21
sz.300848,美瑞新材,创业板,1,4785739555.256064,17.6596,0.18266832917705744,845142462.5
sh.603030,全筑股份,主板,1,4829880348.754929,11.8708,0.1980830670926519,573345436.44
sh.603163,圣晖集成,主板,1,4889064833.517571,8.2321,0.05385097056981847,402472706.16
sz.002047,宝鹰股份,ST,6,4893754716.9811325,0.0477,0.3803418803418803,2334321.0
sz.002713,东易日盛,ST,4,4906091422.895116,2.9194,1.3114119922630558,143228433.0
sz.002431,ST棕榈,主板,1,4974132058.690336,5.5205,0.1499999999999999,274596960.3
sz.002912,中新赛克,主板,1,5093353545.596421,8.1377,0.16131334760885085,414481831.48
sz.002134,天津普林,主板,1,5302631290.079426,7.1639,0.0585714285714285,379875202.99
sz.300402,宝色股份,创业板,1,5322995398.683828,3.7837,0.22546270330902995,201406176.9
sz.002772,众兴菌业,主板,1,5384000314.110319,4.4634,0.41715976331360927,240309470.02
sz.000892,欢瑞世纪,主板,2,5483336354.054336,8.6241,0.2362204724409449,472888410.51
sh.605100,华丰股份,主板,1,5640957556.495801,6.1686,0.14327965823200794,347968107.83
sh.600308,华泰股份,主板,1,5965263415.284494,4.4254,0.1586402266288951,263986767.18
sz.002885,京泉华,主板,1,6017398305.153634,17.2228,0.39091858037578286,1036364475.3
sh.600681,百川能源,主板,1,6151585087.362861,5.4142,0.18974358974358974,333059119.8
sz.002255,海陆重工,主板,1,6264853367.79366,3.7918,0.19756097560975627,237550710.0
sh.605338,巴比食品,主板,1,6410872633.460816,4.4189,0.2084063047285465,283290050.8
sz.002370,亚太药业,主板,2,6441791613.191487,22.3811,0.5379188712522047,1441743822.74
sz.002140,东华科技,主板,1,6806800080.600595,7.4193,0.050529747351263365,505016918.38
sh.603823,百合花,主板,2,7143385017.247665,10.6971,0.21670117322291227,764135038.68
sh.603268,松发股份,ST,1,7342533678.475756,3.3223,0.2883156297420333,243940996.4
sh.603629,利通电子,主板,2,7364699981.66669,14.6182,0.1672611969877129,1076586572.72
sh.605598,上海港湾,主板,1,7788394209.482549,3.2776,0.289044289044289,255272408.61
sz.000973,佛塑科技,主板,1,7970191932.815407,9.139,0.18698060941828265,728395840.74
sz.000777,中核科技,主板,1,8621671305.149136,14.1616,0.20062208398133752,1220966603.55
sz.000735,罗 牛 山,主板,1,8985896129.95607,7.1932,0.2834394904458599,646373480.42
sh.603929,亚翔集成,主板,2,9803167084.960028,2.1516,0.04309959803483698,210924943.0
sh.605365,立达信,主板,1,9807732801.270416,2.204,0.3434959349593496,216162430.94
sz.002099,海翔药业,主板,1,9896271350.400503,3.1835,0.11484098939929321,315047798.44
sh.600759,ST洲际,主板,1,10584605416.615496,12.2139,0.14977973568281922,1292793120.98
sz.002163,海南发展,主板,1,11145444247.155092,18.8319,0.4046920821114368,2098898915.18
sz.000572,海马汽车,主板,2,11755902187.84429,8.7136,0.34444444444444433,1024362293.04
sh.600556,天下秀,主板,1,12031691941.073952,9.1233,0.20671378091872783,1097687350.86
sz.000620,盈新发展,主板,1,12310424788.22748,10.2374,0.6851851851851851,1260267427.27
sh.603169,兰石重装,主板,1,12458720779.90887,3.7748,0.21419518377693292,470291792.0
sz.002181,粤 传 媒,主板,2,13148709455.83141,0.6928,0.42208588957055215,91094259.11
sh.601929,吉视传媒,主板,1,13936457198.129337,9.943,0.14647887323943665,1385701939.21
sh.601512,中新集团,主板,1,14661891446.393469,1.3226,0.08174097664543511,193918176.27
sz.000592,平潭发展,主板,2,14768507970.336596,7.6323,1.2320916905444124,1127176833.82
sh.600475,华光环能,主板,1,15484335810.502811,4.2998,0.11031331592689297,665795471.18
sz.000901,航天科技,主板,1,15934742231.679518,12.8531,0.2722862340812615,2048108353.78
sz.300455,航天智装,创业板,1,16242112426.470036,13.2769,0.4795180722891563,2156449024.75
sh.600667,太极实业,主板,1,19063314160.53724,18.5988,0.23096774193548386,3545547674.09
sz.000555,神州信息,主板,1,19129942178.468803,22.4465,0.5196793002915452,4294002471.09
sz.002611,东方精工,主板,1,20433076424.104332,31.1164,0.15982241953385112,6358037792.43
sz.002266,浙富控股,主板,1,22098005401.554073,3.9509,0.1385390428211586,873070095.41
sh.603360,百傲化学,主板,1,22256141828.01601,4.3725,0.32462836480514246,973149801.43
sh.600637,东方明珠,主板,1,35297884766.30199,5.9778,0.08877551020408148,2110036955.56
sz.002555,三七互娱,主板,1,36520834378.47659,3.5775,0.0386363636363638,1306532849.89
sh.603516,淳中科技,主板,1,38014625703.180725,6.8695,0.23357142857142854,2611414712.68
sh.600089,特变电工,主板,1,105100710061.8827,8.2414,0.33045089561457663,8661769919.04
sz.002602,世纪华通,ST,1,124241889791.36145,1.9795,-0.14504170528266913,2459368208.42
