code,name,board,streak,circ_mkt_est,turn,ret_20d_pre,amount
sz.300268,佳沃食品,ST,1,1604857532.1539187,1.9049,0.2055335968379446,30570931.13
sz.003018,金富科技,主板,1,1623879901.0030448,10.7074,0.453528399311532,173875316.52
sz.300949,奥雅股份,创业板,1,1648401909.8708591,16.7027,0.332312404287902,275327625.8
sh.603557,*ST起步,ST,2,1721702858.554799,6.3742,0.21794871794871806,109744783.61
sh.603021,*ST华鹏,ST,1,1727594120.871591,1.4594,0.2172949002217297,25212508.6
sz.001266,宏英智能,主板,1,1875953181.9663413,11.6582,0.17540106951871648,218702373.86
sz.002620,*ST瑞和,ST,1,1950967669.7338972,2.0105,0.034710743801652955,39224205.0
sz.002780,三夫户外,主板,1,2171138005.7456636,21.9992,0.2993298585256887,477632992.16
sz.001277,速达股份,主板,2,2195907111.927236,22.1099,0.27953890489913547,485512866.54
sz.002702,海欣食品,主板,1,2559352870.379681,13.9222,0.35862068965517246,356318225.32
sh.600107,*ST尔雅,ST,2,2604202016.2346163,0.7638,-0.13261648745519705,19890895.0
sz.002864,盘龙药业,主板,2,2697197418.656181,32.043,0.29159802306425053,864262968.86
sh.688602,康鹏科技,科创板,1,2756302198.6926956,20.4849,0.38118214716525944,564625749.1
sz.000633,合金投资,主板,1,2832552848.121452,4.7031,0.1081481481481481,133217793.0
sh.600807,济高发展,主板,1,3024606178.5839343,7.1395,0.2597402597402596,215941758.12
sz.000972,中基健康,ST,2,3180927470.977897,3.0494,0.0613810741687979,96999202.3
sz.002822,ST中装,ST,1,3188410078.9941416,1.5191,0.09668508287292821,48435137.51
sz.000430,张家界,ST,1,3195930384.778525,4.9509,0.29458388375165123,158227317.42
sz.000632,ST三木,主板,5,3354427605.18986,14.1815,0.8682170542635659,475708150.83
sz.002227,*ST特迅,主板,1,3593081398.9962354,7.0136,-0.008666666666666711,252004357.0
sh.600568,ST中珠,ST,2,3601215248.435683,4.0433,0.1847826086956521,145607936.14
sz.000615,*ST美谷,ST,2,3610417554.9945908,1.3865,0.3826086956521737,50058439.4
sz.002691,*ST冀凯,主板,1,3632601001.5382195,24.7689,0.41500000000000004,899755309.47
sz.000889,中嘉博创,主板,1,3710566070.9015026,6.3017,0.13624678663239065,233828742.09
sz.000488,ST晨鸣,ST,1,3745553232.132481,3.442,0.07655502392344515,128921942.25
sz.002578,闽发铝业,主板,2,4017245617.828535,24.1321,0.37570621468926557,969445729.74
sh.600152,维科技术,主板,1,4108114920.3222566,5.0767,0.17611940298507456,208556670.16
sh.603813,原尚股份,ST,5,4146480156.7858896,1.0205,0.47916666666666674,42314830.0
sh.603316,诚邦股份,主板,1,4408445900.189317,6.4442,0.3817891373801918,284089070.7
sz.000407,胜利股份,主板,3,4414007195.357834,0.9306,0.3732970027247957,41076750.96
sz.300785,值得买,创业板,1,4554268329.885464,21.8009,0.18696800704432048,992871484.33
sh.603966,法兰泰克,主板,1,4700071778.3715315,11.5274,0.055993000874890786,541796074.18
sz.002586,ST围海,ST,1,4724805359.548802,1.2766,0.10632911392405053,60316865.22
