code,name,board,streak,circ_mkt_est,turn,ret_20d_pre,amount
sz.003018,金富科技,主板,2,1484291205.0049102,11.8124,0.25182778229082037,175330414.3
sz.002856,*ST美芝,主板,1,1561751672.1044047,7.8464,0.14692787177203925,122541283.2
sz.002762,金发拉比,ST,2,1596580913.9175565,1.6763,-0.04779874213836477,26763485.86
sz.000668,荣丰控股,ST,1,1666415020.5761318,1.8468,0.15715715715715728,30775352.6
sz.002789,*ST建艺,ST,1,1715749503.017005,4.5575,0.09999999999999987,78195283.6
sh.600599,,ST,2,1732694406.779661,2.36,0.20182440136830104,40891588.0
sz.003008,开普检测,主板,1,1896296258.358872,15.9561,0.08465608465608465,302574927.28
sz.000638,,ST,3,1931807292.5348036,5.3515,-0.003159557661927437,103380667.26
sz.002199,东晶电子,ST,1,2256505509.6418734,1.3794,-0.055110220440881874,31126237.0
sz.001296,长江材料,主板,3,2368361494.5000415,10.8819,0.2997894736842106,257722729.47
sz.002485,ST雪发,ST,1,2515238281.25,0.3584,0.25067385444743917,9014614.0
sz.000691,亚太实业,ST,1,2702980189.506396,3.6041,-0.25820379965457685,97418109.01
sz.000952,广济药业,主板,2,2794623205.119569,10.3915,0.28315946348733223,290403270.36
sz.001299,美能能源,主板,1,2810188446.9047246,6.413,0.06209150326797386,180217385.1
sz.002114,罗平锌电,主板,1,2831039952.547735,3.5404,0.11898734177215187,100230138.48
sz.002729,好利科技,主板,1,2882825364.123054,10.1614,0.10386151797603183,292935416.55
sz.300437,清水源,创业板,1,2927883570.3752303,30.7864,0.8829465186680121,901389947.51
sh.688670,金迪克,科创板,1,2960430337.1672077,7.4859,0.5474759615384615,221614854.61
sz.002388,新亚制程,ST,1,3107337094.0367556,3.9123,0.128158844765343,121568349.13
sh.600802,福建水泥,主板,1,3142176653.0306034,7.0646,0.007042253521126751,221982211.83
sz.002822,ST中装,ST,2,3392665761.6029444,1.9564,0.14673913043478248,66374112.96
sz.002398,垒知集团,主板,1,3471674946.8601756,14.2078,0.13686131386861322,493248633.1
sz.002098,浔兴股份,主板,1,3536794756.1079426,3.5241,0.1150442477876108,124640184.0
sz.000609,*ST中迪,ST,1,3546037034.597303,7.1046,1.0255591054313098,251931747.16
sz.301117,ST佳缘,创业板,1,3673794294.8767824,35.9852,0.20605908863294964,1322022224.6
sz.002931,锋龙股份,主板,1,3683472298.3454666,7.555,0.05598669623059882,278286332.14
sz.002659,凯文教育,主板,1,3689812258.4458694,4.3986,0.06473594548551964,162300082.0
sz.002575,群兴玩具,主板,1,3802432785.9535003,6.2108,0.0493630573248407,236161495.47
sz.000788,北大医药,主板,1,3868132763.8279715,6.7942,0.0744336569579287,262808676.24
sz.002927,泰永长征,主板,1,3917060996.2556133,15.2762,0.16097875080489388,598378071.91
sh.603813,原尚股份,ST,1,3994330019.378212,1.1869,0.3258503401360544,47408703.0
sz.002305,*ST南置,ST,1,4031985621.3880644,1.8515,-0.11895910780669139,74652213.78
sz.002638,勤上股份,主板,1,4051008250.6920605,9.031,0.12546125461254598,365846555.12
sz.000510,新金路,主板,1,4171809864.9293623,6.2856,0.2558139534883721,262223280.87
sh.600568,ST中珠,ST,2,4289488386.4973674,0.3229,0.2598039215686274,13850758.0
sz.002728,特一药业,主板,1,4879281213.208786,24.6866,0.2092391304347827,1204528635.98
sh.603803,瑞斯康达,主板,1,4886409728.532063,8.0562,0.26980728051391867,393658940.55
sh.603421,鼎信通讯,主板,1,5011714603.973103,1.9481,0.07074829931972793,97633212.2
sh.603130,云中马,主板,1,5214180999.398987,2.3294,-0.07882829245058354,121459132.2
sh.600237,铜峰电子,主板,1,5378645540.66106,7.2883,0.0754257907542577,392011822.94
sh.603216,梦天家居,主板,5,5384285173.815416,12.2026,0.5420731707317075,657022782.62
sz.002197,证通电子,ST,2,5495092544.459127,2.6485,0.07201646090534974,145537526.04
sz.301638,南网数字,创业板,1,5495136365.328172,55.0245,,3023671309.34
