code,date,open,high,low,close,preclose,volume,amount,turn,isST,board,limitpct,limit_price,is_zt,pct_chg
sh.600058,2025-08-22,8.47,9.22,8.45,9.22,8.38,26659622.0,238890099.25,2.4871,0,MAIN,0.1,9.22,True,10.023866348448696
sh.600058,2025-12-09,8.69,9.48,8.65,9.48,8.62,29763283.0,274378724.18,2.7767,0,MAIN,0.1,9.48,True,9.976798143851529
sh.600058,2025-12-29,10.47,11.52,10.38,11.52,10.47,64083638.0,725384901.14,5.9784,0,MAIN,0.1,11.52,True,10.028653295128919
sh.600059,2025-06-09,9.95,10.88,9.94,10.88,9.89,43057638.0,457441863.34,4.7236,0,MAIN,0.1,10.88,True,10.01011122345803
sh.600060,2025-09-24,22.68,24.97,22.53,24.97,22.7,38933067.0,943252045.86,2.9945,0,MAIN,0.1,24.97,True,10.000000000000009
sh.600063,2025-03-20,4.57,4.8,4.54,4.8,4.36,224165337.0,1061567841.91,11.6395,0,MAIN,0.1,4.8,True,10.091743119266038
sh.600063,2025-11-13,6.11,6.72,6.1,6.72,6.11,156845230.0,1027438803.22,7.5803,0,MAIN,0.1,6.72,True,9.983633387888702
sh.600067,2025-03-04,2.51,2.77,2.49,2.77,2.52,70391089.0,189962706.88,5.058,0,MAIN,0.1,2.77,True,9.92063492063493
sh.600067,2025-10-14,3.1,3.4,3.09,3.4,3.09,46082209.0,154071113.06,3.3113,0,MAIN,0.1,3.4,True,10.032362459546928
sh.600067,2025-10-31,3.73,3.93,3.73,3.93,3.57,83848438.0,327562405.71,6.025,0,MAIN,0.1,3.93,True,10.084033613445387
sh.600067,2025-11-04,4.0,4.47,3.94,4.47,4.06,202804405.0,854522257.27,14.5727,0,MAIN,0.1,4.47,True,10.098522167487701
sh.600067,2025-11-10,4.14,4.58,4.09,4.58,4.16,113115326.0,495923156.77,8.128,0,MAIN,0.1,4.58,True,10.096153846153854
sh.600071,2025-01-03,20.05,22.07,19.42,22.07,20.06,14913877.0,313690420.6,5.2966,0,MAIN,0.1,22.07,True,10.019940179461617
sh.600071,2025-09-11,20.9,23.07,20.72,23.07,20.97,14146707.0,316910257.49,5.0242,0,MAIN,0.1,23.07,True,10.014306151645226
sh.600076,2025-02-26,2.1,2.26,2.09,2.26,2.05,20746435.0,46113175.25,1.543,0,MAIN,0.1,2.26,True,10.2439024390244
sh.600076,2025-02-27,2.45,2.49,2.43,2.49,2.26,56336435.0,139570571.05,4.19,0,MAIN,0.1,2.49,True,10.176991150442504
sh.600076,2025-08-15,2.59,2.76,2.55,2.76,2.51,61748733.0,165786556.51,4.5925,0,MAIN,0.1,2.76,True,9.960159362549792
sh.600076,2025-08-19,2.7,2.97,2.65,2.97,2.7,117936104.0,335064739.3,8.7715,0,MAIN,0.1,2.97,True,10.000000000000009
sh.600076,2025-12-19,2.86,3.15,2.85,3.15,2.86,100793700.0,309376722.75,7.4965,0,MAIN,0.1,3.15,True,10.139860139860147
sh.600078,2025-01-08,6.05,6.5,5.9,6.5,5.91,47850590.0,308696789.42,7.2219,0,MAIN,0.1,6.5,True,9.983079526226724
sh.600078,2025-10-09,6.75,7.45,6.71,7.45,6.77,24328311.0,173810434.6,3.6718,0,MAIN,0.1,7.45,True,10.044313146233396
sh.600078,2025-10-10,8.15,8.2,7.98,8.2,7.45,19904959.0,162416060.04,3.0042,0,MAIN,0.1,8.2,True,10.067114093959727
sh.600078,2025-10-13,7.8,9.02,7.79,9.02,8.2,33103364.0,281101733.28,4.9962,0,MAIN,0.1,9.02,True,10.000000000000009
sh.600078,2025-10-14,9.92,9.92,9.92,9.92,9.02,7385403.0,73263197.76,1.1147,0,MAIN,0.1,9.92,True,9.977827050997789
sh.600078,2025-10-17,8.73,10.26,8.71,10.26,9.33,157661693.0,1534614723.45,23.7954,0,MAIN,0.1,10.26,True,9.967845659163977
sh.600078,2025-10-28,8.91,9.63,8.87,9.63,8.75,51586286.0,478538912.99,7.7858,0,MAIN,0.1,9.62,True,10.057142857142875
sh.600078,2025-11-06,10.28,10.85,10.1,10.85,9.86,89370893.0,940256137.44,13.4885,0,MAIN,0.1,10.85,True,10.040567951318469
sh.600078,2025-11-07,11.4,11.94,11.33,11.94,10.85,25861500.0,302660303.0,3.9032,0,MAIN,0.1,11.94,True,10.046082949308754
sh.600078,2025-11-10,13.13,13.13,12.51,13.13,11.94,96290410.0,1257035313.5,14.5328,0,MAIN,0.1,13.13,True,9.96649916247907
sh.600079,2025-09-03,20.91,22.57,20.8,22.57,20.52,142470215.0,3160863610.83,9.2323,0,MAIN,0.1,22.57,True,9.990253411306039
sh.600079,2025-12-17,16.73,18.1,16.73,18.1,17.24,124663015.0,2172706467.3,8.0783,1,MAIN,0.05,18.1,True,4.988399071925764
sh.600079,2025-12-19,18.39,19.22,18.39,19.22,18.3,58952909.0,1116364768.36,3.8202,1,MAIN,0.05,19.22,True,5.027322404371581
sh.600081,2025-02-10,11.89,11.89,11.89,11.89,10.81,4664747.0,55463841.83,0.8435,0,MAIN,0.1,11.89,True,9.990749306197966
sh.600081,2025-02-11,13.08,13.08,12.7,13.08,11.89,54354283.0,709819351.19,9.8285,0,MAIN,0.1,13.08,True,10.00841042893188
sh.600081,2025-02-13,12.7,13.97,12.56,13.97,12.7,53461271.0,706495334.5,9.667,0,MAIN,0.1,13.97,True,10.000000000000009
sh.600081,2025-03-26,11.78,12.97,11.78,12.97,11.79,15234748.0,192685061.36,2.7548,0,MAIN,0.1,12.97,True,10.008481764206966
sh.600081,2025-03-31,13.96,14.96,13.7,14.96,13.6,56753882.0,809562627.35,10.2624,0,MAIN,0.1,14.96,True,10.000000000000009
sh.600081,2025-05-29,15.0,16.6,15.0,16.6,15.09,48011760.0,768453250.38,8.6816,0,MAIN,0.1,16.6,True,10.006626905235262
sh.600082,2025-05-19,3.37,3.66,3.32,3.66,3.33,39132402.0,141073577.2,6.169,0,MAIN,0.1,3.66,True,9.90990990990992
