序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型
1,东方财富证券股份有限公司拉萨团结路第一证券营业部,21882031.0,0.011907012938,14198880.81,0.007726259848,7683150.19,日振幅值达到15%的前5只证券
2,机构专用,20156035.0,0.010967819648,11704296.8,0.006368842702,8451738.2,日振幅值达到15%的前5只证券
3,东方财富证券股份有限公司拉萨金融城南环路证券营业部,17786724.0,0.00967856927,15972454.96,0.008691342584,1814269.04,日振幅值达到15%的前5只证券
4,东方财富证券股份有限公司拉萨东环路第一证券营业部,17583326.78,0.009567891548,10719601.36,0.005833024918,6863725.42,日振幅值达到15%的前5只证券
5,东方财富证券股份有限公司拉萨团结路第二证券营业部,16597384.0,0.00903139503,8335504.0,0.004535728607,8261880.0,日振幅值达到15%的前5只证券
