code,date,open,high,low,close,preclose,volume,amount,turn,isST,limit_pct,limit_price,is_zhangting,pct_chg
sh.600165,2025-04-11,4.5,4.66,4.47,4.66,4.44,14944277.0,69014928.82,2.182,1,0.05,4.66,True,4.954954954954949
sh.600165,2025-04-23,4.97,5.2,4.97,5.2,4.95,23706000.0,122021068.0,3.4613,1,0.05,5.2,True,5.050505050505061
sh.600168,2025-03-07,4.98,4.98,4.98,4.98,4.53,4515649.0,22487932.02,0.4546,0,0.1,4.98,True,9.933774834437092
sh.600171,2025-04-11,31.25,34.72,31.16,34.72,31.56,53151952.0,1773263918.28,7.4976,0,0.1,34.72,True,10.012674271229404
sh.600172,2025-03-10,4.18,4.59,4.17,4.59,4.17,123337237.0,557070819.75,9.664,0,0.1,4.59,True,10.07194244604317
sh.600172,2025-04-11,3.63,4.05,3.61,4.05,3.68,78448136.0,315007302.8,6.1467,0,0.1,4.05,True,10.05434782608694
sh.600173,2025-04-03,6.78,7.4,6.73,7.4,6.73,42461706.0,308920683.7,6.0624,0,0.1,7.4,True,9.955423476968805
sh.600178,2025-03-19,12.06,13.31,12.05,13.31,12.1,39350060.0,517120049.6,8.4356,0,0.1,13.31,True,10.000000000000009
sh.600180,2025-04-08,4.14,4.55,4.14,4.55,4.14,65763111.0,295030963.58,6.052,0,0.1,4.55,True,9.903381642512077
sh.600180,2025-04-10,5.51,5.51,5.51,5.51,5.01,9910922.0,54609180.22,0.9121,0,0.1,5.51,True,9.980039920159678
sh.600184,2025-04-09,11.03,12.35,10.93,12.35,11.23,11661506.0,138989551.4,2.2921,0,0.1,12.35,True,9.973285841495994
sh.600185,2025-03-19,6.0,6.27,6.0,6.27,5.7,76444466.0,473346109.76,4.0554,0,0.1,6.27,True,9.999999999999986
sh.600185,2025-04-09,5.62,6.26,5.52,6.26,5.69,98974880.0,604561630.2,5.2506,0,0.1,6.26,True,10.017574692442865
sh.600185,2025-04-10,6.87,6.89,6.57,6.89,6.26,155390381.0,1056995359.07,8.2435,0,0.1,6.89,True,10.063897763578279
sh.600186,2025-04-08,6.49,6.92,6.33,6.92,6.29,372147830.0,2466860128.09,20.8287,0,0.1,6.92,True,10.015898251192358
sh.600187,2025-04-10,3.14,3.45,3.14,3.45,3.14,68706411.0,225224380.95,4.2575,0,0.1,3.45,True,9.872611464968163
sh.600187,2025-04-18,3.61,3.98,3.61,3.98,3.62,154236811.0,588929442.48,9.5575,0,0.1,3.98,True,9.944751381215466
sh.600191,2025-04-16,8.21,8.21,7.97,8.21,7.46,25541901.0,209100962.21,5.2671,0,0.1,8.21,True,10.05361930294908
sh.600192,2025-03-03,6.64,7.28,6.64,7.28,6.62,11826221.0,85197637.88,2.6771,0,0.1,7.28,True,9.969788519637458
sh.600192,2025-04-11,5.8,6.42,5.76,6.42,5.84,6786601.0,42659256.25,1.5363,0,0.1,6.42,True,9.931506849315074
sh.600193,2025-04-08,2.73,3.03,2.67,3.03,2.75,21881775.0,64273014.25,5.1441,0,0.1,3.03,True,10.18181818181818
sh.600202,2025-03-28,5.06,5.67,5.06,5.67,5.15,40113101.0,223099598.27,10.4641,0,0.1,5.67,True,10.097087378640769
sh.600202,2025-04-01,5.56,6.23,5.42,6.23,5.66,73051873.0,439764113.85,19.0566,0,0.1,6.23,True,10.070671378091877
sh.600206,2025-04-15,17.55,17.55,17.55,17.55,15.95,18034702.0,316509020.1,2.1304,0,0.1,17.55,True,10.031347962382453
sh.600207,2025-04-11,4.27,4.27,4.15,4.27,3.88,25940400.0,110637544.0,2.3814,0,0.1,4.27,True,10.051546391752563
sh.600208,2025-03-17,3.24,3.25,3.12,3.25,2.95,398015538.0,1287433039.73,4.6783,0,0.1,3.25,True,10.169491525423723
sh.600211,2025-03-17,37.4,39.53,37.4,39.53,35.94,21277740.0,824003688.99,6.6014,0,0.1,39.53,True,9.988870339454659
sh.600212,2025-03-26,8.31,9.17,8.29,9.17,8.34,51819191.0,462180923.51,10.0656,0,0.1,9.17,True,9.95203836930456
sh.600227,2025-03-27,2.3,2.53,2.3,2.53,2.3,82020873.0,201450889.49,6.4199,0,0.1,2.53,True,10.000000000000009
sh.600227,2025-04-22,2.05,2.29,2.04,2.29,2.08,73538099.0,163482694.91,5.756,0,0.1,2.29,True,10.096153846153854
sh.600228,2025-03-07,5.15,5.65,5.15,5.65,5.14,88229077.0,489509587.13,21.1748,0,0.1,5.65,True,9.922178988326857
sh.600228,2025-03-14,5.47,6.05,5.38,6.05,5.5,76001084.0,446786321.6,18.2401,0,0.1,6.05,True,9.999999999999986
sh.600234,2025-03-10,5.21,5.46,5.21,5.46,5.2,3404700.0,18469744.0,1.2969,1,0.05,5.46,True,5.000000000000004
sh.600234,2025-03-13,5.53,5.75,5.46,5.75,5.48,4278500.0,24404626.0,1.6298,1,0.05,5.75,True,4.92700729927007
sh.600234,2025-03-14,5.8,6.04,5.7,6.04,5.75,2580394.0,15237340.14,0.9829,1,0.05,6.04,True,5.043478260869572
sh.600234,2025-03-17,6.28,6.34,6.16,6.34,6.04,4468855.0,28138536.7,1.7023,1,0.05,6.34,True,4.966887417218535
sh.600234,2025-04-11,5.58,5.85,5.58,5.85,5.57,1663446.0,9621254.82,0.6336,1,0.05,5.85,True,5.026929982046657
sh.600234,2025-04-15,6.0,6.31,5.99,6.31,6.01,2021000.0,12647198.0,0.7698,1,0.05,6.31,True,4.991680532445919
sh.600234,2025-04-23,6.29,6.56,6.22,6.56,6.25,3109338.0,20135959.09,1.1844,1,0.05,6.56,True,4.959999999999987
sh.600234,2025-04-28,6.95,7.27,6.78,7.27,6.92,2878118.0,20394972.34,1.0963,1,0.05,7.27,True,5.0578034682080775
sh.600238,2025-04-14,5.89,6.64,5.89,6.64,6.04,61009429.0,393084244.35,13.7099,0,0.1,6.64,True,9.93377483443707
sh.600239,2025-03-28,2.48,2.73,2.44,2.73,2.48,77021502.0,201460765.71,4.7968,0,0.1,2.73,True,10.080645161290324
sh.600239,2025-04-11,2.33,2.59,2.31,2.59,2.35,77133097.0,193384101.98,4.8037,0,0.1,2.59,True,10.212765957446802
sh.600243,2025-03-19,2.98,3.28,2.96,3.28,2.98,41570678.0,133781803.84,9.4726,0,0.1,3.28,True,10.067114093959727
sh.600243,2025-03-20,3.61,3.61,3.61,3.61,3.28,32842311.0,118560742.71,7.4837,0,0.1,3.61,True,10.060975609756095
sh.600243,2025-03-21,3.96,3.97,3.83,3.97,3.61,152281681.0,600172930.61,34.7002,0,0.1,3.97,True,9.972299168975084
sh.600249,2025-04-11,5.0,5.53,4.98,5.53,5.03,17593891.0,95194654.23,3.1989,0,0.1,5.53,True,9.940357852882698
sh.600249,2025-04-14,5.96,6.08,5.85,6.08,5.53,22929047.0,138225269.36,4.1689,0,0.1,6.08,True,9.945750452079572
sh.600249,2025-04-15,6.62,6.69,6.12,6.69,6.08,88011953.0,566145104.86,16.0022,0,0.1,6.69,True,10.032894736842103
sh.600249,2025-04-16,6.7,7.36,6.2,7.36,6.69,161465611.0,1106630249.92,29.3574,0,0.1,7.36,True,10.01494768310911
sh.600250,2025-04-17,9.01,9.96,8.85,9.96,9.05,27952489.0,266340990.14,8.9997,0,0.1,9.96,True,10.055248618784528
sh.600257,2025-04-10,4.7,5.2,4.68,5.2,4.73,40658000.0,204421563.0,8.4486,0,0.1,5.2,True,9.936575052854124
sh.600265,2025-04-02,15.55,17.05,15.46,17.05,15.5,3397292.0,57281215.51,2.6173,0,0.1,17.05,True,10.000000000000009
sh.600278,2025-04-10,6.66,6.79,6.47,6.79,6.17,14732223.0,99223308.17,1.6896,0,0.1,6.79,True,10.048622366288495
sh.600278,2025-04-22,6.66,7.1,6.65,7.1,6.45,36894027.0,255791836.34,4.2314,0,0.1,7.1,True,10.077519379844958
sh.600278,2025-04-29,7.3,7.9,7.03,7.9,7.18,41010809.0,314692150.2,4.7035,0,0.1,7.9,True,10.027855153203348
sh.600279,2025-04-09,5.0,5.19,5.0,5.19,4.72,40533634.0,208120885.12,3.4152,0,0.1,5.19,True,9.957627118644075
sh.600279,2025-04-16,5.06,5.61,5.05,5.61,5.1,81599129.0,449870816.62,6.8752,0,0.1,5.61,True,10.000000000000009
sh.600280,2025-04-08,3.1,3.42,3.1,3.42,3.11,51427763.0,171493460.46,4.5578,0,0.1,3.42,True,9.967845659163999
