code,name,board,streak,circ_mkt_est,turn,ret_20d_pre,amount
sh.603389,亚振家居,ST,2,11252148883.450596,0.6538,0.04699293888483069,73566549.4
sh.605123,派克新材,主板,1,11667615829.011705,5.3992,0.42982328026873096,629957913.84
sh.600391,航发科技,主板,1,11742284903.294138,13.0292,0.3698424606151538,1529925784.62
sz.002792,通宇通讯,主板,1,12412363721.416384,34.3466,0.7659574468085106,4263224917.94
sh.603601,再升科技,主板,2,12483886473.702229,8.1794,1.5483193277310927,1021107010.23
sh.603809,豪能股份,主板,1,12635868367.593597,10.4251,0.1601981833195707,1317301913.19
sh.600783,鲁信创投,主板,2,13889526849.95476,6.8526,0.3136986301369864,951793716.92
sh.605598,上海港湾,主板,1,14776864628.62854,4.4026,0.35894621295279916,650566242.14
sz.002583,海能达,主板,1,14851395213.35878,10.4261,0.014505119453924964,1548421316.34
sh.600376,首开股份,主板,1,14979147574.656683,12.1389,0.034965034965035,1818303744.94
sz.001270,铖昌科技,ST,1,15320277795.319208,1.4442,0.7728326379230412,221255451.92
sh.600755,厦门国贸,主板,1,16448137820.319033,18.0609,0.22565687789799083,2970681723.59
sz.301005,超捷股份,创业板,2,16809739995.59792,22.2622,0.9555072463768117,3742217937.3
sh.603305,旭升集团,主板,1,17194514270.122482,8.9974,0.1469052945563014,1547059226.94
sh.600779,水井坊,主板,1,18823749605.63257,2.2796,-0.008470353761833693,429106196.01
sh.603698,航天工程,主板,3,19583921791.2444,7.2525,1.0835189309576836,1420323927.91
sh.603119,浙江荣泰,主板,1,19617675924.3097,9.1663,0.0729729729729729,1798215028.25
sz.002149,西部材料,主板,1,21636697264.215538,25.9962,1.7915407854984893,5624719094.2
sh.605255,天普股份,主板,1,22319398970.64884,2.1839,0.16435374149659854,487433354.12
sh.600179,安通控股,主板,4,22504774862.07618,4.3031,0.4800995024875623,968402967.09
sh.600577,精达股份,主板,1,25735990266.075157,9.6251,0.18199419167473385,2477114799.1
sz.000559,万向钱潮,主板,1,43596745831.18059,4.5291,0.058267716535433056,1974540215.44
sh.600879,航天电子,主板,1,59516596376.17812,19.4695,0.7360074626865669,11587583731.46
sz.002202,金风科技,主板,1,62677421811.65254,7.9502,0.2620144832126401,4982980388.87
sh.600118,中国卫星,主板,2,83275626483.66035,12.2983,0.7399521531100481,10241486371.84
