序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000565,渝三峡A,2025-05-20,主力做T，成功率17.46%,11.76,-10.023,-48782113.42,87189913.08,135972026.5,223161939.58,1405563045,-3.470645702698,15.877049441066,26.8249,5099044507.2,日跌幅偏离值达到7%的前5只证券,-5.6122449,-9.69387755,-0.25510204,-10.03401361
2,000609,*ST中迪,2025-05-20,1家机构买入，成功率59.74%,3.09,5.102,-5259239.78,27663572.0,32922811.78,60586383.78,265653178,-1.979739079199,22.806572176599,7.1018,899370060.48,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,4.85436893,-0.3236246,-0.64724919,7.4433657
3,000677,ST海龙,2025-05-20,2家机构买入，成功率44.75%,6.12,10.0719,95495041.93,211964141.64,116469099.71,328433241.35,1629717732,5.859606240696,20.152768476474,19.3923,5287545041.76,连续三个交易日内，涨幅偏离值累计达到20%的证券,-7.67973856,-8.49673203,4.5751634,-0.32679739
4,000722,湖南发展,2025-05-20,主力做T，成功率41.77%,14.08,10.0,-11623196.14,121165950.53,132789146.67,253955097.2,1414431953,-0.821757180708,17.954564492223,22.441,6535348610.56,日涨幅偏离值达到7%的前5只证券,10.01420455,3.69318182,-2.69886364,-5.32670455
5,001222,源飞宠物,2025-05-20,2家机构买入，成功率19.13%,20.72,9.9788,-17345746.08,83180531.6,100526277.68,183706809.28,865204183,-2.004815328083,21.232769430566,23.0473,1627457062.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-0.14478764,-10.13513514,-6.41891892,-3.95752896
6,002123,梦网科技,2025-05-20,买一主买，成功率38.76%,15.9,10.0346,149926877.55,282232378.9,132305501.35,414537880.25,2599600845,5.767303770437,15.946212705974,23.2727,11448757126.2,日涨幅偏离值达到7%的前5只证券,1.63522013,-2.51572327,-3.52201258,-8.49056604
7,002136,安纳达,2025-05-20,主力做T，成功率45.69%,11.2,-7.9704,-59486394.23,53349267.5,112835661.73,166184929.23,769838040,-7.727131050838,21.586998900444,29.4355,2401904512.0,日振幅值达到15%的前5只证券,10.0,13.125,24.82142857,-1.16071429
8,002165,红宝丽,2025-05-20,2家机构卖出，成功率24.50%,11.63,-4.3586,-53228420.12,217366736.54,270595156.66,487961893.2,2991221990,-1.779487456897,16.31312870898,34.2338,8462331038.48,日换手率达到20%的前5只证券,9.97420464,0.51590714,-1.20378332,-12.4677558
9,002345,潮宏基,2025-05-20,1家机构买入，成功率31.01%,11.28,10.0488,-42670866.26,256329125.49,298999991.75,555329117.24,1594698183,-2.675795753384,34.823462092074,6.3014,9779809237.2,连续三个交易日内，涨幅偏离值累计达到20%的证券,8.33333333,4.25531915,13.4751773,54.16666667
10,002365,永安药业,2025-05-20,1家机构卖出，成功率26.08%,15.3,-0.7138,-74965089.42,86838439.73,161803529.15,248641968.88,1417638225,-5.288026810931,17.539169337791,36.5106,3757069545.3,日换手率达到20%的前5只证券,10.0,20.98039216,46.33986928,28.03921569
