code,name,board,streak,circ_mkt_est,turn,ret_20d_pre,amount
sz.000820,神雾节能,ST,1,987616292.7860893,5.1068,0.3228346456692912,50435588.84
sh.600608,,ST,1,1467136381.597203,1.8019,0.22691292875989455,26436330.46
sh.603789,ST星农,ST,1,1557979200.3504443,2.5111,0.08849557522123885,39122415.7
sh.603021,*ST华鹏,ST,1,1675694973.680363,5.4712,0.25174825174825166,91680623.4
sz.002306,ST云网,ST,2,1774244654.4007957,0.4022,0.23863636363636376,7136012.0
sh.600696,,ST,1,1940515986.0057685,1.8722,0.051509769094138624,36330340.29
sz.002910,庄园牧场,主板,1,1965244203.5467517,10.2178,0.08719346049046339,200804722.23
sz.002076,星光股份,ST,1,2396843910.887689,7.2807,0.24864864864864855,174507014.62
sh.688670,金迪克,科创板,1,2418813711.0213127,5.5928,0.3521767381416503,135279413.23
sz.000632,ST三木,主板,2,2499411952.0823483,16.2821,0.39948453608247414,406956753.45
sz.000695,滨海能源,主板,1,2727736579.8233895,5.0167,0.11838565022421532,136842361.0
sz.001209,洪兴股份,主板,4,2761883160.63147,14.9429,0.6120066703724292,412705438.81
sz.000609,*ST中迪,ST,13,2826636135.6466875,0.1902,1.2581395348837212,5376261.93
sh.603377,ST东时,ST,1,2858445676.136153,2.6999,0.1264044943820224,77175174.81
sh.600228,返利科技,ST,1,2874244715.827529,1.8809,0.2380106571936056,54061668.86
sz.300437,清水源,创业板,3,2904415181.3486037,46.3472,0.8361169102296451,1346115112.93
sh.600735,ST新华锦,ST,1,2940190196.5861144,2.0856,0.5263157894736843,61320606.74
sh.601121,宝地矿业,主板,1,3040854911.897449,18.0358,0.13157894736842102,548442510.2
sz.002717,*ST岭南,ST,1,3063366401.0195413,7.6505,0.26973684210526305,234362846.51
sz.000615,*ST美谷,ST,1,3179884807.7012944,2.1399,0.21613832853025916,68046355.0
sz.002667,*ST威领,主板,1,3208874611.5009413,7.0116,0.18900343642611683,224993452.26
sh.603536,惠发食品,主板,1,3236625784.974913,10.4239,0.34608030592734207,337382635.2
sz.001206,依依股份,主板,1,3242353186.877191,9.4431,-0.09698708751793406,306178653.79
sz.002136,安 纳 达,主板,2,3255057382.2966514,22.99,0.37346221441124783,748337692.19
sh.600082,ST海泰,主板,1,3303637449.304175,9.054,0.2424942263279446,299111334.66
sz.000037,深南电A,主板,1,3330610621.786088,6.7869,0.13280363223609526,226045212.29
sh.600423,*ST柳化,主板,1,3414450417.3444247,10.7585,0.16935483870967727,367343648.15
sh.603813,原尚股份,ST,2,3576476053.4429603,1.4595,0.4282744282744282,52198668.0
sz.002374,中锐股份,主板,1,3615656754.625769,9.4741,0.2654545454545454,342550936.59
sh.603778,国晟科技,主板,1,3706561640.1416483,9.8272,0.6599999999999999,364251225.5
sz.000788,北大医药,主板,1,3761197724.0429044,7.4026,0.05882352941176472,278426422.72
