            date     close
8664  2026-06-22  4163.097
8665  2026-06-23  4106.252
8666  2026-06-24  4110.813
8667  2026-06-25  4120.281
8668  2026-06-26  4027.265
8669  2026-06-29  4073.902
8670  2026-06-30  4094.397
8671  2026-07-01  4112.445
8672  2026-07-02  4028.904
8673  2026-07-03  4043.643
8674  2026-07-06  4041.238
8675  2026-07-07  3990.235
8676  2026-07-08  3970.880
8677  2026-07-09  4036.588
8678  2026-07-10  3996.162
8679  2026-07-13  3913.794
8680  2026-07-14  3967.126
8681  2026-07-15  3955.578
8682  2026-07-16  3882.413
8683  2026-07-17  3764.155
8684  2026-07-20  3796.281
8685  2026-07-21  3864.367
8686  2026-07-22  3867.034
8687  2026-07-23  3876.777
8688  2026-07-24  3814.198
8689  2026-07-27  3858.245
8690  2026-07-28  3813.315
8691  2026-07-29  3828.469
8692  2026-07-30  3804.693
8693  2026-07-31  3832.262
8694  2026-08-03  3809.663
8695  2026-08-04  3822.285
8696  2026-08-05  3878.430
8697  2026-08-06  3900.352
8698  2026-08-07  3940.037
8699  2026-08-10  3966.594
8700  2026-08-11  3934.093
8701  2026-08-12  3946.675
8702  2026-08-13  3926.965
8703  2026-08-14  3927.176
8704  2026-08-17  3982.654
8705  2026-08-18  3990.304
8706  2026-08-19  3894.422
8707  2026-08-20  3903.721
8708  2026-08-21  3905.203
