metric,horizon,n,n_dates,ic
MA20位置,5,27249,39,-0.11713846721254449
MA60位置,5,27249,39,-0.2505626139285659
60日高点回撤,5,27249,39,-0.12869979537654144
MA20位置,20,16494,24,-0.31166062178007153
MA60位置,20,16494,24,-0.4845954325362257
60日高点回撤,20,16494,24,-0.28166190017875337
MA20位置,40,2161,4,-0.5124860772461384
MA60位置,40,2161,4,-0.5112220797163244
60日高点回撤,40,2161,4,-0.358254323451416
