序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,sina_symbol
1885,688111,金山办公,5.44,3313262599.2,24.6936697354,5.3815,2517594330.93,236.94,-85.3118,32.492038974087,17.76,1.385074709119,84.8953080927,软件开发,2026-08-20,sh688111
1886,688099,晶晨股份,1.45,4391461594.29,31.8596733481,31.6805,610791100.57,23.0,152.6332,18.833987651729,7.97,-1.186234667181,38.7258453099,半导体,2026-08-20,sh688099
1887,688065,凯赛生物,0.52,1900180844.78,13.7309854214,17.2803,372730644.26,20.75,24.9202,24.624253966194,2.08,1.040634761595,35.7333406415,化学制品,2026-08-20,sh688065
1888,688046,药康生物,0.27,459550008.7,22.6091214663,20.8561,110814393.33,56.28,35.2558,5.527763171341,4.85,0.214719467927,65.0686108974,医疗服务,2026-08-20,sh688046
1889,688012,中微公司,4.33,6691287327.67,34.8886347323,29.5478,2825194624.91,300.22,103.6253,31.359810291923,11.56,0.714682841106,39.7417373409,半导体,2026-08-20,sh688012
1890,688003,天准科技,0.51,887141718.39,48.6292382214,31.0687,98482552.25,793.9166584513,1897.7236,10.218850048772,4.83,0.416205865621,36.1079767302,自动化设备,2026-08-20,sh688003
1891,603993,洛阳钼业,0.76,135319885598.22,42.7839090612,3.7852,16152187485.37,86.27,8.1453,4.191346387888,18.29,0.763459564765,23.0090744347,工业金属,2026-08-20,sh603993
1892,603969,银龙股份,0.28,1590553539.25,7.9624900043,83.6591,240971113.09,40.35,167.2495,3.465936502795,8.23,0.054928569747,29.1334829193,通用设备,2026-08-20,sh603969
1893,603933,睿能科技,0.3166,1563487082.09,38.0056596963,24.8699,65715852.1,84.66,-9.5753,6.515674544227,4.92,-0.082916353126,21.8008622485,其他电子Ⅱ,2026-08-20,sh603933
1894,603919,金徽酒,0.42,1815665707.81,3.1946281964,-33.7485,214058226.49,-28.24,-95.3542,6.706525630011,6.16,0.417669523485,62.573710252,白酒Ⅱ,2026-08-20,sh603919
1895,603916,苏博特,0.18,1636414183.23,-2.1889321672,35.2683,74018170.59,17.03,45.1992,9.973677611151,1.69,0.366943095349,35.9918886683,水泥,2026-08-20,sh603916
1896,603909,建发合诚,0.1997,3930633900.35,15.8292316484,19.2596,52043489.22,15.54,6.006,4.494362648027,4.42,0.402812654652,4.4362370658,工程咨询服务Ⅱ,2026-08-20,sh603909
1897,603806,福斯特,0.32,6987738143.08,-12.1979499046,7.1964,842218835.71,69.89,70.125,6.241825255216,5.04,0.490864534319,17.0546236527,光伏设备,2026-08-20,sh603806
1898,603659,璞泰来,0.69,10114704705.86,42.7046197898,32.4787,1451879417.3,37.58,6.2192,9.982338078607,6.89,0.838798233165,26.3161208135,电池,2026-08-20,sh603659
1899,603655,朗博科技,0.18,124485571.18,2.1734915052,13.5667,18876982.28,-2.11,29.5709,5.285172993302,3.27,0.244266712925,36.7370433268,汽车零部件,2026-08-20,sh603655
1900,603650,彤程新材,0.63,2136150191.44,29.0996907337,3.6817,389033227.78,10.86,13.4009,6.815986352877,9.04,0.067581901428,23.0521361505,橡胶,2026-08-20,sh603650
1901,603579,荣泰健康,0.56,990807574.01,22.2912907705,24.0648,112201641.61,31.48,-39.1116,13.723795853403,3.97,-0.008102028037,29.3139967173,其他家电Ⅱ,2026-08-20,sh603579
1902,603519,立霸股份,0.37,817573898.72,0.0191446143,6.849,98675593.1,29.07,91.8578,3.989765252929,8.0,0.208429146868,15.6176813105,家电零部件Ⅱ,2026-08-20,sh603519
1903,603392,万泰生物,-0.1,1048467239.17,24.2904982757,0.3396,-128316086.16,10.9151939041,-98.5218,9.28215673056,-1.09,-0.064319120943,63.9116973555,医疗器械,2026-08-20,sh603392
1904,603383,顶点软件,0.35,247908836.08,0.9706052532,-34.2273,72074487.84,36.3,-44.8107,7.061649525524,4.69,-0.631434613497,71.011058276,软件开发,2026-08-20,sh603383
1905,603382,海阳科技,0.36,2221492686.57,-5.7856861435,26.8676,64663596.2,-17.99,213.1011,9.905219989898,3.63,1.621869380208,10.6515122773,化学纤维,2026-08-20,sh603382
1906,603199,九华旅游,1.3732,499554544.88,3.4342011379,12.5872,151988634.44,7.27,18.5095,15.536277323365,8.94,1.654503058366,55.9898456849,旅游及景区,2026-08-20,sh603199
1907,603015,弘讯科技,0.05,441525796.79,1.2708769041,31.0028,25116596.22,-11.03,171.241,3.425870239202,1.34,0.004880684926,31.0200974769,自动化设备,2026-08-20,sh603015
