序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,sina_symbol
2029,002624,完美世界,-0.07,2751024838.4,-25.4665312892,34.8958,-118437769.22,-123.54,-315.3436,3.356690888601,-1.7,0.333665816626,69.705639087,游戏Ⅱ,2026-08-20,sz002624
2030,002588,史丹利,0.47,6932849128.93,8.4817324921,-29.2406,544353775.21,-10.29,-40.6518,6.7692639402,6.95,-0.993702294524,18.0718474419,农化制品,2026-08-20,sz002588
2031,002569,*ST步森,-0.0925,80846880.35,55.6201102584,4.429,-13315655.88,-27.3,-119.221,0.212268849455,-35.77,-0.01637498146,19.5609347591,服装家纺,2026-08-20,sz002569
2032,002542,*ST中岩,-0.095,141735744.9,-61.0931546086,21.8501,-171548125.12,-8.54,-206.752,-0.158436124664,,-0.070849860935,16.287090611,专业工程,2026-08-20,sz002542
2033,002526,山东矿机,0.0035,836526989.08,-20.0531188231,29.3109,6281816.11,-93.62,-137.5523,1.808967656796,0.19,-0.060907413503,23.0988492974,专用设备,2026-08-20,sz002526
2034,002491,通鼎互联,0.1647,2457536233.34,61.4560293732,31.055,202537933.47,326.04,195.0107,2.172370632161,7.88,0.116317122792,27.8234609241,通信设备,2026-08-20,sz002491
2035,002481,双塔食品,0.0277,1123239938.66,7.2902385313,3.8198,33148787.37,-39.02,21.3545,1.984422684963,1.36,0.103026556532,19.3856802483,农产品加工,2026-08-20,sz002481
2036,002480,新筑股份,-0.1303,707042848.72,0.4032267798,14.9439,-100228801.72,-48.03,-64.1907,0.968434274124,-12.62,-0.014373791733,31.4968769705,电力,2026-08-20,sz002480
2037,002479,富春环保,0.37,3225788584.17,29.2538357374,31.3776,320784779.63,72.11,110.3748,5.09798736059,7.43,0.346693909214,18.5655028048,电力,2026-08-20,sz002479
2038,002373,千方科技,-0.01,3282785790.62,-0.8212476132,50.0223,-20857160.1,-112.29,-758.2942,7.232186738907,-0.18,-0.250913628627,36.9307446713,IT服务Ⅱ,2026-08-20,sz002373
2039,002351,漫步者,0.24,1267929732.52,-6.2649616741,19.1258,211125621.34,5.54,6.5264,3.371258394974,6.93,0.132702695963,42.374399016,消费电子,2026-08-20,sz002351
2040,002348,高乐股份,-0.0307,164572784.77,25.2941390556,55.139,-29036355.81,-3.88,-7.2733,0.403171959692,-7.31,-0.046757685906,21.7527535613,文娱用品,2026-08-20,sz002348
2041,002346,柘中股份,0.77,409244006.73,11.7686441677,11.1907,320441112.58,118.53,47525.4783,7.284877472096,10.5,-0.452640528407,27.4215932804,电网设备,2026-08-20,sz002346
2042,002281,光迅科技,0.73,6609670765.36,26.068034387,38.3278,582178717.03,56.34,42.6435,17.461234464306,5.24,-1.493707005068,25.5255594633,通信设备,2026-08-20,sz002281
2043,002276,万马股份,0.2078,10509689033.65,13.3544932761,27.2693,209327490.48,-16.41,131.0413,6.171822615599,3.38,0.502506300366,10.6590446173,电网设备,2026-08-20,sz002276
2044,002271,东方雨虹,0.26,14867118630.48,9.5666228281,6.7724,613388814.38,8.67,-47.3531,8.598031892337,3.02,-0.142417430985,27.3533970239,装修建材,2026-08-20,sz002271
2045,002255,海陆重工,0.1938,1050885794.48,1.8469809741,10.8065,161032172.22,-15.87,-44.3991,5.584998863357,3.62,0.204376622271,31.2752941487,其他电源设备Ⅱ,2026-08-20,sz002255
2046,002219,新里程,0.0028,1407749593.98,-11.5442793143,-4.474,9180113.3,-4.24,-155.1427,0.572284591721,0.46,0.019337171775,29.3060193115,医疗服务,2026-08-20,sz002219
2047,002215,诺普信,0.7752,3963877592.28,7.7577530733,-49.3171,764523837.15,17.98,-98.4094,4.563935034727,16.75,0.091214930403,36.7841639593,农化制品,2026-08-20,sz002215
2048,002148,北纬科技,0.01,198738963.1,2.1870686355,4.5294,4782431.51,252.77,-2.0191,2.198408561676,0.39,-0.016897087279,34.9429331555,通信服务,2026-08-20,sz002148
2049,002142,宁波银行,2.51,41450000000.0,11.54467169,3.3458,16562000000.0,12.12,2.4447,36.760751059964,7.12,5.032404603271,,银行Ⅱ,2026-08-20,sz002142
2050,002127,南极电商,0.0217,1005176459.23,-25.7328896657,0.6546,51679188.9,279.42,-41.6448,1.534099943393,1.33,-0.129870005284,13.6880357888,互联网电商,2026-08-20,sz002127
2051,002119,康强电子,0.17,1526232359.9,57.1428944,32.6288,63316075.77,6.44,48.613,3.833483999877,4.53,-0.803249609522,13.993099872,半导体,2026-08-20,sz002119
2052,002056,横店东磁,0.59,12342421834.54,3.4077605103,25.261,948383632.05,-7.03,45.7644,6.520439107247,8.8,0.44828957302,15.7009662492,光伏设备,2026-08-20,sz002056
2053,002036,联创电子,-0.34,3193350824.59,-24.3354000635,-6.613,-357952945.53,-1585.66,-169.8011,0.636016867414,-41.63,0.083191630148,7.4732128325,光学光电子,2026-08-20,sz002036
2054,002014,永新股份,0.3,1937443224.39,10.9517997998,6.146,184053225.0,0.43,2.8186,4.073837307139,7.24,0.164666040904,21.1746571902,包装印刷,2026-08-20,sz002014
2055,002006,精工科技,0.24,1005197365.9,-5.2643090698,5.5238,124014161.72,9.31,48.8565,4.75772176565,4.97,0.494931007633,27.662866102,专用设备,2026-08-20,sz002006
2056,002004,华邦健康,0.1619,5909893380.15,-0.5910600215,9.6671,319346014.86,-17.79,6.2526,5.099128565894,3.11,0.328877941645,37.8321457593,化学制药,2026-08-20,sz002004
2057,002001,新和成,1.3,13129300260.89,18.2752411861,8.5786,4010733454.55,11.31,19.4983,11.348948219855,11.39,1.184394678618,44.2188439956,化学制品,2026-08-20,sz002001
2058,001390,古麒绒材,0.4649,564188322.63,5.0726754364,46.0968,92978395.62,-5.51,32.6032,8.3803226977,5.58,0.53831730375,22.6211148212,纺织制造,2026-08-20,sz001390
2059,001218,丽臣实业,1.198,2992390334.39,35.3851348279,12.1449,154870032.54,181.23,0.6637,18.66468873812,6.39,-0.65279247011,12.4142969616,化学制品,2026-08-20,sz001218
2060,000989,九芝堂,0.2956,1632248087.33,29.0812274081,-32.2865,250180745.63,74.01,-48.3315,4.296992090663,6.62,0.550707558131,59.6972529178,中药Ⅱ,2026-08-20,sz000989
2061,000975,山金国际,0.8712,9659029378.83,4.4711248177,-37.3366,2416474433.01,51.43,-26.631,5.742175405409,15.45,1.106255954771,42.5271551017,贵金属,2026-08-20,sz000975
2062,000966,长源电力,0.0497,6858920549.61,3.6954168492,-15.6422,172944169.45,82.39,-34.7525,3.890461146533,1.29,0.387066019404,8.3383804369,电力,2026-08-20,sz000966
2063,000960,锡业股份,0.8991,31572707886.24,49.6824241355,3.0156,1503643577.31,41.6,-26.6875,13.046793505284,7.32,1.32494788563,11.2353292662,小金属,2026-08-20,sz000960
2064,000955,欣龙控股,-0.0057,209602637.24,-5.5694137898,14.6948,-3082930.52,-265.58,-205.4264,1.199354953148,-0.48,-0.014033885512,9.0751904749,纺织制造,2026-08-20,sz000955
2065,000917,电广传媒,-0.039,2216800621.54,12.6555300063,5.9103,-55629853.11,-236.69,139.956,7.259662335269,-0.54,0.218520907583,28.1084678945,电视广播Ⅱ,2026-08-20,sz000917
2066,000859,国风新材,-0.04,1168137265.8,13.95744757,19.8457,-31807427.62,20.61,52.3172,2.999096982592,-1.18,0.034756487028,6.9830937132,塑料,2026-08-20,sz000859
2067,000828,东莞控股,0.5295,700476855.56,-8.5118914137,-2.7274,550427691.44,3.38,-6.4861,9.979420615272,5.32,1.083900376503,69.5716605583,铁路公路,2026-08-20,sz000828
2068,000767,晋控电力,0.0033,7237766287.18,-2.315357997,-18.3608,119669744.42,-16.44,-9.7057,1.967045426153,0.17,0.326572455318,13.7600602334,电力,2026-08-20,sz000767
2069,000739,普洛药业,0.4515,4823307257.79,-11.4093198065,-2.9221,522374662.52,-7.22,9.7718,5.669702905953,8.05,0.064163245358,29.5472105792,化学制药,2026-08-20,sz000739
2070,000738,航发控制,0.1649,2759291909.92,0.8684895854,4.5379,216908976.35,-29.69,-28.6696,9.570587643865,1.73,0.419428097118,24.3421710231,航空装备Ⅱ,2026-08-20,sz000738
2071,000736,中交发展,0.02,777399758.22,-94.1308733006,23.2498,18321944.01,101.55,333.4116,1.642061136643,1.5,-0.16693431021,17.1481566916,房地产服务,2026-08-20,sz000736
2072,000721,西安饮食,-0.0911,257232440.76,-16.0930463368,-8.4955,-52304482.81,3.44,21.2377,0.180893736666,-40.24,-0.041389320616,1.7664944812,酒店餐饮,2026-08-20,sz000721
2073,000711,ST京蓝,0.0253,444550830.15,98.0652175543,124.0081,74201518.71,213.11,597.8298,0.247198503244,11.6,-0.049002340569,18.4913055144,环境治理,2026-08-20,sz000711
2074,000701,厦门信达,0.5482,14405456145.65,-11.754789571,-11.3827,422704319.63,855.35,3731.0338,-0.345627188254,85.27,-4.114576064486,1.5087777543,贸易Ⅱ,2026-08-20,sz000701
2075,000682,东方电子,0.3005,3667345480.29,15.9770065265,41.442,402856329.62,33.22,-29.172,4.662759777658,6.59,-0.574539244148,30.681485067,电网设备,2026-08-20,sz000682
2076,000609,*ST中迪,-0.35,178828373.89,33.5498580224,-36.3521,-105529770.68,-24.38,-43.8321,-0.503987498633,,0.103252102893,5.6458998929,房地产开发,2026-08-20,sz000609
2077,000547,航天发展,-0.14,1083528780.12,57.2330011785,-28.7376,-223552399.31,40.92,-2.9506,2.289038546958,-5.93,-0.137234661553,12.0051698484,军工电子Ⅱ,2026-08-20,sz000547
2078,000533,顺钠股份,0.075,1424500128.99,32.8195799833,89.553,51802740.79,27.93,106.2711,1.477605501291,5.21,-0.075579030335,16.3488275228,电网设备,2026-08-20,sz000533
2079,000521,长虹美菱,0.0574,16136185712.66,-10.7092849675,20.3525,57982645.46,-86.1,-117.4572,5.704832089501,0.95,0.314234730492,8.1758619656,白色家电,2026-08-20,sz000521
2080,000520,凤凰航运,0.0295,672590221.07,95.6994130971,76.121,29889930.35,2329.69,705.2158,0.441815063255,6.91,0.029377052696,6.9550446386,航运港口,2026-08-20,sz000520
2081,000400,许继电气,0.4096,6525206200.08,1.2099981405,74.4276,415877522.54,-34.4,174.5085,12.136703481557,3.4,-0.305170636146,19.8958216746,电网设备,2026-08-20,sz000400
2082,000089,深圳机场,0.3593,2682812721.97,6.1184699802,-0.3327,736766609.67,135.97,85.4024,5.870053798016,6.17,0.55416451695,24.0894373136,航空机场,2026-08-20,sz000089
2083,000059,华锦股份,0.2283,17511252076.49,-12.8960301041,9.2454,365157005.62,136.92,623.2206,6.306206014052,3.7,-0.901958372544,19.3264867184,炼化及贸易,2026-08-20,sz000059
2239,688766,普冉股份,5.58,3959291997.88,336.6701829247,73.6624,826745893.31,1929.65,129.2339,22.478140532997,28.73,6.351654252135,51.1492760833,半导体,2026-08-19,sh688766
2240,688683,莱尔科技,0.16,704934916.3,83.4296613212,25.2593,25308014.04,26.97,-19.0944,7.509305584868,2.1,-0.102731176962,17.010098342,电子化学品Ⅱ,2026-08-19,sh688683
2241,688662,富信科技,0.2,292637800.84,8.5223254956,50.1432,22080977.91,8.52,98.9374,6.265625130181,3.0,-0.064121629447,29.4139025146,其他电子Ⅱ,2026-08-19,sh688662
2242,688627,精智达,0.52,803714323.87,81.1679117713,41.4418,48909868.62,59.9,136.1356,18.989424385822,2.8,-3.71576266374,43.3773684636,通用设备,2026-08-19,sh688627
2243,688610,埃科光电,1.02,377620179.42,82.3315306969,57.6843,69160497.57,91.92,98.0438,24.136814372647,4.38,-0.429152433971,43.0095025376,通用设备,2026-08-19,sh688610
2244,688569,铁科轨道,0.42,630834081.94,25.1538855976,41.2931,88596978.21,32.38,295.444,14.15218714092,2.97,0.823635319441,42.9368558476,轨交设备Ⅱ,2026-08-19,sh688569
2245,688332,中科蓝讯,2.69,905292701.52,11.5231736486,22.4496,479615585.24,265.77,8371.9114,31.905792019799,8.74,-0.249201559449,21.7830742708,半导体,2026-08-19,sh688332
2246,688297,中无人机,0.08,1634010604.95,272.4767912404,84.53,54925640.39,72.87,125.688,8.219440927956,0.97,0.811230185156,10.7444593247,航空装备Ⅱ,2026-08-19,sh688297
2247,688278,特宝生物,1.17,1836563644.13,21.5772053732,30.206,476526946.01,11.37,89.6918,7.60381334274,13.22,0.824479509712,88.9389377695,生物制品,2026-08-19,sh688278
2248,605006,山东玻纤,0.05,1560213068.59,38.2454952024,-15.3178,29227747.85,234.89,89.8912,4.78919110526,1.1,0.164420674119,16.1975518067,玻璃玻纤,2026-08-19,sh605006
2249,605003,众望布艺,0.26,258721765.21,8.1457307492,8.446,29128323.36,-12.93,12.7416,13.024384818091,1.98,0.297922988545,33.2877889342,服装家纺,2026-08-19,sh605003
2250,603986,兆易创新,9.83,11565760432.15,178.6722977786,76.1593,6856786413.68,1091.5,269.2417,53.129211296108,23.13,8.618944799796,63.1304509177,半导体,2026-08-19,sh603986
2251,603799,华友钴业,1.86,55567528870.01,49.3890763568,15.3467,3507405417.91,29.38,-59.5509,26.865650771988,7.05,1.13443871431,19.594899026,能源金属,2026-08-19,sh603799
2252,603366,日出东方,0.0451,2099677490.37,12.8527035472,58.439,36646276.22,-11.27,292.2651,5.317626133475,0.85,0.154277445819,27.2632092298,厨卫电器,2026-08-19,sh603366
2253,603209,兴通股份,0.66,1018639993.43,29.3579038665,17.8868,213040187.27,57.11,-8.8837,10.553339224338,6.17,1.017886800031,31.0597441815,航运港口,2026-08-19,sh603209
2254,603182,嘉华股份,0.34,855890451.94,25.661472101,5.0259,56668370.67,-9.03,7.4874,6.859066512975,5.0,0.422644766636,12.7473958464,农产品加工,2026-08-19,sh603182
2255,603075,热威股份,0.41,1104822259.96,12.1290471704,10.1806,163420278.08,1.76,28.5355,5.083454593577,7.42,0.447458104397,29.2171529737,家电零部件Ⅱ,2026-08-19,sh603075
2256,603023,威帝股份,-0.014,67852231.73,-8.2507933099,16.9337,-7664601.5,-1488.3,-42.7037,1.371693414769,-0.996,-0.01102004912,10.869219526,汽车零部件,2026-08-19,sh603023
2257,601952,苏垦农发,0.1,4331531121.89,-5.5936400106,7.2089,143952959.8,-32.48,93.0276,5.220918374608,2.04,0.121312552431,11.3081048797,种植业,2026-08-19,sh601952
2258,601609,金田股份,0.26,79299656306.4,33.7407335256,17.4046,442298687.08,18.44,59.7693,5.900094106569,4.23,-2.878044383369,2.3377594947,工业金属,2026-08-19,sh601609
2259,601211,国泰海通,1.14,47163077753.0,97.5628794336,90.5542,20259526242.0,28.74,117.1267,18.77872083859,6.12,3.852836657482,,证券Ⅱ,2026-08-19,sh601211
2260,601101,昊华能源,0.52,4810709609.69,9.4583908746,-15.2988,744589635.71,66.14,32.8437,8.635352685945,6.03,1.126790102752,40.6829217648,煤炭开采,2026-08-19,sh601101
2261,601066,中信建投,0.92,16228807704.41,51.1077143242,10.8851,7639129546.85,69.44,8.2979,11.28992529276,8.27,7.842420803745,,证券Ⅱ,2026-08-19,sh601066
2262,601009,南京银行,1.1,31595756000.0,10.9393325773,-3.8913,13650199000.0,8.17,6.8211,15.624888917575,7.25,8.507068550686,,银行Ⅱ,2026-08-19,sh601009
2263,600987,航民股份,0.294,3887830018.19,-28.5632702371,-10.0144,300198145.61,-4.59,16.0726,6.605131005116,4.41,0.736486814395,18.2899290631,纺织制造,2026-08-19,sh600987
2264,600961,株冶集团,1.8,14150488145.14,35.9090987001,1.9331,1948072940.84,232.75,-29.6663,5.462395440804,39.52,2.117783584303,20.0710366181,工业金属,2026-08-19,sh600961
2265,600901,江苏金租,0.3,3514500108.63,16.9079065611,-4.5722,1709159567.35,9.27,7.9688,4.448588768063,6.64,-0.240353539141,,多元金融,2026-08-19,sh600901
2266,600769,祥龙电业,0.0247,40350383.46,1.3118351163,23.2935,9273132.45,-35.21,-4.7949,0.350055725468,7.32,0.035268676656,35.9065619398,环境治理,2026-08-19,sh600769
2267,600738,丽尚国潮,0.14,324666695.44,0.3927197417,-15.5879,103435666.0,29.73,-31.5026,2.801998099993,4.81,0.133733172347,67.3731024377,一般零售,2026-08-19,sh600738
2268,600702,舍得酒业,0.4425,2286904653.19,-15.3375162179,-45.6188,145134120.55,-67.26,-137.3199,20.977362121268,2.12,-0.080049607688,61.2386260405,白酒Ⅱ,2026-08-19,sh600702
2269,600660,福耀玻璃,1.52,21971104612.0,2.4418488874,10.9963,3970299706.0,-17.37,31.9724,14.627654418496,10.34,1.743828841492,38.8449038986,汽车零部件,2026-08-19,sh600660
2270,600605,汇通能源,0.13,83201016.97,44.342854995,1.9625,25785483.15,25.04,96.8686,6.966203280891,1.81,0.231247304975,42.5630339985,一般零售,2026-08-19,sh600605
2271,600573,惠泉啤酒,0.195,369260484.82,5.112556983,45.1167,48777324.52,23.26,393.0767,5.52545005528,3.53,0.39815853752,40.2003382172,非白酒,2026-08-19,sh600573
2272,600444,国机通用,0.224,478268039.64,16.194316596,139.4708,32779839.33,2.23,146.8457,5.215063642378,4.323,-0.6434165379,12.6897764391,专用设备,2026-08-19,sh600444
2273,600338,西藏珠峰,0.3884,1625865336.04,44.8266679355,-8.1719,355073121.26,18.03,-2.5381,5.195735896672,7.7,0.662196109473,70.7471029281,工业金属,2026-08-19,sh600338
2274,600133,东湖高新,-0.0151,903329244.61,-15.417805456,33.3383,-16139096.56,-132.82,-714.0631,8.365350407084,-0.18,-0.230411794288,25.9996032434,环境治理,2026-08-19,sh600133
2275,600050,中国联通,0.133,201363902351.0,0.5801484613,-4.1669,4138833223.0,-34.8,-6.318,5.483738305656,2.41,1.064436570573,23.8175790422,通信服务,2026-08-19,sh600050
2276,600011,华能国际,0.35,106909025871.0,-4.5728479478,-11.7222,6585729326.0,-28.89,-53.1256,4.109116315327,8.13,1.608005899489,17.4204841577,电力,2026-08-19,sh600011
2299,301563,云汉芯城,1.96,2745619251.15,90.6619549459,38.9976,165908329.46,207.69,121.3699,15.890528736673,12.79,-4.412394360048,16.7862040061,其他电子Ⅱ,2026-08-19,sz301563
2300,301528,多浦乐,0.2374,90554204.66,13.2138638565,119.0371,21304399.22,11.91,5938.3672,17.686088469612,1.35,0.340154306167,71.4164165903,通用设备,2026-08-19,sz301528
2301,301469,恒达新材,0.6,547578935.0,5.1558721064,13.0519,53848003.08,57.29,15.1559,15.663482454403,3.82,0.497461869133,17.7163632345,造纸,2026-08-19,sz301469
2302,301399,英特科技,-0.02,242617939.85,20.5148410316,52.2742,-4276585.21,-125.93,47.2334,7.014750023025,-0.32,-0.066049968166,13.0465376425,通用设备,2026-08-19,sz301399
2303,301373,凌玮科技,0.63,292687704.19,27.7913680019,-2.897,67852261.34,4.07,-22.7515,15.641989756056,4.02,0.645623723249,45.6773709473,化学制品,2026-08-19,sz301373
2304,301299,卓创资讯,0.6,185293764.56,8.2647373474,2.532,36461985.47,3.76,-4.3054,9.609080997326,6.15,0.678959023366,63.7220815878,数字媒体,2026-08-19,sz301299
2305,301007,德迈仕,0.1,319023569.63,2.1403770734,0.7926,15221519.98,-36.55,-28.2701,4.263988450698,2.32,0.205570083409,20.7583577592,汽车零部件,2026-08-19,sz301007
2306,300855,图南股份,0.63,1023010757.94,70.8964547914,98.6666,249075915.72,167.92,60.6484,5.558117081901,11.68,0.02445675639,40.1062844106,金属新材料,2026-08-19,sz300855
2307,300641,正丹股份,0.45,1039646007.19,-27.2336001974,25.9932,236851063.37,-62.4,152.5808,6.058715142444,7.21,0.282604546775,28.2964384738,化学制品,2026-08-19,sz300641
2308,300628,亿联网络,1.2032,3349291691.41,26.3958025693,33.8835,1524249434.33,22.92,32.4274,7.268441138034,15.11,0.65412607455,64.8810539173,通信设备,2026-08-19,sz300628
2309,300480,光力科技,0.21,452702150.54,57.2278726213,19.0428,74168955.79,194.56,35.2369,4.844428426979,4.14,-0.069805569865,50.3928573783,专用设备,2026-08-19,sz300480
2310,300394,天孚通信,1.1057,2827938748.37,15.1492291388,12.5838,1204285104.14,33.92,44.6646,5.728302744856,19.6,0.917545511964,60.8695979509,通信设备,2026-08-19,sz300394
2311,300365,恒华科技,-0.0519,154534864.72,-58.5418185376,-23.9982,-31135390.47,-613.58,-39.1891,2.609654569874,-1.93,-0.251182556577,22.6043377611,软件开发,2026-08-19,sz300365
2312,300296,利亚德,0.0255,2866634760.69,-18.337221437,19.7761,69152096.17,-59.74,206.4682,2.878748338462,0.86,0.078622617945,30.0496040379,光学光电子,2026-08-19,sz300296
2314,002973,侨银股份,0.11,1631819589.64,-12.762637949,-7.713,43566486.87,-65.08,-74.9209,6.228099558637,1.68,0.61959976898,23.2248453068,环境治理,2026-08-19,sz002973
2315,002895,川恒股份,0.9244,4058128441.28,20.7627425244,22.5273,560109836.24,4.5,96.9665,12.211328434743,7.14,0.271051292622,28.5288189914,农化制品,2026-08-19,sz002895
2316,002886,沃特股份,0.105,1069786923.67,18.0311315073,32.1876,27425666.66,48.99,10.8596,7.040511829314,1.53,0.282261088105,16.843782046,塑料,2026-08-19,sz002886
2317,002857,三晖电气,-0.3412,103219151.84,-29.1367935546,939.9999,-44574342.15,-173.3,19.6146,3.453082313104,-9.53,-0.732214844145,11.5999548209,电网设备,2026-08-19,sz002857
2318,002810,山东赫达,0.62,1224829762.77,26.0454990502,5.2869,212998088.44,88.27,7.3843,6.50516607835,9.28,0.79205496268,33.8197873281,化学制品,2026-08-19,sz002810
2319,002749,国光股份,0.33,1104185144.21,-1.3095019651,90.2514,183532391.85,-20.39,105.2223,3.411548383908,9.75,0.26793868631,44.3066978301,农化制品,2026-08-19,sz002749
2320,002532,天山铝业,0.91,17511499645.5,14.2464397289,7.3735,4177413975.66,100.44,-11.725,6.936935451017,13.42,0.867453343622,37.3641946865,工业金属,2026-08-19,sz002532
2321,002528,*ST英飞,-0.0921,189253278.97,-19.497145044,9.6093,-110374717.79,-1047.04,-364.5704,-0.181310249494,,-0.030178360636,35.3240992567,计算机设备,2026-08-19,sz002528
2322,002445,中南文化,0.0129,542030298.15,-3.058220075,47.578,30587030.27,-49.85,-83.8485,0.963313705476,1.35,-0.043971886627,14.5916588371,通用设备,2026-08-19,sz002445
2323,002402,和而泰,0.2593,5680682732.38,4.3081508785,1.8237,239710070.78,-32.23,-58.9737,7.840738765722,3.41,0.238833844356,19.6773279697,家电零部件Ⅱ,2026-08-19,sz002402
2324,002043,兔宝宝,0.3,4266515853.16,17.403057941,53.0576,247308823.93,-7.67,-32.9366,3.964994200272,7.22,0.256664513532,16.2272057182,装修建材,2026-08-19,sz002043
2325,002027,分众传媒,0.2166,5991375629.17,-1.9792869063,5.5247,3128055743.26,17.39,-25.2049,0.968716375612,20.44,0.308362168983,70.5382202675,广告营销,2026-08-19,sz002027
2326,001393,维通利,0.69,1675144988.1,18.8273713193,51.0559,135827347.83,-2.23,76.3525,14.847895837225,6.2,0.092885643281,19.7866708646,电网设备,2026-08-19,sz001393
2327,001378,德冠新材,0.35,885008688.0,20.1657871725,13.0676,60937134.83,63.8,16.2354,10.819063829257,3.25,0.503999416443,16.1211310515,塑料,2026-08-19,sz001378
2328,001301,尚太科技,1.1,4509557018.11,33.1100988723,5.446,399715584.14,-16.6,21.0562,27.591850861121,5.59,-6.607086424117,18.2986445067,电池,2026-08-19,sz001301
2329,000659,珠海中富,-0.0214,465735107.42,-14.4201375705,12.3423,-27556064.77,25.95,-310.9829,0.0530657759,-28.58,0.017235242473,18.2015033502,包装印刷,2026-08-19,sz000659
2330,000605,渤海股份,0.0407,936935716.08,11.5620056926,-58.0695,14340551.86,1.75,-122.9046,6.018211531436,0.67,0.047608145413,21.9845423901,环境治理,2026-08-19,sz000605
2331,000553,安道麦A,0.19,14476540000.0,-3.645185767,0.9045,432567000.0,638.34,-124.0081,7.569717642454,2.46,0.287537792749,27.3076992154,农化制品,2026-08-19,sz000553
2630,688836,宇树科技,0.75,1152245550.58,48.5389986228,72.5012,273999911.92,955.5945828766,347.8483,7.911656929646,9.99,0.636082168332,56.0089333697,自动化设备,2026-08-18,sh688836
2631,688779,五矿新能,0.2,7812162781.16,168.9977570192,59.5142,377618935.7,1507.6335597105,264.7646,3.792174142464,5.07,-0.446585328301,11.2136284279,电池,2026-08-18,sh688779
2632,688660,电气风电,-0.41,5653761985.6,112.2674371452,239.8921,-541618710.24,-94.1827468187,-0.6214,2.708757305412,-13.97,-1.953198543058,3.8196320966,风电设备,2026-08-18,sh688660
2633,688656,浩欧博,0.27,195769304.03,3.2201086051,48.2359,16677554.05,37.05,9198.541,13.08675037624,2.01,0.587011376239,60.3369321075,医疗器械,2026-08-18,sh688656
2634,688646,逸飞激光,-0.17,674616505.45,56.1819422207,272.4061,-15770681.21,-186.9,134.2403,15.106704315157,-1.12,3.169030915966,19.7812997106,自动化设备,2026-08-18,sh688646
2635,688582,芯动联科,0.09,156601196.3,-38.1350873055,106.431,36477090.64,-76.36,1228.6142,6.306495441235,1.44,0.004686751168,77.5343240338,半导体,2026-08-18,sh688582
2636,688545,兴福电子,0.34,966426803.02,43.7110433435,16.3381,123107015.82,17.91,-7.7056,8.250074905972,4.11,0.0319669235,23.401144325,电子化学品Ⅱ,2026-08-18,sh688545
2637,688521,芯原股份,-1.16,1863539395.68,91.3678078628,22.9809,-612125014.89,-91.379633091,20.4085,5.562667675312,-19.29,1.189915848917,31.3422029646,半导体,2026-08-18,sh688521
2638,688510,航亚科技,0.2,373581798.3,1.1388521784,17.8913,51303536.31,-16.19,56.0643,4.676185922542,4.18,0.276274621021,37.5861936874,航空装备Ⅱ,2026-08-18,sh688510
2639,688484,南芯科技,-0.1,1546385212.25,5.1857824986,4.2567,-44872303.83,-136.58,-1544.1636,9.407183506707,-1.08,-0.241237879147,35.2777341563,半导体,2026-08-18,sh688484
2640,688448,磁谷科技,0.02,160344064.72,5.7366487446,177.8372,1209079.54,-73.04,225.0639,10.520148892615,0.12,-0.035137467552,30.6391614468,通用设备,2026-08-18,sh688448
2641,688385,复旦微电,1.03,2225494085.21,21.0263401039,15.6382,849153566.43,338.58,372.5585,8.479076501611,12.9,0.934947615453,56.9879500156,半导体,2026-08-18,sh688385
2642,688328,深科达,0.65,435189073.52,21.0306489102,31.4718,61447386.94,198.23,27.0075,9.291939061658,7.12,1.493431747032,38.6921876664,专用设备,2026-08-18,sh688328
2643,688319,欧林生物,-0.0811,361322181.04,18.1371742612,28.9692,-32872556.52,-349.09,-320.9025,2.144316590542,-3.71,-0.173653950415,91.8129462313,生物制品,2026-08-18,sh688319
2644,688205,德科立,0.48,545069470.0,25.7788920906,14.2196,98255620.0,249.74,300.3084,15.4069789721,4.13,-0.972240268294,25.5464078735,通信设备,2026-08-18,sh688205
2645,688188,柏楚电子,1.94,1278250073.15,15.8383182914,33.2251,787150283.9,22.97,48.7447,15.632417525479,12.33,1.249969086147,73.928625075,计算机设备,2026-08-18,sh688188
2646,688182,灿勤科技,0.14,599186680.58,108.6290482026,41.8971,56227804.68,8.31,3244.4059,5.72463178995,2.46,-0.348715040525,24.5739170099,通信设备,2026-08-18,sh688182
2647,688112,鼎阳科技,0.58,357746564.49,28.3075604381,20.9359,91791391.89,19.4,39.3956,9.955433872603,5.56,0.309963049905,63.88720021,通用设备,2026-08-18,sh688112
2648,688077,大地熊,0.3,983859983.66,35.5042810654,42.6609,34486383.86,54.05,96.2588,9.68227591304,3.09,0.232001872771,16.5462529612,金属新材料,2026-08-18,sh688077
2649,688036,传音控股,1.54,35431433138.2,21.8520586971,18.7111,1773406788.21,46.22,53.2144,18.385091847346,8.37,-5.091523647149,22.6316078301,消费电子,2026-08-18,sh688036
2650,688002,睿创微纳,2.72,4396621717.39,72.8372056798,26.0639,1259361594.5,258.78,63.0563,16.857268336089,17.01,3.053877447041,57.7585549231,军工电子Ⅱ,2026-08-18,sh688002
