,upbig_600183,pct_600183,upbig_002463,pct_002463,upbig_002916,pct_002916,upbig_300476,pct_300476,upbig_002938,pct_002938,upbig_300502,pct_300502,upbig_300308,pct_300308,upbig_300394,pct_300394,upbig_300408,pct_300408,upbig_301018,pct_301018,upbig_002837,pct_002837,theme_count,theme_basket_ret_eq
2026-04-01,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2026-04-02,0,-6.296769483482379,0,-3.801317790167258,0,-5.19576673489831,0,-0.031309929161282835,0,-4.970815289022779,0,-2.845664546367588,0,-3.301949564175932,0,-3.159577601077024,0,-2.488479262672816,0,-4.10453270338107,0,-5.064236629817753,0,-3.750947230384018
2026-04-03,0,1.694585118815728,0,0.06585879873550748,0,-2.8390297684674826,0,2.5643033316368413,0,-0.15851000594412357,0,1.7448781404673763,0,4.212898453492975,0,3.427752193935185,0,3.1190926275992403,0,-0.06158583525790462,0,1.038552321007069,0,1.3462541250927647
2026-04-07,0,5.133116261252635,0,0.14479399763063228,0,1.4751773049645367,0,0.4580502328421998,0,0.11907124429451077,0,0.7481757443271064,0,2.145922746781115,0,-4.943924055949922,0,3.3913840513290605,0,-3.004159605607759,0,1.448372527643671,0,0.646907313591617
2026-04-08,0,6.850063763891412,1,9.989484752891698,1,9.999068120398857,0,7.926134204726809,0,7.353815659068363,0,9.33011429619215,0,11.074660633484168,0,6.190897039328314,0,2.9964539007092394,0,15.835451080050845,0,7.844642308873184,2,8.67188961451046
2026-04-09,0,0.3751065643648799,0,2.1032504780114536,0,2.312775330396466,0,-2.749612730601325,0,1.6986706056129952,0,-2.292103424178893,0,0.7085388386946612,0,2.937871915442547,0,0.32707867102770294,0,1.9607843137254832,0,1.7366548042704544,0,0.8290013969787661
2026-04-10,0,3.3973161202649926,0,2.890917602996246,0,7.828931025917041,0,4.228360424284117,0,1.252723311546844,0,6.631383206980401,0,6.006934412019627,0,3.4563609168452025,0,1.7673301304049538,0,5.02958579881656,0,6.408283195746467,0,4.445284195074769
2026-04-13,0,3.6964021685559345,0,0.39813445569332195,0,2.541754655404116,0,2.8897919488729107,0,2.8509951586874527,0,-1.872669224371537,0,0.4565401073891362,0,-2.19990622069397,0,3.152925307705279,0,7.055057618437899,0,3.852728468113087,0,2.0747049494357843
2026-04-14,0,5.27566539923956,1,10.00453206435532,0,6.3578837009024,0,3.9766397731492376,0,4.184100418410042,0,1.4217361585782573,0,4.7427183807469575,0,-1.4702944584282118,0,5.050670153644976,0,6.865207511063254,0,6.735882501899204,1,4.831340145778273
2026-04-15,0,0.12039127163281371,0,-4.8820681841590385,0,-5.192747755676819,0,-4.081036329989285,0,-1.5060240963855387,0,-4.426472570427286,0,0.902744498698338,0,-4.3915494099995955,0,1.1047144857631919,0,-1.6228315612758726,0,-4.08066429418742,0,-2.5505039950915007
2026-04-16,0,0.9770028558545141,0,1.743367623172709,0,-0.2933531377645848,0,2.728134308150554,0,2.667346245327895,0,8.151637379065257,0,3.7981670217954955,0,7.536686741878018,0,-0.3847337642351456,0,-0.375426621160424,0,0.8162255750680192,0,2.4877322024683917
2026-04-17,0,2.5156296516820387,0,3.458918688803747,0,4.781944806524918,0,7.5518945634266865,0,1.8368360086050028,0,9.581931512922836,0,5.11222407716565,0,6.665352001577585,0,0.1544878727019805,0,-1.9413040995774677,0,4.232090284592749,0,3.995455033493248
2026-04-20,0,0.7840859590532823,0,0.349758255323529,0,1.6136484805402418,0,5.0793456283315885,0,6.028599285017866,0,-1.0186353142775606,0,-0.11647195849363579,0,-1.2571639859493389,0,-2.5759679160882287,0,5.415162454873634,0,9.40331881840648,0,2.1550617915216237
2026-04-21,0,3.947557988762429,0,1.8554587391081512,0,2.6793521983979884,0,-3.5276967930029213,0,5.134099616858223,0,-0.7718387073504918,0,1.7479387514723221,0,-5.744242651188913,0,4.100696643445234,0,-1.6791869200176723,0,-9.993545611015486,0,-0.2046733404119215
2026-04-22,0,4.753984753984741,0,3.4520933977455703,0,2.0200987906659806,0,3.590208522212146,1,10.000000000000009,0,7.642725598526701,0,2.515512131876285,0,6.348575741925222,0,1.3688212927756682,0,1.3370786516853972,0,-4.386279431098361,1,3.512983586390851
2026-04-23,0,-1.38925641704154,0,3.2493433213347522,0,0.0,0,-3.1594608786977063,0,-0.9939040551285472,0,-2.3186709288190555,0,1.1709972108359556,0,-6.742874220180061,0,4.636159039759913,0,-1.8959973389510942,0,-3.3750000000000058,0,-0.9835149333533991
2026-04-24,0,-3.086005635314637,0,-3.9762555356638085,0,0.0200347268598966,0,-4.928453080283179,0,-5.0729487351090725,0,-11.67265855457228,0,-1.1161461705024855,0,-7.49078673289536,0,6.968741038141668,0,-0.24864376130199206,0,-5.433376455368699,0,-3.276045354182722
2026-04-27,0,5.551709815865968,0,2.5022078304386186,0,6.783735060425977,0,0.5735289457840853,0,7.811618725324299,0,0.13567458971484037,0,-3.3772038738515087,0,-0.49796483935221625,0,0.965147453083115,0,1.404939950147277,0,0.8344733242134028,0,2.06253336198126
2026-04-28,0,-0.06558237145855017,0,-2.9197779054183415,0,-2.135309197774038,0,-1.367359798361678,0,-3.321998430551909,0,-0.47161207952265416,0,-3.7382304151772128,0,-3.8643979285434504,0,7.886351566648986,0,-2.413407821229041,0,-3.296703296703285,0,-1.4280025161901067
