code,name,disclosure_date,np_yoy_pct,rev_yoy_pct,tier,np_rank_pct,ret_1d,ret_5d,ret_20d,idx_ret_1d,excess_ret_1d,idx_ret_5d,excess_ret_5d,idx_ret_20d,excess_ret_20d
688505,复旦张江,2026-08-15,545.57,-4.5779572226,Beat(前1/3),0.9643274853801169,0.044340723453908826,0.008168028004667427,,0.014126690527748176,0.03021403292616065,-0.005595114657453548,0.013763142662120975,,
002064,华峰化学,2026-08-01,101.64,16.7264470426,Beat(前1/3),0.8134502923976609,-0.0036429872495447047,0.09562841530054644,,-0.005897039398663262,0.0022540521491185572,0.02812307718000473,0.06750533812054171,,
002546,新联电子,2026-08-18,140.95,8.2522480955,Beat(前1/3),0.8614035087719298,-0.03132250580046403,,,0.0019208296778983058,-0.033243335478362335,,,,
603001,奥康国际,2026-08-08,119.0931835505,-28.8789715181,Beat(前1/3),0.8380116959064328,0.033660589060308554,0.05049088359046294,,0.006740292032790585,0.02692029702751797,-0.0032641825444785777,0.05375506613494152,,
600711,盛屯矿业,2026-07-30,71.37,39.5572034727,Beat(前1/3),0.7690058479532164,-0.056797020484171235,0.07262569832402233,,-0.006210315402841116,-0.05058670508133012,0.013049864057930183,0.05957583426609214,,
300135,宝利国际,2026-08-22,288.64,-1.1612394354,Beat(前1/3),0.9327485380116959,,,,,,,,,
000686,东北证券,2026-08-22,77.49,29.38,Beat(前1/3),0.7847953216374269,,,,,,,,,
002148,北纬科技,2026-08-20,252.77,2.1870686355,Beat(前1/3),0.92046783625731,0.0016000000000000458,,,0.002387774103576934,-0.0007877741035768882,,,,
300697,电工合金,2026-08-22,42.55,72.0242313948,Beat(前1/3),0.6941520467836257,,,,,,,,,
688072,拓荆科技,2026-08-21,1324.1,49.060715147,Beat(前1/3),0.9847953216374269,0.003337008014778098,,,0.00037963778661431746,0.0029573702281637804,,,,
301026,浩通科技,2026-08-21,73.41,104.1461053976,Beat(前1/3),0.7742690058479532,0.01656412683388564,,,0.00037963778661431746,0.016184489047271322,,,,
688795,摩尔线程,2026-08-10,95.732267092,147.4213793771,Beat(前1/3),0.8076023391812865,-0.04000735921323317,-0.0349729883423372,,0.006740292032790585,-0.04674765124602376,-0.0032641825444785777,-0.03170880579785862,,
301100,风光股份,2026-07-31,47.67,-5.5245189483,Beat(前1/3),0.7146198830409357,-0.0006765899864681346,0.09472259810554817,,0.007246051126858388,-0.007922641113326523,0.02514237022540322,0.06958022788014495,,
