,upbig_600160,pct_600160,upbig_605020,pct_605020,upbig_603379,pct_603379,upbig_600378,pct_600378,theme_count,theme_basket_ret_eq
2026-04-01,0,,0,,0,,0,,0,
2026-04-02,0,-3.6758321273516525,0,-1.7727639000805873,0,-1.6957443339311928,0,-2.5690430314707746,0,-2.428345848208552
2026-04-03,0,0.24038461538460343,0,-5.414273995077934,0,0.46442196052414175,0,4.548450889914291,0,-0.040254132313724655
2026-04-07,0,2.3081534772182444,0,1.040763226366015,0,1.518903747729894,0,4.445145018915531,0,2.328241367557421
2026-04-08,0,1.5821857603281586,0,3.562231759656642,0,1.3335501707594677,0,0.8753395713854584,0,1.8383268155324317
2026-04-09,0,-0.8653014133256587,0,-1.0360547036883494,0,-1.4925373134328401,0,-0.418910831837227,0,-0.9532010655710188
2026-04-10,0,0.2909514111143485,0,1.8844221105527525,0,-0.488758553274693,0,0.060096153846145306,0,0.43667778055963835
2026-04-13,0,-2.7270089933275288,0,0.9453349773941744,0,-2.373935821872941,0,-3.543543543543548,0,-1.9247883453374608
2026-04-14,0,4.413957649865785,0,2.6465798045602673,0,3.102465202079485,0,0.9028642590286351,0,2.766466728883543
2026-04-15,0,-2.6278206226792222,0,-1.7850059500198356,0,-1.6265452179570539,0,-1.2341869793273674,0,-1.8183896924958698
2026-04-16,0,-0.909357582868886,0,0.928917609046831,0,1.041666666666674,0,2.780381130896603,0,0.9604019559353055
2026-04-17,0,-0.9177027827116713,0,1.0404161664665956,0,0.3600065455735546,0,-0.9118541033434568,0,-0.10728354350374447
2026-04-20,0,2.0017926501344485,0,2.3366336633663387,0,-0.4565465514430156,0,0.9509202453987564,0,1.2082000018641321
2026-04-21,0,-0.14645577035734547,0,2.941176470588247,0,0.9009009009009139,0,2.9474323913704303,0,1.6607634981255615
2026-04-22,0,-1.4080375476679508,0,-0.3759398496240629,0,-1.4772727272727382,0,2.597402597402576,0,-0.16596188179054394
2026-04-23,0,-0.952097590002976,0,-1.6981132075471694,0,-1.318174328554944,0,-2.330264672036808,0,-1.5746624495354744
2026-04-24,0,4.295584259537399,0,1.5355086372360827,0,4.140925029220233,0,3.181148748159046,0,3.28829166853819
2026-04-27,0,2.361751152073732,0,-0.15122873345935206,0,2.100368767035432,0,1.570082786183269,0,1.4702434929582702
2026-04-28,0,0.9566685424873489,0,-0.07572889057174681,0,-0.3925879396984966,0,-0.590219224283306,0,-0.02546687801655012
2026-04-29,0,1.6443701226309893,0,1.2504736642667602,0,2.553996531609637,0,0.2261803788521588,0,1.4187551743398863
2026-04-30,0,-0.4935563476830218,0,-0.6362275449101729,0,-1.6295157571099117,0,2.0592383638927902,0,-0.17501532145257903
2026-05-06,0,1.1022320198401658,0,0.3389830508474523,0,-0.531333020784508,0,0.5527915975677145,0,0.36566841186770616
2026-05-07,0,-2.3712183156173294,0,-0.22522522522523403,0,-1.885310290651998,0,-2.4738867509620843,0,-1.7389101456141614
2026-05-08,0,-1.5912897822445538,0,1.8811136192625977,0,-0.8166533226581341,0,-3.861330326944745,0,-1.0970399531462087
2026-05-11,0,0.48226950354610665,0,2.584933530280664,0,-1.8404907975460127,0,1.729698035766658,0,0.739102568011854
2026-05-12,0,-1.6657255787690617,0,1.1519078473722022,0,-1.3157894736842035,0,-4.610951008645536,0,-1.6101395534316496
2026-05-13,0,0.1148435256962399,0,1.85053380782918,0,0.16666666666667052,0,5.800604229607265,0,1.9831620574498388
2026-05-14,0,-1.8353885861772334,0,9.46890286512927,0,-0.44925124792013493,0,4.054825813820662,0,2.809772211213141
2026-05-15,0,3.9146947122407294,0,-0.44685604851578686,0,2.4068193214106692,0,0.7135016465422694,0,1.6470399079194702
