code,name,g_q3_25,g_ann25,g_q1_26,g_h1_26,group,high_growth,ann_date,ret_5d,ret_20d,ret_40d
601360,三六零,82.71,102.96,131.7,151.56,accel,True,2026-08-20,,,
600844,金煤科技,53.28,43.61,68.96,125.85,accel,True,2026-07-18,3.424657534246589,20.547945205479444,
688779,五矿新能,73.5,139.37,214.22,812.61,accel,True,2026-08-18,,,
301060,兰卫医学,84.79,59.16,182.34,314.47,accel,True,2026-08-22,,,
000547,航天发展,13.25,12.65,37.16,39.41,accel,False,2026-08-20,,,
000520,凤凰航运,125.35,106.45,184.25,3200.73,accel,True,2026-08-20,,,
688072,拓荆科技,599.67,103.05,156.65,861.92,accel,True,2026-08-21,,,
605358,立昂微,-291.77,31.27,114.4,123.19,accel,True,2026-08-08,5.311934900542492,,
301308,江波龙,-3.62,674.08,2051.4,31096.33,accel,True,2026-08-11,-1.2742514970059848,,
301216,万凯新材,182.37,119.48,275.45,971.52,accel,True,2026-08-24,,,
300596,利安隆,27.66,19.23,24.08,24.12,accel,False,2026-08-18,,,
300497,富祥股份,5.52,72.74,366.63,644.83,accel,True,2026-08-12,-4.105090311986858,,
001287,中电港,74.96,69.17,146.04,194.68,accel,True,2026-08-21,,,
300214,日科化学,101.08,45.7,106.56,20526.31,accel,True,2026-08-21,,,
002115,三维通信,76.67,91.47,963.34,996.77,accel,True,2026-08-18,,,
000657,中钨高新,348.42,585.39,349.58,324.17,decel,True,2026-08-24,,,
688365,光云科技,70.98,59.47,132.9,179.02,accel,True,2026-08-22,,,
688053,ST思科瑞,-74.3,20.01,51.25,414.94,accel,True,2026-08-22,,,
600408,安泰集团,50.36,14.82,19.34,26.22,accel,False,2026-08-22,,,
600405,动力源,2.77,22.33,28.73,38.56,accel,False,2026-08-20,,,
600183,生益科技,81.25,89.54,93.51,110.99,accel,True,2026-08-15,,,
301321,翰博高新,73.58,52.61,111.93,151.03,accel,True,2026-08-22,,,
300676,华大基因,52.04,30.82,69.38,127.66,accel,True,2026-08-22,,,
002921,联诚精密,-7.08,8.15,81.63,86.79,accel,True,2026-08-22,,,
002902,铭普光磁,10.86,15.53,53.83,69.75,accel,True,2026-08-22,,,
002309,中利集团,58.36,86.05,61.69,21.29,decel,True,2026-08-15,,,
002142,宁波银行,8.22,7.81,10.16,12.38,accel,False,2026-08-20,,,
002057,中钢天源,62.2,4.52,2.79,1.9,decel,False,2026-08-21,,,
920017,星昊医药,13.6,1.56,24.63,34.49,accel,False,2026-08-10,,,
300153,科泰电源,74.94,22.38,57.7,131.84,accel,True,2026-08-20,,,
002799,环球印务,-184.3,53.57,134.99,247.01,accel,True,2026-08-12,-3.8961038961038863,,
001339,智微智能,54.28,18.39,177.69,324.6,accel,True,2026-07-18,2.309782608695654,18.682065217391308,
000519,中兵红箭,-5.92,109.31,142.38,199.38,accel,True,2026-08-21,,,
603171,税友股份,-7.64,7.96,33.28,44.04,accel,False,2026-08-21,,,
600889,*ST京化,16.07,60.3,85.29,122.72,accel,True,2026-08-18,,,
600233,圆通速递,-1.7,9.73,65.79,76.87,accel,True,2026-08-20,,,
600110,诺德股份,59.09,51.58,149.37,159.59,accel,True,2026-07-31,28.186274509803933,,
002293,罗莱生活,23.21,14.27,29.31,34.86,accel,False,2026-08-22,,,
000059,华锦股份,26.99,38.67,110.45,133.87,accel,True,2026-08-20,,,
920261,一诺威,45.86,3.17,21.65,26.82,accel,False,2026-08-07,,,
300667,必创科技,-94.68,30.38,83.13,117.01,accel,True,2026-08-20,,,
300270,中威电子,14.29,2.32,112.21,117.1,accel,True,2026-08-24,,,
300244,迪安诊断,-73.5,103.11,335.61,2685.6,accel,True,2026-08-21,,,
002384,东山精密,6.22,7.5,166.99,277.52,accel,True,2026-08-22,,,
688469,芯联集成,18.67,20.63,34.15,87.84,accel,False,2026-08-11,2.944383860414379,,
688146,中船特气,16.09,15.25,30.7,117.08,accel,False,2026-07-18,41.902390438247,54.437250996015926,
300285,国瓷材料,5.28,4.25,10.17,12.54,accel,False,2026-08-06,1.6263672999424328,,
300201,海伦哲,18.82,34.09,51.37,101.72,accel,True,2026-08-22,,,
688531,日联科技,41.54,51.34,63.17,83.9,accel,True,2026-08-15,,,
600936,北投科技,21.35,49.81,111.82,114.23,accel,True,2026-08-20,,,
600500,中化国际,5.79,43.1,63.58,65.22,accel,True,2026-08-08,5.2730696798493515,,
600078,澄星股份,72.36,75.29,175.03,453.64,accel,True,2026-08-18,,,
300738,奥飞数据,27.88,39.82,75.42,96.32,accel,True,2026-08-01,2.8365601080594383,,
300671,富满微,3.24,24.41,146.17,233.76,accel,True,2026-07-30,13.55365763089491,,
002693,双成药业,85.31,121.24,125.73,151.86,accel,True,2026-08-22,,,
002415,海康威视,10.06,15.98,37.44,40.5,accel,False,2026-07-25,2.60917330403736,,
000809,和展能源,30.87,31.06,113.82,121.19,accel,True,2026-08-21,,,
920802,保丽洁,13.92,10.73,13.75,20.32,accel,False,2026-08-20,,,
920726,朱老六,-12.0,8.16,119.53,164.68,accel,True,2026-08-20,,,
601177,杭齿前进,9.79,3.33,19.16,28.66,accel,False,2026-08-21,,,
920656,海昇药业,38.7,43.64,55.74,58.47,accel,True,2026-08-20,,,
002407,多氟多,59.26,124.45,1724.01,10407.55,accel,True,2026-08-18,,,
600346,恒力石化,-9.54,14.21,94.27,132.35,accel,True,2026-08-20,,,
600203,福日电子,134.5,83.0,194.25,755.9,accel,True,2026-08-11,-0.09842519685039353,,
301563,云汉芯城,,9.84,181.77,219.23,accel,True,2026-08-19,,,
300243,瑞丰高材,-24.88,70.07,251.98,403.54,accel,True,2026-07-28,4.672897196261672,,
002169,智光电气,56.75,49.72,161.6,175.78,accel,True,2026-08-24,,,
000736,中交发展,-6.98,67.65,100.44,101.44,accel,True,2026-08-20,,,
688475,萤石网络,6.22,8.33,29.39,34.39,accel,False,2026-07-25,4.033092037228525,,
688035,德邦科技,26.31,19.14,22.57,44.12,accel,False,2026-08-11,17.075163398692816,,
600312,平高电气,15.13,10.1,14.45,20.76,accel,False,2026-08-20,,,
874111,兢强科技,6.49,5.52,19.76,33.21,accel,False,2026-08-07,,,
688309,恒誉科技,461.73,123.46,446.0,971.11,accel,True,2026-08-11,1.3903743315508033,,
688002,睿创微纳,50.83,106.69,253.6,275.38,accel,True,2026-08-18,,,
300693,盛弘股份,2.47,11.56,25.01,50.45,accel,False,2026-08-11,1.800775017095968,,
920125,鸿仕达,,23.08,123.21,1706.25,accel,True,2026-08-07,,,
600601,方正科技,85.88,91.53,225.51,237.92,accel,True,2026-08-20,,,
688041,海光信息,23.18,26.92,34.99,49.67,accel,False,2026-08-14,-12.377664685575995,,
002083,孚日股份,-8.96,33.07,33.43,57.67,accel,False,2026-08-18,,,
600885,宏发股份,17.57,8.44,18.22,18.97,accel,False,2026-07-30,3.0733545955349273,,
688063,派能科技,-31.4,64.5,102.05,203.8,accel,True,2026-08-22,,,
601579,会稽山,8.28,32.06,24.08,16.77,decel,False,2026-08-22,,,
688012,中微公司,9.01,11.64,60.09,108.36,accel,True,2026-08-20,,,
603986,兆易创新,34.04,42.57,529.9,796.9,accel,True,2026-08-19,,,
300283,温州宏丰,121.3,148.02,450.46,782.25,accel,True,2026-08-07,-7.485604606525909,,
002747,埃斯顿,101.91,100.87,364.53,498.64,accel,True,2026-08-22,,,
000833,粤桂股份,93.16,70.82,85.23,184.67,accel,True,2026-08-24,,,
920571,国航远洋,-151.52,31.0,176.26,375.51,accel,True,2026-08-10,,,
