,upbig_002371,pct_002371,upbig_688012,pct_688012,upbig_688072,pct_688072,upbig_688082,pct_688082,upbig_688019,pct_688019,upbig_688206,pct_688206,upbig_688627,pct_688627,theme_count,theme_basket_ret_eq
2026-04-01,0,,0,,0.0,,0,,0,,0,,0,,0.0,
2026-04-02,0,-2.7814804940904603,0,-4.579825938079618,0.0,-3.114478114478103,0,-3.5070762858129045,0,-1.2792191112252826,0,-3.202049311559396,0,-6.398803508630091,0.0,-3.5518475376965513
2026-04-03,0,-2.637111517367463,0,-1.898923444976064,0.0,0.14573582578962796,0,-0.25756600128783447,0,1.535179017485433,0,0.26463777704266445,0,-0.5009500777336306,0.0,-0.4784283458638952
2026-04-07,0,-0.5539125944702628,0,0.03048315805516122,0.0,-2.261215123275395,0,0.7818664371278983,0,-0.5996617292809314,0,1.5836357637743381,0,1.9661458333333437,0.0,0.135334535037736
2026-04-08,0,9.407599716780734,0,8.207628625120634,0.0,8.589835361488895,0,7.209964412811387,0,6.146230793028784,0,5.911010068203959,0,9.675222406674333,0.0,7.878213054872674
2026-04-09,0,1.909137975666586,0,1.1358835954001334,0.0,3.2669742913645328,0,0.2257186483436202,0,0.2331681725444401,0,-0.6746396810794253,0,3.6870294186136743,0.0,1.3976103458362232
2026-04-10,0,0.8573061535530391,0,0.8400241332900071,0.0,1.5856398733530952,0,1.7023249652248662,0,-1.284288068236894,0,0.8335906143871474,0,3.8553675699954937,0.0,1.198566463080965
2026-04-13,0,-0.9213784997691321,0,-2.2873711340206215,0.0,-0.6434585899208201,0,-0.48847205939820393,0,-3.7655260444793504,0,0.15309246785060182,0,0.15137317090752056,0.0,-1.1145343841185724
2026-04-14,0,1.925561887008298,0,2.5010597710894533,0.0,3.3114928280502776,0,3.953138294391012,0,2.5507601265176927,0,1.2228676245796377,0,1.6733841946163786,0.0,2.4483235323218215
2026-04-15,0,-1.369606783606292,0,-1.2774561161657982,0.0,-1.6136931289485235,0,-2.01473273311088,0,-3.8006168540443808,0,-1.026880096647531,0,-2.5519413867553853,0.0,-1.9507038713255416
2026-04-16,0,-0.3034325810733929,0,-0.5818283373673405,0.0,0.2190198860100967,0,-0.08995694917431907,0,0.6360533664288015,0,-0.4272200183094266,0,1.9504576492808345,0.0,0.20044185939932196
2026-04-17,0,-0.7714581616046323,0,-1.4092420057118749,0.0,-3.1142126306901496,0,0.9904173901858604,0,-3.334874877961058,0,2.4823781795893174,0,-0.11044212476397641,0.0,-0.7524906044223592
2026-04-20,0,0.281162136832247,0,-0.14721246082248785,0.0,2.076230999923112,0,-0.4075654333566936,0,0.5262598341484237,0,0.4186602870813516,0,0.7097510521435257,0.0,0.4938980594213541
2026-04-21,0,-4.4286321155480035,0,-1.4885623246302493,0.0,-2.5060894457976546,0,-0.613849990408577,0,-0.3542911532970261,0,-0.5658129839189896,0,0.3470623649821203,0.0,-1.3728822355169115
2026-04-22,0,6.12734748305368,0,3.596601332432181,0.0,1.6741790083709018,0,3.3391237212893277,0,1.3850562513266995,0,2.1862833183587727,0,1.9481206987824073,0.0,2.8938159733734246
2026-04-23,0,-0.6177751717205582,0,-1.542476350249311,0.0,-3.7770740975300865,0,-2.8327730046071586,0,-1.6226118817063706,0,-2.0222743259085463,0,-4.368747187316091,0.0,-2.3976760027197312
2026-04-24,0,-0.48464926143667597,0,2.6457781143506276,0.0,1.1926074136478615,0,0.9867367207022637,0,0.5480180899175346,0,-0.4187855219862424,0,-0.9447963800905068,0.0,0.5035584535864089
2026-04-27,0,9.212950219154292,0,8.853230045649463,0.0,7.321070843197952,0,5.1392678129560165,0,4.095671499629594,0,4.445779513367398,0,3.921210349364146,0.0,6.141311469045552
2026-04-28,0,0.1861258676179922,0,2.914389799635697,0.0,2.6084216140214833,0,-11.743407157081654,0,0.6659211061406989,0,-3.5087719298245834,0,1.4066181383408871,0.0,-1.067243223021354
2026-04-29,0,-1.255950768278058,0,-0.6956163819715977,0.0,0.040163489025912824,0,1.647863247863235,0,-5.0244912387012,0,-0.536512667660205,0,-0.17685612234281667,0.0,-0.8573429202949613
2026-04-30,0,5.144536991670745,0,4.6008455608057774,0.0,5.03495182316267,0,3.4239203551728714,0,2.148022118247539,0,1.8579562481270795,0,1.7508511081775646,0.0,3.423012029337749
2026-05-06,0,1.5582479030754826,0,1.858456173720091,0.0,4.305692957999829,0,2.003252032520342,0,3.8569643972517165,0,0.11768167107972793,0,3.444861727552073,0.0,2.44930812331418
2026-05-07,0,1.2443563484197728,0,0.3384555533942901,0.0,3.317453816473015,0,2.0021679525600966,0,2.3705708414774707,0,3.761387011460471,0,0.02310307270867451,0.0,1.8653563709276841
2026-05-08,0,-2.0556884924951113,0,-3.7957506203474045,0.0,-3.442520342165656,0,-0.08751640932673777,0,-3.764809556447668,0,-2.2090059473237056,0,-1.052596845509135,0.0,-2.3439840305164883
2026-05-11,0,5.991116046640754,0,3.6875831217506816,0.0,8.882886776145217,0,3.760245260589379,0,5.545098438215401,0,4.054445409788587,0,14.7597292159936,0.0,6.668729181303375
2026-05-12,0,1.4406202525014455,0,1.2515547263681759,0.0,0.5635927050465339,0,4.926435118186201,0,0.4819973972140623,0,1.3080990815474536,0,3.152878272745774,0.0,1.875025364801378
2026-05-13,0,-0.07746333402188776,0,4.414587332053732,0.0,1.576714356191422,0,3.7009367277742733,0,5.7082553844677975,0,1.1538461538461497,0,1.3690912164065372,0.0,2.5494239766740034
2026-05-14,0,-2.856306096783645,0,-4.544117647058831,0.0,-4.274002408983179,0,-3.1920199501246804,0,-5.572446340245952,0,-2.1455730581205867,0,-3.251445086705196,0.0,-3.6908443697174387
2026-05-15,0,4.889251449750853,0,11.812509628716693,0.0,7.49279538904899,0,0.057244261262812124,0,2.1384977653899684,0,0.41631973355535923,0,1.4764175331763107,0.0,4.040433680128713
2026-05-18,0,1.0093666520136546,0,1.3537253280975436,0.0,-0.8930257146093745,0,5.692545340122446,0,4.2486120259715765,0,-1.0779436152570487,0,3.2637001811594235,0.0,1.9424257424997458
2026-05-19,0,3.6338985320456096,0,9.288336052202272,0.0,5.657897243441989,0,6.2736819313629955,0,5.352710204450073,0,-1.7882089969265214,0,8.609961349743699,0.0,5.289753759474302
2026-05-20,0,5.8581257873824955,0,2.2576732904188823,0.0,14.40780340046517,0,7.054449141751129,0,6.5244398749089605,0,12.887624466571834,0,10.998939982837808,0.0,8.569865134905184
2026-05-21,0,1.0649822248668839,0,-2.9650579326703785,0.0,-4.516657736312912,0,0.9705966314587533,0,-5.883535751628733,0,-1.7137096774193505,0,-6.828103683492504,0.0,-2.838783703599749
2026-05-22,0,0.905810776128857,0,-1.3037482762943364,0.0,1.7775797187561837,0,0.21204410517388084,0,2.1022945776182578,0,2.230769230769214,0,1.7107157673817097,0.0,1.090780842790538
2026-05-25,0,4.364218495189931,0,3.3437063381176024,0.0,16.85883402254116,0,17.74580335731415,0,5.7920066959614935,0,13.167795334838228,0,3.3518882863861066,0.0,9.232036075764098
