,upbig_600111,pct_600111,upbig_600549,pct_600549,upbig_000657,pct_000657,upbig_002378,pct_002378,upbig_002842,pct_002842,upbig_300748,pct_300748,upbig_000831,pct_000831,upbig_002240,pct_002240,upbig_002466,pct_002466,upbig_002460,pct_002460,upbig_000155,pct_000155,upbig_603505,pct_603505,theme_count,theme_basket_ret_eq
2026-04-01,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2026-04-02,0,-1.8614270941054833,0,-4.690026954177895,0,-5.519080837094803,0,-3.408728894552404,0,-3.7383177570093573,0,-3.0563514804202496,0,-2.1347150259067416,0,0.6593963986812001,0,1.298467087466193,0,3.3856531327020267,1,9.98055735580039,0,-2.0000000000000018,1,-0.923714505718094
2026-04-03,0,0.06322444678608097,0,-0.33936651583710287,0,0.21715526601520097,0,-2.0118733509234765,0,-2.4271844660194164,0,-0.6568144499178974,0,-0.529436679373152,0,-1.7636684303350858,0,-1.2996261349474847,0,-0.22584692597240608,0,-5.126694166175594,0,-1.7573696145124829,0,-1.3214584184344011
2026-04-07,0,4.780960404380807,0,2.1377222852818845,0,2.9685807150595878,0,4.442948502187827,0,6.799336650082943,0,2.148760330578514,0,3.8109431552054485,0,-0.487304437035152,0,2.272727272727293,0,-0.9934607645875171,0,0.8695652173912771,0,0.40392383150607003,0,2.4295585968982487
2026-04-08,0,3.638190954773868,0,6.686423411742903,0,3.7878787878787845,0,3.2549145987753825,0,4.7826086956521685,0,4.466019417475731,0,4.204265791632489,0,1.9072164948453763,0,2.768959435626095,0,3.873999745967227,0,2.401477832512322,0,3.1034482758620863,0,3.739616953562036
2026-04-09,0,0.19394879751744032,0,0.7291666666666696,0,-0.6082725060827188,0,-0.5930087390761507,0,-0.7409602845287466,0,0.7125154894671581,0,1.712261365872858,0,-1.365705614567525,0,-1.0640123562725368,0,-1.2227928588896986,0,3.2471437161756045,0,-1.0033444816053505,0,-0.00025506711024969597
2026-04-10,0,-0.09678668215252761,0,0.4825922095828883,0,-0.3467972256221974,0,-1.4756671899529117,0,-2.1498954911914003,0,-0.061519532451537184,0,0.5804953560371473,0,4.564102564102557,0,3.4518647007805825,0,3.664273334983892,0,-3.3197437390797946,0,-1.3513513513513598,0,0.3284639128071116
2026-04-13,0,1.1431893043983843,0,-0.8747855917667247,0,-1.2691914022518014,0,0.5417463352453744,0,0.06103143118705301,0,0.49245921822098637,0,0.36552520200077154,1,10.004904364884748,0,4.124748490945684,0,0.4776689754000474,0,4.216867469879504,0,0.22831050228309113,1,1.6260395250355932
2026-04-14,0,-3.4482758620689724,0,0.7094653054161792,0,3.2759693137051737,0,0.41204437400950145,0,1.3723696248856498,0,-0.33690658499233583,0,-2.223500095840525,0,8.069549710209545,0,3.913043478260869,0,4.623246969336825,0,-2.196531791907508,0,-0.2277904328018221,0,1.1618903340177151
2026-04-15,0,-2.261904761904765,0,-3.9518900343642693,0,-5.520979722947194,0,-5.1452020202020226,0,-4.99398315282793,0,-1.87461585740627,0,-0.784159968633602,0,-4.558580858085792,0,-4.230590423059044,0,-6.918096103601046,0,-5.496453900709231,0,0.1712328767123461,0,-3.797101993919068
2026-04-16,0,-0.02030044660982222,1,10.000000000000009,1,10.00849978750531,0,7.454242928452581,0,6.839772007599754,0,1.7225180081428038,0,2.0746887966804906,0,7.629133347741512,0,5.695792880258899,0,4.173785696851362,0,5.941213258286426,0,1.0826210826210714,2,5.2168306122942
2026-04-17,0,-0.34517766497462743,0,1.577492275166681,0,8.132122851072033,0,0.49550944564882293,0,-0.6224066390041472,0,0.9852216748768461,0,0.8130081300812941,0,1.0040160642570184,0,2.0361298224127466,0,-1.8041237113402109,0,0.05903187721367775,0,0.2818489289740711,0,1.0510560878653505
2026-04-20,0,3.40260798696006,0,1.2648094780659536,0,4.305108967488391,0,2.9275808936825687,0,2.415747092156284,0,2.1341463414634276,0,4.3010752688172005,0,-1.1928429423459175,0,0.2550637659414656,0,-1.6105941302791638,0,-0.6489675516224147,0,0.8993816750983763,0,1.5377597371188525
2026-04-21,0,-0.5714285714285672,0,0.5375494071146347,0,-1.2502140777530424,0,-2.9640718562874313,0,-3.145020384391395,0,0.5373134328358287,0,1.6936671575846773,0,-2.515090543259557,0,5.821610296318469,0,0.7881653934764143,0,0.7719714964370405,0,1.0027855153203369,0,0.05893643883061742
