,pos_ma20,pos_ma60,dd60
pos_ma20,1.0,0.6732202780274349,0.6290924674269719
pos_ma60,0.6732202780274349,1.0,0.8468904505506625
dd60,0.6290924674269719,0.8468904505506625,1.0
