date,ticker,name,decision_raw,group,t0_date,t0_close,n_days_avail,ret_5,ret_20,ret_40,data_status
2026-06-30,002428,云南锗业,watch_expired,watch,2026-06-30,120.17,38,-8.463,-40.801,,OK
2026-06-30,603688,石英股份,watch_expired,watch,2026-06-30,82.61,38,-21.426,-45.987,,OK
2026-06-30,600549,厦门钨业,watch_expired,watch,2026-06-30,85.2,38,-22.042,-44.847,,OK
2026-06-30,600160,巨化股份,watch_expired,watch,2026-06-30,53.01,38,-12.13,-27.485,,OK
2026-06-30,688608,恒玄科技,watch_expired,watch,2026-06-30,118.42,38,-2.077,2.516,,OK
2026-06-30,688049,炬芯科技,watch_expired,watch,2026-06-30,46.91,38,-6.672,-10.467,,OK
2026-06-30,601958,金钼股份,watch_expired,watch,2026-06-30,27.62,38,-16.582,-28.24,,OK
2026-06-30,002915,中欣氟材,reject,reject,2026-06-30,20.51,38,-6.095,-23.062,,OK
2026-06-30,000708,中信特钢,reject,reject,2026-06-30,12.62,38,2.06,14.263,,OK
2026-06-30,300224,正海磁材,reject,reject,2026-06-30,13.33,38,2.626,-20.03,,OK
2026-06-30,603505,金石资源,probe,probe,2026-06-30,20.09,38,-4.032,-20.757,,OK
2026-06-30,600392,盛和资源,watch_expired,watch,2026-06-30,29.38,38,-13.07,-31.586,,OK
2026-06-30,002738,中矿资源,watch_expired,watch,2026-06-30,58.99,38,3.492,-19.054,,OK
2026-06-30,002759,天际股份,watch_expired,watch,2026-06-30,24.39,37,-6.232,-38.95,,OK
2026-06-30,300285,国瓷材料,watch_expired,watch,2026-06-30,103.11,38,-15.149,-45.321,,OK
2026-06-30,002709,天赐材料,watch_expired,watch,2026-06-30,51.43,38,-3.675,-27.494,,OK
2026-06-30,002326,永太科技,watch_expired,watch,2026-06-30,23.65,38,-0.169,-21.691,,OK
2026-06-30,300709,精研科技,reject,reject,2026-06-30,56.25,38,-14.151,-38.578,,OK
2026-06-30,300316,晶盛机电,reject,reject,2026-06-30,60.4,38,-17.136,-36.325,,OK
2026-06-30,600456,宝钛股份,reject,reject,2026-06-30,27.35,38,-2.633,-1.974,,OK
2026-06-30,300433,蓝思科技,watch_expired,watch,2026-06-30,53.2,38,-2.538,-36.353,,OK
2026-06-30,605020,永和股份,probe,probe,2026-06-30,40.72,38,-4.42,-21.12,,OK
2026-06-30,688120,华海清科,watch_expired,watch,2026-06-30,322.18,38,-14.334,-19.921,,OK
2026-06-30,688206,概伦电子,reject,reject,2026-06-30,44.34,38,10.893,-26.928,,OK
2026-06-30,002371,北方华创,probe,probe,2026-06-30,883.76,38,-8.755,-19.096,,OK
2026-06-30,000969,安泰科技,watch_expired,watch,2026-06-30,24.54,38,-7.905,-36.39,,OK
2026-06-30,000962,东方钽业,watch_expired,watch,2026-06-30,90.6,38,-29.735,-49.205,,OK
2026-06-30,002639,雪人集团,watch_expired,watch,2026-06-30,13.91,38,-10.424,-15.96,,OK
2026-07-01,002428,云南锗业,reject,reject,2026-07-01,114.84,37,-13.793,-41.675,,OK
2026-07-01,002080,中材科技,watch_expired,watch,2026-07-01,88.7,37,-17.993,-50.823,,OK
2026-07-01,688300,联瑞新材,watch_expired,watch,2026-07-01,231.0,37,-21.186,-49.835,,OK
2026-07-01,600141,兴发集团,probe,probe,2026-07-01,45.67,37,-21.787,-36.194,,OK
2026-07-01,002138,顺络电子,probe,probe,2026-07-01,74.6,37,-24.866,-42.158,,OK
2026-07-01,600549,厦门钨业,watch_expired,watch,2026-07-01,84.9,37,-25.218,-44.205,,OK
2026-07-01,002407,多氟多,reject,reject,2026-07-01,55.25,37,-23.765,-42.1,,OK
2026-07-01,603505,金石资源,watch_expired,watch,2026-07-01,22.1,37,-19.367,-27.195,,OK
2026-07-01,002326,永太科技,probe,probe,2026-07-01,26.02,37,-17.333,-27.517,,OK
2026-07-01,605020,永和股份,probe,probe,2026-07-01,43.99,37,-17.027,-25.983,,OK
2026-07-01,301127,天际股份,reject,reject,2026-07-01,20.79,37,-12.602,-36.893,,OK
2026-07-01,002895,川恒股份,reject,reject,2026-07-01,30.6,37,-3.758,14.902,,OK
2026-07-01,600409,三友化工,reject,reject,2026-07-01,6.25,37,-8.64,6.56,,OK
2026-07-01,300457,赢合科技,reject,reject,2026-07-01,21.35,37,-5.246,-8.806,,OK
2026-07-01,002738,中矿资源,reject,reject,2026-07-01,64.89,37,-12.698,-24.95,,OK
2026-07-01,300709,精研科技,watch_expired,watch,2026-07-01,52.1,37,-11.804,-33.551,,OK
2026-07-01,688210,统联精密,reject,reject,2026-07-01,39.37,37,-10.617,-34.646,,OK
2026-07-01,600456,宝钛股份,reject,reject,2026-07-01,27.8,37,-5.827,0.324,,OK
2026-07-01,603327,福蓉科技,reject,reject,2026-07-01,8.32,37,-0.24,3.606,,OK
2026-07-01,600160,巨化股份,probe,probe,2026-07-01,55.85,37,-18.138,-29.973,,OK
2026-07-01,002378,章源钨业,watch_expired,watch,2026-07-01,32.9,37,-15.897,-32.584,,OK
2026-07-01,688456,有研粉材,reject,reject,2026-07-01,136.51,37,-19.434,-48.663,,OK
2026-07-01,688305,科德数控,reject,reject,2026-07-01,67.24,37,-1.814,-19.72,,OK
2026-07-01,688120,华海清科,watch_expired,watch,2026-07-01,330.0,37,-10.606,-18.576,,OK
2026-07-01,688200,华峰测控,watch_expired,watch,2026-07-01,529.85,37,-5.868,-31.901,,OK
2026-07-01,688019,安集科技,probe,probe,2026-07-01,322.6,37,-2.018,-21.014,,OK
2026-07-01,300054,鼎龙股份,watch_expired,watch,2026-07-01,100.3,37,-10.907,-30.608,,OK
2026-07-01,300285,国瓷材料,watch_expired,watch,2026-07-01,98.75,37,-20.567,-40.172,,OK
2026-07-01,000962,东方钽业,watch_expired,watch,2026-07-01,86.31,37,-26.961,-47.503,,OK
2026-07-01,002859,洁美科技,reject,reject,2026-07-01,109.9,37,-27.052,-45.778,,OK
2026-07-01,603308,应流股份,watch_expired,watch,2026-07-01,61.14,37,-9.601,-28.198,,OK
2026-07-02,603662,柯力传感,probe,probe,2026-07-02,73.36,36,-13.809,-36.3,,OK
2026-07-02,688102,斯瑞新材,reject,reject,2026-07-02,46.21,36,-10.56,-42.112,,OK
2026-07-02,002886,沃特股份,watch_expired,watch,2026-07-02,27.61,36,-17.856,-38.428,,OK
2026-07-02,600111,北方稀土,watch_expired,watch,2026-07-02,48.2,36,-10.83,-18.776,,OK
2026-07-02,600206,有研新材,reject,reject,2026-07-02,57.77,36,2.7,-37.961,,OK
2026-07-02,301069,凯盛新材,watch_expired,watch,2026-07-02,21.75,36,-16.69,-28.0,,OK
2026-07-02,603663,三祥新材,reject,reject,2026-07-02,63.9,36,-11.127,-47.308,,OK
2026-07-02,600160,巨化股份,watch_expired,watch,2026-07-02,54.83,36,-16.104,-27.759,,OK
2026-07-02,603379,三美股份,probe,probe,2026-07-02,83.48,36,-20.005,-29.336,,OK
2026-07-02,601137,博威合金,reject,reject,2026-07-02,22.83,36,-15.375,-25.843,,OK
2026-07-02,688716,中研股份,reject,reject,2026-07-02,33.19,36,3.796,-26.876,,OK
2026-07-02,301076,新瀚新材,probe,probe,2026-07-02,27.81,36,-12.693,-29.773,,OK
