metric,horizon,n,n_dates,ic
MA20位置,5,28218,38,-0.0673035845729358
MA60位置,5,28217,38,-0.25417390434351234
60日高点回撤,5,28217,38,-0.14654364961956265
MA20位置,20,15146,23,-0.2911992514434561
MA60位置,20,15146,23,-0.5134228561504934
60日高点回撤,20,15146,23,-0.2869252983041594
MA20位置,40,273,3,-0.5540650847649559
MA60位置,40,273,3,-0.6935645397968284
60日高点回撤,40,273,3,-0.559549563789581
