code,error
301689,no_price_data
002906,no_trading_day_after_disclosure
002445,no_trading_day_after_disclosure
688836,no_pre_day
603448,no_price_data
301699,no_price_data
601123,no_price_data
689009,no_price_data
301697,no_price_data
688828,no_pre_day
688835,no_price_data
301688,no_price_data
603468,no_pre_day
001235,no_price_data
