code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct,code6,name
sh.605033,2025-07-22,28.27,25.7,4,True,10.0,1.0428,39855046.0,3821926160.0,38.17,0,0.1,605033,美邦股份
sh.605162,2025-07-09,11.36,10.33,4,False,0.29,17.9264,767880723.04,4283518850.0,46.58,0,0.1,605162,新中港
sh.605169,2025-08-08,16.9,15.36,4,True,10.03,3.7434,178959609.4,4780670230.0,51.43,0,0.1,605169,洪通燃气
sz.000514,2025-07-10,6.86,6.24,4,False,2.24,9.2462,526592488.08,5695231426.0,51.43,0,0.1,000514,渝 开 发
sz.000607,2025-07-11,6.6,6.0,4,False,10.0,17.6344,1026120152.69,5818854924.0,62.16,0,0.1,000607,华媒控股
sz.000609,2025-08-26,4.21,4.01,4,False,1.75,10.1834,123005181.46,1207898948.0,34.08,1,0.1,000609,*ST中迪
sz.001226,2025-07-28,47.29,42.99,4,True,10.0,0.887,31320167.0,3531022210.0,69.86,0,0.1,001226,拓山重工
sz.001331,2025-08-04,15.39,13.99,4,True,10.01,5.5942,60748008.21,1085910554.0,51.78,0,0.1,001331,胜通能源
sz.001360,2025-07-23,20.78,18.89,4,True,10.01,3.0162,51256966.22,1699388841.0,49.82,0,0.1,001360,南矿集团
sz.002037,2025-07-24,14.19,12.9,4,False,10.0,14.2413,977426838.76,6863325952.0,54.74,0,0.1,002037,保利联合
sz.002097,2025-07-24,11.74,10.67,4,False,7.87,10.2094,1264862336.21,12389193647.0,44.76,0,0.1,002097,山河智能
sz.002148,2025-08-07,10.37,9.43,4,True,9.97,2.1883,101964321.25,4659522061.0,44.43,0,0.1,002148,北纬科技
sz.002158,2025-08-20,26.24,23.85,4,False,2.6,14.3173,1909049189.66,13333863156.0,47.09,0,0.1,002158,汉钟精机
sz.002177,2025-08-22,10.0,9.09,4,False,3.85,34.8315,2312397160.59,6638810159.0,52.44,0,0.1,002177,御银股份
sz.002190,2025-08-25,53.67,48.79,4,False,4.8,18.613,3536809923.86,19001826271.0,52.82,0,0.1,002190,成飞集成
sz.002209,2025-07-16,18.54,16.85,4,False,2.02,14.7455,409044698.53,2774030711.0,57.92,0,0.1,002209,达 意 隆
