code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct
sh.600118,2025-08-25,33.3,30.27,1,False,0.1,6.9502,2640122939.38,37986287292.0,15.26,0,0.1
sh.600118,2025-08-26,36.63,33.3,2,False,7.78,9.9116,4239702246.9,42775154838.0,26.05,0,0.1
sh.600119,2025-07-04,8.62,7.84,1,False,9.95,8.373,263297624.84,3144603187.0,0.47,0,0.1
sh.600126,2025-07-08,9.58,8.71,1,False,-0.34,9.0754,2843176987.41,31328393100.0,6.21,0,0.1
sh.600126,2025-08-13,9.81,8.92,1,False,-0.56,8.848,2862950080.87,32357030751.0,7.92,0,0.1
sh.600130,2025-08-26,3.85,3.67,1,False,4.9,2.9274,84501608.85,2886575420.0,15.27,1,0.1
sh.600137,2025-07-23,20.52,18.65,1,False,1.55,15.7281,305803653.65,1944314022.0,13.37,0,0.1
sh.600143,2025-07-21,12.01,10.92,1,False,9.98,4.2742,1332817704.97,31182857727.0,21.07,0,0.1
sh.600143,2025-08-11,14.97,13.61,1,False,1.47,8.5056,3198599968.24,37605812268.0,40.83,0,0.1
sh.600148,2025-07-08,22.76,20.69,1,False,0.58,7.1528,225303033.72,3149857870.0,15.94,0,0.1
sh.600148,2025-07-09,25.04,22.76,2,False,4.88,15.4185,540908265.99,3508176969.0,27.11,0,0.1
sh.600149,2025-07-14,5.97,5.43,1,False,2.95,7.859,174136326.22,2215756791.0,17.06,0,0.1
sh.600150,2025-08-06,38.51,35.01,1,False,1.31,5.0108,8456751349.28,168770482743.0,18.42,0,0.1
sh.600151,2025-08-26,8.73,7.94,1,False,-0.13,6.5725,795824690.85,12108401534.0,16.87,0,0.1
sh.600152,2025-07-07,7.28,6.62,1,False,1.81,12.3392,468331177.28,3795474401.0,15.92,0,0.1
sh.600156,2025-08-20,8.21,7.46,1,False,2.28,7.1834,227158687.6,3162272567.0,24.39,0,0.1
sh.600156,2025-08-21,9.03,8.21,2,False,9.74,7.1967,260423650.79,3618653699.0,34.78,0,0.1
sh.600156,2025-08-28,9.56,8.69,1,False,1.61,5.8512,220361906.99,3766097672.0,42.05,0,0.1
sh.600165,2025-07-11,4.6,4.38,1,False,0.46,1.7027,53034408.66,3114724183.0,0.22,1,0.1
